countryCode,type,cityName,cityId,regionName,regionCode,lat,lon,population,elevation,timezone
BR,ADM2,Abadia de Goiás,139078,Goiás,GO,-16.77762,-49.46841,6868,,America__Sao_Paulo
BR,ADM2,Abadia dos Dourados,137119,Minas Gerais,MG,-18.36347,-47.46997,6704,,America__Sao_Paulo
BR,ADM2,Abadiânia,138990,Goiás,GO,-16.22632,-48.62681,15752,,America__Sao_Paulo
BR,CITY,Abaetetuba,8893,Pará,PA,-1.71806,-48.8825,78050,42,America__Belem
BR,ADM2,Abaeté,137079,Minas Gerais,MG,-19.11099,-45.43051,22700,,America__Sao_Paulo
BR,ADM2,Abaiara,134580,Ceará,CE,-7.33642,-39.06129,10489,,America__Fortaleza
BR,ADM2,Abaré,135493,Bahia,BA,-8.80961,-39.27062,17072,,America__Maceio
BR,ADM2,Abatiá,138398,Paraná,PR,-23.29903,-50.32176,7753,,America__Sao_Paulo
BR,ADM2,Abaíra,136060,Bahia,BA,-13.32129,-41.69759,8324,,America__Bahia
BR,ADM2,Abdon Batista,137957,Santa Catarina,SC,-27.58981,-51.04023,2653,,America__Sao_Paulo
BR,ADM2,Abel Figueiredo,135278,Pará,PA,-4.94378,-48.42275,6792,,America__Araguaina
BR,ADM2,Abelardo Luz,139133,Santa Catarina,SC,-26.59825,-52.22321,17100,,America__Sao_Paulo
BR,ADM2,Abre Campo,136481,Minas Gerais,MG,-20.27265,-42.43908,13311,,America__Sao_Paulo
BR,ADM2,Abreu e Lima,136059,Pernambuco,PE,-7.86865,-35.08171,94428,,America__Recife
BR,ADM2,Abreulândia,134459,Tocantins,TO,-9.43672,-49.31733,2387,,America__Araguaina
BR,ADM2,Acaiaca,137353,Minas Gerais,MG,-20.4036,-43.10077,3924,,America__Sao_Paulo
BR,ADM2,Acajutiba,135417,Bahia,BA,-11.60682,-38.03594,14830,,America__Bahia
BR,ADM2,Acarape,134614,Ceará,CE,-4.20565,-38.6916,15337,,America__Fortaleza
BR,ADM2,Acaraú,135184,Ceará,CE,-2.95424,-40.08597,57542,,America__Fortaleza
BR,ADM2,Acari,136140,Rio Grande do Norte,RN,-6.38547,-36.63908,11035,,America__Recife
BR,CITY,Acará,8253,Pará,PA,-1.96083,-48.19667,12802,25,America__Belem
BR,ADM2,Acauã,134553,Piauí,PI,-8.31552,-40.91283,6749,,America__Fortaleza
BR,ADM2,Aceguá,134456,Rio Grande do Sul,RS,-31.64597,-54.10715,4394,,America__Sao_Paulo
BR,ADM2,Acopiara,139618,Ceará,CE,-6.11312,-39.51756,51171,,America__Fortaleza
BR,ADM2,Acorizal,138625,Mato Grosso,MT,-15.17336,-56.30434,5516,,America__Cuiaba
BR,ADM2,Acrelândia,134411,Acre,AC,-9.98045,-66.84388,12538,,America__Rio_Branco
BR,ADM2,Acreúna,139352,Goiás,GO,-17.43605,-50.26696,20283,,America__Sao_Paulo
BR,CITY,Adamantina,134360,São Paulo,SP,-21.59136,-51.06669,33797,,America__Sao_Paulo
