countryCode,type,cityName,cityId,regionName,regionCode,lat,lon,population,elevation,timezone
CA,CITY,100 Mile House,2374705,British Columbia,BC,51.64982,-121.28594,1980,927,America__Vancouver
CA,CITY,Abbotsford,10740,British Columbia,BC,49.05798,-122.25257,151683,38,America__Vancouver
CA,ADM2,Abitibi-Témiscamingue,139963,Quebec,QC,48.10018,-77.7828,145000,,America__Toronto
CA,CITY,Acton Vale,10451,Quebec,QC,45.65007,-72.56582,5135,,America__Toronto
CA,CITY,Adstock,10146,Quebec,QC,46.05007,-71.08235,2643,,America__Toronto
CA,CITY,Agassiz,10674,British Columbia,BC,49.23298,-121.76926,4738,,America__Vancouver
CA,CITY,Airdrie,10065,Alberta,AB,51.30011,-114.03528,24673,1098,America__Edmonton
CA,CITY,Ajax,10372,Ontario,ON,43.85012,-79.03288,90167,90,America__Toronto
CA,CITY,Albanel,10890,Quebec,QC,48.88324,-72.44867,1087,,America__Toronto
CA,ADM2,Albert County,139967,New Brunswick,NB,45.83346,-64.91548,27562,,America__Moncton
CA,CITY,Alberton,10411,Prince Edward Island,PE,46.81685,-64.06542,1147,,America__Halifax
CA,CITY,Aldergrove,11036,British Columbia,BC,49.05801,-122.47087,12363,102,America__Vancouver
CA,CITY,Aldergrove East,1219670,British Columbia,BC,49.05593,-122.42299,3491,,America__Vancouver
CA,ADM2,Algoma,139965,Ontario,ON,47.88364,-84.42406,115870,,America__Toronto
CA,CITY,Alliston,1209022,Ontario,ON,44.15011,-79.86635,18809,,America__Toronto
CA,CITY,Alma,10116,Quebec,QC,48.55009,-71.6491,29526,,America__Toronto
CA,CITY,Altona,10492,Manitoba,MB,49.10469,-97.55961,3613,247,America__Winnipeg
CA,CITY,Amherst,10558,Nova Scotia,NS,45.83345,-64.19874,9336,22,America__Halifax
CA,CITY,Amherstburg,1219650,Ontario,ON,42.10009,-83.09985,13910,181,America__Toronto
CA,CITY,Amigo Beach,1230226,Ontario,ON,44.70011,-79.39963,1545,,America__Toronto
CA,CITY,Amos,10410,Quebec,QC,48.56688,-78.11624,17918,310,America__Toronto
CA,CITY,Amqui,11891,Quebec,QC,48.46382,-67.43134,6261,,America__Toronto
CA,CITY,Ancaster,11799,Ontario,ON,43.21806,-79.98716,33232,,America__Toronto
CA,CITY,Ange-Gardien,9958,Quebec,QC,45.35008,-72.93244,2420,,America__Toronto
CA,CITY,Angus,10559,Ontario,ON,44.31681,-79.88295,10269,,America__Toronto
CA,CITY,Anmore,10790,British Columbia,BC,49.31637,-122.85263,2210,180,America__Vancouver
CA,ADM2,Annapolis County,139969,Nova Scotia,NS,44.58345,-65.16551,18252,,America__Halifax
CA,CITY,Antigonish,10114,Nova Scotia,NS,45.61685,-61.99858,5003,34,America__Halifax
CA,ADM2,Antigonish County,139971,Nova Scotia,NS,45.66685,-61.91528,18836,,America__Halifax
CA,CITY,Arbutus Ridge,1240783,British Columbia,BC,49.24966,-123.16934,1063,,America__Vancouver
CA,CITY,Armstrong,10419,British Columbia,BC,50.44979,-119.20235,4275,360,America__Vancouver
CA,CITY,Arnprior,10545,Ontario,ON,45.43341,-76.34939,9607,74,America__Toronto
CA,CITY,Asbestos,10234,Quebec,QC,45.76678,-71.9324,7190,,America__Toronto
CA,CITY,Ashcroft,10836,British Columbia,BC,50.72372,-121.28207,1796,335,America__Vancouver
CA,CITY,Assiniboia,10447,Saskatchewan,SK,49.63336,-105.98446,2320,,America__Regina
CA,CITY,Athabasca,10393,Alberta,AB,54.71687,-113.28537,2539,515,America__Edmonton
CA,CITY,Atikokan,10746,Ontario,ON,48.75667,-91.62409,3400,,America__Atikokan
CA,CITY,Attawapiskat,1230211,Ontario,ON,52.92774,-82.41669,1501,,America__Toronto
CA,CITY,Aurora,1261877,Ontario,ON,44.00011,-79.46632,55445,,America__Toronto
CA,CITY,Aylmer,10032,Ontario,ON,42.76679,-80.98302,7527,235,America__Toronto
CA,CITY,Azilda,1230212,Ontario,ON,46.55008,-81.09975,4663,,America__Toronto
CA,CITY,Baie Ste. Anne,1240807,New Brunswick,NB,47.05231,-64.95355,1319,,America__Moncton
CA,CITY,Baie-Comeau,10861,Quebec,QC,49.21679,-68.14894,29808,21,America__Toronto
CA,CITY,Baie-D'Urfé,10612,Quebec,QC,45.41397,-73.91586,3902,,America__Toronto
