countryCode,type,cityName,cityId,regionName,regionCode,lat,lon,population,elevation,timezone
IN,CITY,Abhaneri,57610,Rajasthan,RJ,27.00743,76.6076,1424,,Asia__Kolkata
IN,CITY,Abhayāpuri,56795,Assam,AS,26.32255,90.68526,15802,36,Asia__Kolkata
IN,CITY,Abirāmam,56805,Tamil Nadu,TN,9.4423,78.4399,6837,41,Asia__Kolkata
IN,CITY,Abohar,57561,Punjab,PB,30.14453,74.19552,130603,180,Asia__Kolkata
IN,CITY,Abrama,57712,Gujarat,GJ,20.85865,72.90648,21000,,Asia__Kolkata
IN,CITY,Achalpur,57248,Maharashtra,MH,21.25665,77.51006,111278,369,Asia__Kolkata
IN,CITY,Achhnera,57325,Uttar Pradesh,UP,27.17826,77.75674,20532,167,Asia__Kolkata
IN,CITY,Adalaj,57036,Gujarat,GJ,23.16453,72.58107,10423,68,Asia__Kolkata
IN,CITY,Adampur,57469,Punjab,PB,31.43224,75.71484,17027,,Asia__Kolkata
IN,CITY,Addanki,57739,Andhra Pradesh,AP,15.81061,79.97338,28547,,Asia__Kolkata
IN,CITY,Adirampattinam,57045,Tamil Nadu,TN,10.34059,79.37905,27909,0,Asia__Kolkata
IN,CITY,Adra,57489,West Bengal,WB,23.49668,86.68363,22159,185,Asia__Kolkata
IN,CITY,Aduthurai,56895,Tamil Nadu,TN,11.01542,79.48093,11433,,Asia__Kolkata
IN,CITY,Adūr,57161,Kerala,KL,9.15595,76.73192,29652,,Asia__Kolkata
IN,CITY,Afzalgarh,56793,Uttar Pradesh,UP,29.3937,78.67393,27753,212,Asia__Kolkata
IN,CITY,Afzalpur,57460,Karnataka,KA,17.19986,76.36018,20094,,Asia__Kolkata
IN,CITY,Agar,57414,Madhya Pradesh,MP,23.71177,76.01571,34532,505,Asia__Kolkata
IN,CITY,Agartala,57774,Tripura,TR,23.83605,91.27939,203264,15,Asia__Kolkata
IN,CITY,Agra,56958,Uttar Pradesh,UP,27.18333,78.01667,1430055,171,Asia__Kolkata
IN,CITY,Ahiri,57393,Maharashtra,MH,19.41386,80.00359,14384,120,Asia__Kolkata
IN,CITY,Ahmadnagar,57470,Maharashtra,MH,19.09457,74.73843,367140,649,Asia__Kolkata
IN,CITY,Ahmadpur,57208,Maharashtra,MH,18.70622,76.93731,40218,513,Asia__Kolkata
IN,CITY,Ahmadpur,57567,West Bengal,WB,23.83009,87.68661,8855,37,Asia__Kolkata
IN,ADM2,Ahmadābād,147727,Gujarat,GJ,23.03,72.58,7214225,,Asia__Kolkata
IN,CITY,Ahmedabad,56924,Gujarat,GJ,23.02579,72.58727,3719710,53,Asia__Kolkata
IN,CITY,Ahraura,57354,Uttar Pradesh,UP,25.01579,83.03294,25075,87,Asia__Kolkata
IN,CITY,Ahwa,57352,Gujarat,GJ,20.75718,73.68626,14321,401,Asia__Kolkata
IN,CITY,Airoli,57711,Maharashtra,MH,19.15096,72.99625,100000,,Asia__Kolkata
IN,CITY,Aistala,57322,West Bengal,WB,23.18,88.58,19425,,Asia__Kolkata
IN,ADM2,Aizawl,147772,Mizoram,MZ,23.8,92.9,400309,,Asia__Kolkata
IN,CITY,Ajaigarh,57682,Madhya Pradesh,MP,24.89879,80.25921,14640,317,Asia__Kolkata
IN,ADM2,Ajitgarh,147863,Punjab,PB,30.65,76.7,994628,,Asia__Kolkata
IN,CITY,Ajjampur,57692,Karnataka,KA,13.72794,76.0068,10795,,Asia__Kolkata
IN,ADM2,Ajmer,147735,Rajasthan,RJ,26.25,74.66667,2583052,,Asia__Kolkata
IN,CITY,Ajnāla,57601,Punjab,PB,31.84473,74.76295,19691,213,Asia__Kolkata
IN,CITY,Ajodhya,57518,Uttar Pradesh,UP,26.79909,82.2047,53293,93,Asia__Kolkata
IN,CITY,Ajra,57052,Maharashtra,MH,16.11601,74.21097,15864,660,Asia__Kolkata
IN,CITY,Akalkot,57416,Maharashtra,MH,17.52532,76.20611,39226,443,Asia__Kolkata
IN,CITY,Akaltara,57275,Chhattisgarh,CT,22.02463,82.42641,21333,283,Asia__Kolkata
IN,CITY,Akasahebpet,57374,Andhra Pradesh,AP,17.50455,82.56597,1500,,Asia__Kolkata
IN,CITY,Akbarpur,56995,Uttar Pradesh,UP,26.42953,82.53431,36865,133,Asia__Kolkata
IN,CITY,Akhnūr,57606,Jammu and Kashmir,JK,32.86667,74.73333,12802,,Asia__Kolkata
IN,CITY,Akivīdu,57192,Andhra Pradesh,AP,16.58225,81.38112,40413,,Asia__Kolkata
IN,CITY,Akkarampalle,57269,Andhra Pradesh,AP,13.65,79.42,20325,,Asia__Kolkata
IN,CITY,Aklera,56928,Rajasthan,RJ,24.41288,76.56719,19683,309,Asia__Kolkata
IN,CITY,Akodia,56998,Madhya Pradesh,MP,23.38027,76.59875,11278,458,Asia__Kolkata
IN,ADM2,Akola,147732,Maharashtra,MH,20.5,77.16667,1813906,,Asia__Kolkata
IN,CITY,Akot,56909,Maharashtra,MH,21.0963,77.0588,86917,345,Asia__Kolkata
IN,CITY,Akālgarh,56929,Punjab,PB,29.82074,75.89078,6993,214,Asia__Kolkata
IN,CITY,Alagāpuram,57525,Tamil Nadu,TN,11.88705,78.91758,8345,,Asia__Kolkata
IN,CITY,Alampur,57683,Madhya Pradesh,MP,26.02514,78.79697,10018,269,Asia__Kolkata
IN,CITY,Aland,57753,Karnataka,KA,17.56425,76.56854,39064,480,Asia__Kolkata
IN,CITY,Alandi,57391,Maharashtra,MH,18.67756,73.89868,21383,577,Asia__Kolkata
IN,CITY,Alandur,57500,Tamil Nadu,TN,13.0025,80.20611,153775,12,Asia__Kolkata
IN,CITY,Alangānallūr,56878,Tamil Nadu,TN,10.04697,78.09033,11400,25,Asia__Kolkata
IN,CITY,Alangāyam,57580,Tamil Nadu,TN,12.62235,78.75207,17357,572,Asia__Kolkata
IN,CITY,Alappuzha,57124,Kerala,KL,9.49004,76.3264,176783,11,Asia__Kolkata
IN,ADM2,Alappuzha,147733,Kerala,KL,9.41667,76.5,2127789,,Asia__Kolkata
IN,CITY,Aldona,57732,Goa,GA,15.59337,73.87482,6606,19,Asia__Kolkata
IN,ADM2,Alipurduar,148074,West Bengal,WB,26.49136,89.52796,1700000,,Asia__Kolkata
IN,ADM2,Alirajpur,147948,Madhya Pradesh,MP,22.31384,74.36452,728999,,Asia__Kolkata
IN,ADM2,Allahābād,147724,Uttar Pradesh,UP,25.42012,81.88385,5954391,,Asia__Kolkata
IN,CITY,Allāhganj,57570,Uttar Pradesh,UP,27.5454,79.68715,13824,142,Asia__Kolkata
IN,CITY,Allāpalli,57658,Maharashtra,MH,19.43172,80.06377,10772,,Asia__Kolkata
IN,ADM2,Almora,147723,Uttarakhand,UT,29.69223,79.49789,622506,,Asia__Kolkata
IN,CITY,Alnāvar,56989,Karnataka,KA,15.42727,74.74111,16926,563,Asia__Kolkata
IN,CITY,Along,57674,Arunachal Pradesh,AR,28.16951,94.8006,18425,619,Asia__Kolkata
IN,CITY,Alot,57666,Madhya Pradesh,MP,23.76336,75.55662,23134,439,Asia__Kolkata
IN,CITY,Aluva,56810,Kerala,KL,10.10764,76.35158,24108,8,Asia__Kolkata
IN,CITY,Alwa Tirunagari,57014,Tamil Nadu,TN,8.60635,77.93983,8887,,Asia__Kolkata
IN,ADM2,Alwar,147729,Rajasthan,RJ,27.5,76.5,3674179,,Asia__Kolkata
IN,CITY,Alwaye,57457,Kerala,KL,10.10649,76.35484,23703,,Asia__Kolkata
IN,CITY,Alāwalpur,57214,Punjab,PB,31.43161,75.65614,7410,232,Asia__Kolkata
IN,CITY,Alībāg,57400,Maharashtra,MH,18.64813,72.87579,20752,0,Asia__Kolkata
IN,CITY,Alīganj,57773,Uttar Pradesh,UP,27.49358,79.17127,26652,154,Asia__Kolkata
IN,ADM2,Alīgarh,147736,Uttar Pradesh,UP,27.83333,78.16667,3673889,,Asia__Kolkata
IN,CITY,Alīpur,57359,Delhi,DL,28.79862,77.13314,20736,209,Asia__Kolkata
IN,CITY,Alīpur Duār,56923,West Bengal,WB,26.4835,89.52286,65232,,Asia__Kolkata
IN,CITY,Alūr,56916,Karnataka,KA,12.97805,75.99094,6604,974,Asia__Kolkata
IN,CITY,Amalner,57247,Maharashtra,MH,21.03983,75.05887,97369,188,Asia__Kolkata
IN,CITY,Amalāpuram,57016,Andhra Pradesh,AP,16.57868,82.00609,52690,3,Asia__Kolkata
IN,CITY,Amarkantak,57527,Madhya Pradesh,MP,22.67486,81.75908,7613,1048,Asia__Kolkata
IN,CITY,Amarnāth,56778,Maharashtra,MH,19.2,73.16667,217780,35,Asia__Kolkata
IN,CITY,Amarpur,56904,Bihar,BR,25.03967,86.90247,22796,58,Asia__Kolkata
IN,CITY,Amarpur,57123,Tripura,TR,23.5257,91.65879,11906,24,Asia__Kolkata
IN,CITY,Amarpātan,57564,Madhya Pradesh,MP,24.31371,80.97703,16858,358,Asia__Kolkata
IN,CITY,Amarwāra,57253,Madhya Pradesh,MP,22.2978,79.16943,13258,796,Asia__Kolkata
IN,CITY,Ambad,57005,Maharashtra,MH,19.61301,75.78906,29846,,Asia__Kolkata
IN,CITY,Ambahta,57106,Uttar Pradesh,UP,29.85706,77.33583,14303,,Asia__Kolkata
IN,CITY,Ambasamudram,57257,Tamil Nadu,TN,8.71068,77.4519,32020,,Asia__Kolkata
IN,CITY,Ambattūr,57200,Tamil Nadu,TN,13.09818,80.16152,341049,17,Asia__Kolkata
IN,ADM2,Ambedkar Nagar,147861,Uttar Pradesh,UP,26.40544,82.69762,2397888,,Asia__Kolkata
IN,CITY,Ambikāpur,57283,Chhattisgarh,CT,23.11892,83.19537,72821,623,Asia__Kolkata
IN,CITY,Ambur,57513,Tamil Nadu,TN,12.79163,78.71644,109873,316,Asia__Kolkata
IN,CITY,Ambāgarh Chauki,57661,Chhattisgarh,CT,20.77644,80.74608,9265,,Asia__Kolkata
IN,CITY,Ambāh,57002,Madhya Pradesh,MP,26.70423,78.22678,40523,160,Asia__Kolkata
IN,CITY,Ambājogāi,57252,Maharashtra,MH,18.73312,76.38616,74114,644,Asia__Kolkata
IN,ADM2,Ambāla,147737,Haryana,HR,30.32854,76.9422,1128350,,Asia__Kolkata
IN,CITY,Amet,57091,Rajasthan,RJ,25.30609,73.9258,17434,575,Asia__Kolkata
IN,CITY,Amethi,57035,Uttar Pradesh,UP,28.01667,81.05,12206,,Asia__Kolkata
IN,CITY,Amethī,57719,Uttar Pradesh,UP,26.15696,81.80519,13684,,Asia__Kolkata
IN,CITY,Amguri,56859,Assam,AS,26.81482,94.52614,8494,145,Asia__Kolkata
IN,CITY,Amla,56903,Madhya Pradesh,MP,21.92485,78.12786,29995,737,Asia__Kolkata
IN,CITY,Amloh,57707,Punjab,PB,30.60837,76.23199,13859,259,Asia__Kolkata
IN,CITY,Ammāpettai,57167,Tamil Nadu,TN,10.79476,79.31986,14528,1,Asia__Kolkata
IN,CITY,Amod,57605,Gujarat,GJ,21.99317,72.87047,18742,,Asia__Kolkata
IN,ADM2,Amravati Division,147890,Maharashtra,MH,20.93483,77.75694,2888445,,Asia__Kolkata
IN,ADM2,Amreli,147725,Gujarat,GJ,21.50789,71.18323,1514190,,Asia__Kolkata
IN,ADM2,Amritsar,147726,Punjab,PB,31.67,74.84,2490656,,Asia__Kolkata
IN,CITY,Amroha,56809,Uttar Pradesh,UP,28.90314,78.46984,176253,210,Asia__Kolkata
IN,CITY,Amroli,57127,Gujarat,GJ,21.25084,72.83878,17082,13,Asia__Kolkata
