cityId,searchRadius,hCountLevel0,hCountLevel1,hCountLevel2,hCountLevel3,hCountLevel7,cCountLevel0,cCountLevel1,cCountLevel2,cCountLevel3,cCountLevel7,rCountLevel0,rCountLevel1,rCountLevel2,rCountLevel3,rCountLevel7,aCountLevel0,aCountLevel1,aCountLevel2,aCountLevel3,aCountLevel7,iCountLevel0,iCountLevel1,iCountLevel2,iCountLevel3,iCountLevel7,nCountLevel0,nCountLevel1,nCountLevel2,nCountLevel3,nCountLevel7
466804,50000,12,20,0,0,0,150,96,2,2,0,366,57,5,0,0,61,1,4,7,0,0,0,0,0,0,77,77,1,0,0
757530,20000,6,7,2,0,2,32,77,3,1,0,443,53,1,3,0,8,0,0,0,0,0,0,0,0,0,83,83,1,0,0
638,20000,6,8,2,0,1,32,83,3,1,0,438,58,1,3,0,8,0,0,0,0,0,0,0,0,0,81,81,1,0,0
466805,30000,11,8,2,2,9,4,10,1,4,0,366,21,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1
466806,20000,0,0,0,0,0,2,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,50000,15,31,4,3,1,125,259,12,14,0,404,84,6,6,0,8,4,37,32,0,0,0,0,0,0,194,194,3,2,1
345009,20000,11,14,0,0,0,73,51,0,0,0,216,47,5,0,0,12,1,2,4,0,0,0,0,0,0,25,25,1,0,0
757542,20000,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0
35,20000,3,5,1,0,1,4,5,0,0,0,176,10,0,0,0,1,2,0,0,0,0,0,0,0,0,30,30,1,0,0
900,50000,18,32,5,3,2,127,239,12,14,0,433,63,1,3,0,8,3,37,32,0,0,0,0,0,0,252,252,1,2,1
779,20000,2,2,0,2,1,1,2,3,0,0,11,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,20000,15,17,0,1,0,0,2,0,0,0,26,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
216,50000,15,23,3,2,0,11,10,4,3,1,156,53,2,5,0,51,8,0,3,0,0,0,0,0,0,62,62,10,0,0
953,20000,6,1,2,4,0,0,2,0,0,0,96,8,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,20000,1,0,0,4,0,8,12,0,0,0,18,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131939,20000,5,12,2,4,3,6,3,1,2,1,2,9,1,2,2,0,6,0,1,11,0,0,0,0,0,9,9,1,2,0
131928,20000,10,7,0,1,7,1,1,0,1,0,11,2,0,2,5,9,6,1,1,35,0,0,0,0,0,221,221,1,0,0
131934,30000,31,66,6,9,15,50,39,6,19,5,12,26,3,7,8,18,13,2,3,138,0,0,0,0,0,376,376,1,5,1
839,20000,21,63,3,8,11,47,37,5,16,5,9,25,2,6,7,14,13,2,3,128,0,0,0,0,0,344,344,0,3,0
188,50000,268,107,11,47,52,73,68,39,92,38,57,75,2,21,50,94,38,2,8,31,0,0,0,0,1,59,59,27,24,1
132180,20000,0,1,0,0,0,4,3,0,0,1,9,45,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0
132154,20000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132148,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724,20000,0,3,0,0,0,0,2,0,0,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1172,20000,1,1,0,0,1,2,2,0,0,0,4,6,0,0,0,6,0,0,1,2,0,0,0,0,0,16,16,0,0,0
1040,50000,6,16,3,1,3,21,28,0,2,8,30,130,1,0,4,1,5,0,0,5,0,0,0,0,0,16,16,0,0,0
132127,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,20000,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132116,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,20000,2,32,0,0,0,7,19,4,0,2,11,41,0,0,0,0,1,0,0,11,0,0,0,0,2,0,0,0,0,0
1960,50000,18,146,54,265,6,50,253,68,87,22,69,383,10,29,4,11,28,5,23,188,0,0,0,0,1,40,40,0,2,5
1932,20000,9,28,1,3,1,90,119,6,1,2,42,276,0,4,2,0,0,0,1,8,0,0,0,0,1,20,20,0,1,0
1474,50000,14,86,4,0,3,37,97,6,6,7,21,147,2,2,7,2,5,0,0,14,0,0,0,0,0,5,5,3,1,0
132610,30000,6,22,0,1,1,4,29,2,2,7,13,51,0,1,6,0,0,0,1,3,0,0,0,0,0,2,2,0,0,0
132318,20000,5,19,1,3,1,1,19,1,0,1,7,39,0,3,2,0,0,0,1,9,0,0,0,0,0,20,20,0,1,0
132331,20000,12,108,3,8,0,17,37,4,10,0,21,133,1,1,0,1,2,0,2,0,0,0,0,1,0,6,6,3,0,0
132627,30000,11,19,1,1,0,6,22,2,1,6,16,46,0,1,3,0,3,0,0,1,0,0,0,0,1,0,0,1,1,0
132590,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132534,20000,3,16,0,1,0,28,71,1,3,2,10,95,0,0,1,0,7,0,0,5,0,0,0,0,1,0,0,0,0,0
132509,30000,8,27,0,0,0,25,61,3,0,2,12,43,0,2,2,2,8,0,1,1,0,0,0,0,0,6,6,0,0,0
132486,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132230,20000,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
