cityId,stationId,countryCode,type,cityName,regionName,regionCode,lat,lon,population,elevation,timezone,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex,formations_mIndex,formations_rIndex,beach_gIndex,beach_wIndex,beach_bIndex,beach_sIndex,beach_rIndex,beach_nIndex,beach_uIndex,beach_oIndex
659,AEM00041217,AE,CITY,Abu Dhabi,Abu Dhabi Emirate,AZ,24.451179999999997,54.39696,1000000,14.0,Asia__Dubai,50,310,382,57,0,228,0,0,0,0,0,0,0,0,0,46
345009,AEM00041217,AE,CITY,Musaffah,Abu Dhabi Emirate,AZ,24.358929999999997,54.48267,243341,,Asia__Dubai,39,175,325,36,0,78,0,0,0,0,0,0,0,0,0,3
757530,AE000041196,AE,CITY,Ajman,Ajman Emirate,AJ,25.40328,55.52341,490035,,Asia__Dubai,38,199,564,8,0,252,0,0,0,0,0,0,0,0,0,2
638,AE000041196,AE,CITY,Ajman City,Ajman Emirate,AJ,25.401770000000003,55.47878000000001,490035,14.0,Asia__Dubai,34,211,569,8,0,246,0,0,0,0,0,0,0,0,0,19
644,MUM00041244,AE,CITY,Al Ain City,Abu Dhabi Emirate,AZ,24.191670000000002,55.76056,631005,292.0,Asia__Dubai,95,43,417,6,0,15,48,0,0,0,0,0,0,0,0,0
262,AEM00041194,AE,CITY,Dubai,Dubai,DU,25.07725,55.30927,2502715,,Asia__Dubai,107,735,614,255,0,605,8,0,0,0,0,0,0,0,0,9
900,AEM00041194,AE,CITY,Sharjah,Sharjah Emirate,SH,25.33737,55.41206,1400000,14.0,Asia__Dubai,121,697,574,253,0,773,2,0,0,0,0,0,0,0,0,69
35,MUM00041242,AE,CITY,Ras Al Khaimah City,Ras al-Khaimah,RK,25.78953,55.9432,351943,,Asia__Dubai,22,14,196,5,0,93,5,0,0,0,0,0,0,0,0,26
491,ALM00013615,AL,CITY,Durrës,Durrës District,DR,41.32355,19.45469,122034,0.0,Europe__Tirane,70,29,43,82,0,38,4,4,0,0,0,0,0,0,0,5
709,ALM00013615,AL,CITY,Elbasan,Elbasan District,EL,41.1125,20.08222,100903,150.0,Europe__Tirane,63,7,53,256,0,357,171,0,0,0,0,0,0,0,0,0
839,ALM00013615,AL,CITY,Tirana,Tirana District,TR,41.3275,19.81889,418495,110.0,Europe__Tirane,254,230,131,826,0,1044,660,0,0,0,0,0,0,0,0,0
25,MJM00013461,AL,CITY,Shkodër,Shkodër District,SH,42.06828,19.51258,112276,13.0,Europe__Tirane,174,91,151,1083,0,1137,624,0,0,0,0,0,0,0,0,2
392,AM000037682,AM,CITY,Gyumri,Shirak Region,SH,40.7942,43.845279999999995,148381,1509.0,Asia__Yerevan,158,89,80,93,0,6,4,0,0,0,0,0,0,0,0,0
30,AM000037704,AM,CITY,Vanadzor,Lori Region,LO,40.804559999999995,44.4939,101098,1350.0,Asia__Yerevan,24,40,34,10,0,46,72,0,0,0,0,0,0,0,0,0
188,AM000037792,AM,CITY,Yerevan,Yerevan,ER,40.18111,44.51361,1075800,,Asia__Yerevan,1015,922,597,394,6,360,231,4,0,0,0,0,0,0,0,0
1607,AR000877500,AR,CITY,Bahía Blanca,Buenos Aires Province,B,-38.719590000000004,-62.27243000000001,301572,20.0,America__Argentina__Buenos_Aires,66,69,93,68,12,0,0,0,0,0,0,0,0,0,0,0
132651,AR000877500,AR,CITY,Partido de Bahía Blanca,Buenos Aires Province,B,-38.66667,-62.333330000000004,301572,,America__Argentina__Buenos_Aires,64,64,93,68,12,0,0,0,0,0,0,0,0,0,0,0
2545,ARM00087582,AR,CITY,Balvanera,Buenos Aires,C,-34.61032,-58.397659999999995,152198,35.0,America__Argentina__Buenos_Aires,1572,1240,1005,1155,6,70,0,0,0,0,0,0,0,0,0,0
1610,ARM00087582,AR,CITY,Berazategui,Buenos Aires Province,B,-34.76531,-58.21278,167498,22.0,America__Argentina__Buenos_Aires,63,86,388,21,0,15,0,0,0,0,0,0,0,0,0,1
1960,ARM00087582,AR,CITY,Buenos Aires,Buenos Aires,C,-34.61315,-58.377230000000004,13076300,25.0,America__Argentina__Buenos_Aires,1568,1240,1005,1302,6,158,0,0,0,0,0,0,0,0,0,5
132320,ARM00087582,AR,CITY,Partido de Avellaneda,Buenos Aires Province,B,-34.66667,-58.333330000000004,340985,,America__Argentina__Buenos_Aires,1547,1241,1001,1124,6,48,0,0,0,0,0,0,0,0,0,0
132221,ARM00087582,AR,CITY,Partido de Quilmes,Buenos Aires Province,B,-34.75,-58.25,518788,,America__Argentina__Buenos_Aires,1519,1204,981,981,6,51,0,0,0,0,0,0,0,0,0,5
1549,ARM00087582,AR,CITY,Quilmes,Buenos Aires Province,B,-34.729040000000005,-58.263740000000006,230810,17.0,America__Argentina__Buenos_Aires,186,510,663,211,0,27,0,0,0,0,0,0,0,0,0,0
1783,AR000875850,AR,CITY,Belgrano,Buenos Aires,C,-34.5627,-58.458290000000005,138942,18.0,America__Argentina__Buenos_Aires,1578,1156,1022,1164,6,95,0,0,0,0,0,0,0,0,0,5
1531,AR000875850,AR,CITY,Ituzaingó,Buenos Aires Province,B,-34.65803,-58.663169999999994,135275,28.0,America__Argentina__Buenos_Aires,277,294,693,95,0,3,0,0,0,0,0,0,0,0,0,0
1491876,AR000875850,AR,CITY,José C. Paz,Buenos Aires Province,B,-34.515409999999996,-58.768130000000006,230208,,America__Argentina__Buenos_Aires,170,110,371,26,0,9,0,0,0,0,0,0,0,0,0,0
1552,AR000875850,AR,CITY,Lanús,Buenos Aires Province,B,-34.70252,-58.3955,459263,9.0,America__Argentina__Buenos_Aires,1537,1184,1001,1138,6,39,0,0,0,0,0,0,0,0,0,0
1619,AR000875850,AR,CITY,Merlo,Buenos Aires Province,B,-34.666270000000004,-58.72926999999999,244168,16.0,America__Argentina__Buenos_Aires,190,136,435,35,0,3,0,0,0,0,0,0,0,0,0,0
1598,AR000875850,AR,CITY,Morón,Buenos Aires Province,B,-34.6509,-58.61956,319934,26.0,America__Argentina__Buenos_Aires,346,574,938,181,0,9,0,0,0,0,0,0,0,0,0,0
132294,AR000875850,AR,CITY,Partido de Escobar,Buenos Aires Province,B,-34.33333,-58.75,178155,,America__Argentina__Buenos_Aires,60,49,93,8,0,9,0,0,0,0,0,0,0,0,0,0
132690,AR000875850,AR,CITY,Partido de Hurlingham,Buenos Aires Province,B,-34.586940000000006,-58.62806,176505,,America__Argentina__Buenos_Aires,414,737,953,207,0,9,0,0,0,0,0,0,0,0,0,0
132674,AR000875850,AR,CITY,Partido de Ituzaingó,Buenos Aires Province,B,-34.66028,-58.666109999999996,158121,,America__Argentina__Buenos_Aires,271,284,681,95,0,3,0,0,0,0,0,0,0,0,0,0
132267,AR000875850,AR,CITY,Partido de José C. Paz,Buenos Aires Province,B,-34.5198,-58.76556,230208,,America__Argentina__Buenos_Aires,174,110,390,26,0,9,0,0,0,0,0,0,0,0,0,0
132260,AR000875850,AR,CITY,Partido de Lanús,Buenos Aires Province,B,-34.66667,-58.416669999999996,212152,,America__Argentina__Buenos_Aires,1557,1155,1001,1180,6,58,0,0,0,0,0,0,0,0,0,0
