countryCode,languageCode,languageName
AL,sqi,Albanian
DZ,ara,Arabic
AR,spa,Spanish
AR,grn,Guaraní
AM,hye,Armenian
AM,rus,Russian
AU,eng,English
AT,deu,German
AZ,aze,Azerbaijani
BH,ara,Arabic
BD,ben,Bengali
BE,nld,Dutch
BE,fra,French
BE,deu,German
BO,spa,Spanish
BO,aym,Aymara
BO,que,Quechua
BA,bos,Bosnian
BA,hrv,Croatian
BA,srp,Serbian
BR,por,Portuguese
BG,bul,Bulgarian
KH,khm,Khmer
CA,eng,English
CA,fra,French
CL,spa,Spanish
CN,zho,Chinese
CO,spa,Spanish
CR,spa,Spanish
HR,hrv,Croatian
CY,ell,Greek (modern)
CY,tur,Turkish
CY,hye,Armenian
CZ,ces,Czech
CZ,slk,Slovak
DK,dan,Danish
DO,spa,Spanish
EC,spa,Spanish
EG,ara,Arabic
SV,spa,Spanish
EE,est,Estonian
FI,fin,Finnish
FI,swe,Swedish
FR,fra,French
GE,kat,Georgian
DE,deu,German
GH,eng,English
GR,ell,Greek (modern)
GT,spa,Spanish
HN,spa,Spanish
HK,eng,English
HK,zho,Chinese
HU,hun,Hungarian
IS,isl,Icelandic
IN,hin,Hindi
IN,eng,English
ID,ind,Indonesian
IR,fas,Persian (Farsi)
IE,gle,Irish
IE,eng,English
IL,heb,Hebrew (modern)
IL,ara,Arabic
IT,ita,Italian
JM,eng,English
JP,jpn,Japanese
JO,ara,Arabic
KZ,kaz,Kazakh
KZ,rus,Russian
KE,eng,English
KE,swa,Swahili
KW,ara,Arabic
LV,lav,Latvian
LB,ara,Arabic
LB,fra,French
LT,lit,Lithuanian
LU,fra,French
LU,deu,German
LU,ltz,Luxembourgish
MK,mkd,Macedonian
MY,zsm,Malaysian
MT,mlt,Maltese
MT,eng,English
MU,eng,English
MX,spa,Spanish
MD,ron,Romanian
ME,srp,Serbian
ME,bos,Bosnian
ME,sqi,Albanian
ME,hrv,Croatian
MA,ara,Arabic
,eng,English
,afr,Afrikaans
NP,nep,Nepali
NL,nld,Dutch
NZ,eng,English
NZ,mri,Māori
NG,eng,English
NO,nor,Norwegian
NO,nob,Norwegian Bokmål
NO,nno,Norwegian Nynorsk
OM,ara,Arabic
PK,eng,English
PK,urd,Urdu
PA,spa,Spanish
PE,spa,Spanish
PH,eng,English
PL,pol,Polish
PT,por,Portuguese
QA,ara,Arabic
RO,ron,Romanian
RU,rus,Russian
SA,ara,Arabic
RS,srp,Serbian
SG,eng,English
SG,msa,Malay
SG,tam,Tamil
SG,zho,Chinese
SK,slk,Slovak
SI,slv,Slovene
ZA,afr,Afrikaans
ZA,eng,English
ZA,nbl,Southern Ndebele
ZA,sot,Southern Sotho
ZA,ssw,Swati
ZA,tsn,Tswana
ZA,tso,Tsonga
ZA,ven,Venda
ZA,xho,Xhosa
ZA,zul,Zulu
KR,kor,Korean
ES,spa,Spanish
LK,sin,Sinhalese
LK,tam,Tamil
SE,swe,Swedish
CH,deu,German
CH,fra,French
CH,ita,Italian
TZ,swa,Swahili
TZ,eng,English
TH,tha,Thai
TT,eng,English
TN,ara,Arabic
TR,tur,Turkish
UG,eng,English
UG,swa,Swahili
UA,ukr,Ukrainian
AE,ara,Arabic
GB,eng,English
US,eng,English
UY,spa,Spanish
VE,spa,Spanish
VN,vie,Vietnamese
ZW,eng,English
ZW,sna,Shona
ZW,nde,Northern Ndebele
