regionCode,regionName,countryCode,culture_hIndexMean,culture_hIndexMin,culture_hIndexMax,culture_cIndexMean,culture_cIndexMin,culture_cIndexMax,culture_rIndexMean,culture_rIndexMin,culture_rIndexMax,culture_aIndexMean,culture_aIndexMin,culture_aIndexMax,culture_iIndexMean,culture_iIndexMin,culture_iIndexMax,culture_nIndexMean,culture_nIndexMin,culture_nIndexMax,formations_mIndexMean,formations_mIndexMin,formations_mIndexMax,formations_rIndexMean,formations_rIndexMin,formations_rIndexMax,beach_IndexMean,beach_IndexMin,beach_IndexMax
AE_AJ,Ajman Emirate,AE,30.0,28,32,173.0,167,179,126.0,121,131,0.0,0,0,0.0,0,0,167.0,165,169,0.0,0,0,0.0,0,0,10.0,2,19
AE_AZ,Abu Dhabi Emirate,AE,50.0,28,84,102.0,39,166,93.0,50,121,24.0,6,42,0.0,0,0,73.0,12,153,16.0,0,48,0.0,0,0,16.0,0,46
AE_DU,Dubai,AE,92.0,92,92,610.0,610,610,210.0,210,210,247.0,247,247,0.0,0,0,411.0,411,411,8.0,8,8,0.0,0,0,9.0,9,9
AE_RK,Ras al-Khaimah,AE,19.0,19,19,10.0,10,10,20.0,20,20,4.0,4,4,0.0,0,0,63.0,63,63,5.0,5,5,0.0,0,0,26.0,26,26
AE_SH,Sharjah Emirate,AE,103.0,103,103,570.0,570,570,141.0,141,141,245.0,245,245,0.0,0,0,521.0,521,521,2.0,2,2,0.0,0,0,69.0,69,69
AL_DR,Durrës District,AL,64.0,64,64,23.0,23,23,41.0,41,41,82.0,82,82,0.0,0,0,29.0,29,29,4.0,4,4,4.0,4,4,5.0,5,5
AL_EL,Elbasan District,AL,54.0,54,54,6.0,6,6,42.0,42,42,247.0,247,247,0.0,0,0,238.0,238,238,52.0,52,52,0.0,0,0,0.0,0,0
AL_SH,Shkodër District,AL,133.0,133,133,73.0,73,73,128.0,128,128,833.0,833,833,0.0,0,0,763.0,763,763,244.0,244,244,0.0,0,0,2.0,2,2
AL_TR,Tirana District,AL,233.0,233,233,183.0,183,183,122.0,122,122,812.0,812,812,0.0,0,0,700.0,700,700,316.0,316,316,0.0,0,0,0.0,0,0
AM_ER,Yerevan,AM,747.0,747,747,849.0,849,849,540.0,540,540,300.0,300,300,6.0,6,6,301.0,301,301,198.0,198,198,4.0,4,4,0.0,0,0
AM_LO,Lori Region,AM,12.0,12,12,38.0,38,38,30.0,30,30,6.0,6,6,0.0,0,0,37.0,37,37,63.0,63,63,0.0,0,0,0.0,0,0
AM_SH,Shirak Region,AM,123.0,123,123,77.0,77,77,70.0,70,70,14.0,14,14,0.0,0,0,4.0,4,4,2.0,2,2,0.0,0,0,0.0,0,0
AR_A,Salta Province,AR,80.0,80,80,120.0,120,120,146.0,146,146,22.0,22,22,0.0,0,0,4.0,4,4,24.0,24,24,0.0,0,0,0.0,0,0
AR_B,Buenos Aires Province,AR,365.0,28,1544,394.0,26,1194,509.0,36,931,255.0,6,1305,2.0,0,12,25.0,0,117,1.0,0,27,0.0,0,0,1.0,0,42
AR_C,Buenos Aires,AR,1555.0,1550,1560,1155.0,1081,1193,945.0,936,964,1198.0,1147,1291,6.0,6,6,84.0,58,118,0.0,0,0,0.0,0,0,3.0,0,5
AR_D,San Luis Province,AR,19.0,18,20,14.0,14,14,30.0,18,42,2.0,0,3,0.0,0,0,3.0,0,6,1.0,0,2,0.0,0,0,1.0,0,2
AR_E,Entre Ríos Province,AR,14.0,14,14,25.0,24,26,40.0,34,47,9.0,0,18,0.0,0,0,8.0,2,14,0.0,0,0,0.0,0,0,7.0,4,10
AR_F,La Rioja Province,AR,20.0,20,20,26.0,26,26,27.0,27,27,0.0,0,0,0.0,0,0,0.0,0,0,4.0,4,4,0.0,0,0,0.0,0,0
AR_G,Santiago del Estero Province,AR,26.0,26,26,10.0,10,10,68.0,68,68,0.0,0,0,0.0,0,0,2.0,0,4,0.0,0,0,0.0,0,0,0.0,0,0
AR_H,Chaco Province,AR,77.0,77,77,277.0,277,277,684.0,684,684,52.0,52,52,6.0,6,6,26.0,26,26,4.0,4,4,0.0,0,0,0.0,0,0
AR_J,San Juan Province,AR,95.0,95,95,71.0,71,71,238.0,238,238,22.0,22,22,0.0,0,0,3.0,3,3,9.0,9,9,0.0,0,0,0.0,0,0
AR_K,Catamarca Province,AR,34.0,34,34,33.0,33,33,110.0,110,110,22.0,22,22,2.0,2,2,13.0,13,13,5.0,5,5,0.0,0,0,3.0,3,3
AR_L,La Pampa,AR,2.0,2,2,16.0,16,16,28.0,28,28,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
AR_M,Mendoza,AR,12.0,0,36,48.0,0,169,61.0,2,196,13.0,0,44,2.0,0,6,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
AR_N,Misiones Province,AR,267.0,267,267,134.0,134,134,311.0,311,311,20.0,20,20,4.0,4,4,17.0,17,17,0.0,0,0,0.0,0,0,5.0,5,5
AR_P,Formosa Province,AR,18.0,18,18,18.0,18,18,22.0,22,22,0.0,0,0,6.0,6,6,8.0,8,8,0.0,0,0,0.0,0,0,0.0,0,0
AR_Q,Neuquén Province,AR,78.0,78,78,100.0,100,100,77.0,77,77,6.0,6,6,6.0,6,6,6.0,6,6,4.0,4,4,0.0,0,0,2.0,2,2
AR_R,Río Negro Province,AR,8.0,8,8,33.0,33,33,26.0,26,26,5.0,5,5,0.0,0,0,39.0,39,39,41.0,41,41,0.0,0,0,5.0,5,5
AR_S,Santa Fe Province,AR,84.0,36,132,199.0,76,322,133.0,90,176,57.0,18,96,2.0,0,4,35.0,12,58,0.0,0,0,0.0,0,0,28.0,10,45
AR_T,Tucumán Province,AR,45.0,45,45,93.0,93,93,114.0,114,114,12.0,12,12,6.0,6,6,7.0,7,7,20.0,20,20,3.0,3,3,0.0,0,0
AR_U,Chubut Province,AR,20.0,10,30,24.0,17,30,28.0,26,30,6.0,0,12,6.0,6,6,11.0,0,22,15.0,0,30,0.0,0,0,2.0,0,4
AR_W,Corrientes,AR,77.0,77,77,272.0,272,272,580.0,580,580,52.0,52,52,6.0,6,6,44.0,44,44,4.0,4,4,0.0,0,0,12.0,12,12
AR_X,Córdoba Province,AR,46.0,46,46,48.0,48,48,28.0,28,28,12.0,12,12,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
