countryCode,type,cityName,cityId,regionName,population,regionCode,lat,lon,elevation,timezone
AE,CITY,Abu Dhabi,659,Abu Dhabi Emirate,1000000,AZ,24.451179999999997,54.39696,14.0,Asia__Dubai
AE,CITY,Ajman,757530,Ajman Emirate,490035,AJ,25.40328,55.52341,,Asia__Dubai
AE,CITY,Ajman City,638,Ajman Emirate,490035,AJ,25.401770000000003,55.47878000000001,14.0,Asia__Dubai
AE,CITY,Al Ain City,644,Abu Dhabi Emirate,631005,AZ,24.191670000000002,55.76056,292.0,Asia__Dubai
AE,CITY,Dubai,262,Dubai,2502715,DU,25.07725,55.30927,,Asia__Dubai
AE,CITY,Musaffah,345009,Abu Dhabi Emirate,243341,AZ,24.358929999999997,54.48267,,Asia__Dubai
AE,CITY,Ras Al Khaimah City,35,Ras al-Khaimah,351943,RK,25.78953,55.9432,,Asia__Dubai
AE,CITY,Sharjah,900,Sharjah Emirate,1400000,SH,25.33737,55.41206,14.0,Asia__Dubai
AL,CITY,Durrës,491,Durrës District,122034,DR,41.32355,19.45469,0.0,Europe__Tirane
AL,CITY,Elbasan,709,Elbasan District,100903,EL,41.1125,20.08222,150.0,Europe__Tirane
AL,CITY,Shkodër,25,Shkodër District,112276,SH,42.06828,19.51258,13.0,Europe__Tirane
AL,CITY,Tirana,839,Tirana District,418495,TR,41.3275,19.81889,110.0,Europe__Tirane
AL,CITY,Vlorë,238,Vlorë County,130827,12,40.4686,19.483179999999997,0.0,Europe__Tirane
AM,CITY,Gyumri,392,Shirak Region,148381,SH,40.7942,43.845279999999995,1509.0,Asia__Yerevan
AM,CITY,Vanadzor,30,Lori Region,101098,LO,40.804559999999995,44.4939,1350.0,Asia__Yerevan
AM,CITY,Yerevan,188,Yerevan,1075800,ER,40.18111,44.51361,,Asia__Yerevan
AR,CITY,Bahía Blanca,1607,Buenos Aires Province,301572,B,-38.719590000000004,-62.27243000000001,20.0,America__Argentina__Buenos_Aires
AR,CITY,Balvanera,2545,Buenos Aires,152198,C,-34.61032,-58.397659999999995,35.0,America__Argentina__Buenos_Aires
AR,CITY,Belgrano,1783,Buenos Aires,138942,C,-34.5627,-58.458290000000005,18.0,America__Argentina__Buenos_Aires
AR,CITY,Berazategui,1610,Buenos Aires Province,167498,B,-34.76531,-58.21278,22.0,America__Argentina__Buenos_Aires
AR,CITY,Berisso,1892,Buenos Aires Province,101123,B,-34.8735,-57.883030000000005,6.0,America__Argentina__Buenos_Aires
AR,CITY,Buenos Aires,1960,Buenos Aires,13076300,C,-34.61315,-58.377230000000004,25.0,America__Argentina__Buenos_Aires
AR,CITY,Comodoro Rivadavia,1680,Chubut Province,217593,U,-45.864129999999996,-67.49656,61.0,America__Argentina__Rio_Gallegos
AR,CITY,Concordia,1170,Entre Ríos Province,149450,E,-31.39296,-58.02089,21.0,America__Argentina__Cordoba
AR,CITY,Corrientes,1932,Corrientes,352646,W,-27.467840000000002,-58.8344,62.0,America__Argentina__Cordoba
AR,CITY,Córdoba,1474,Córdoba Province,1428214,X,-31.4135,-64.18105,390.0,America__Argentina__Cordoba
AR,CITY,Departamento de Capital,132626,San Juan Province,116511,J,-31.53333,-68.53333,,America__Argentina__San_Juan
AR,CITY,Departamento de Godoy Cruz,132523,Mendoza,182977,M,-32.93333,-68.86667,,America__Argentina__Mendoza
AR,CITY,Departamento de Guaymallén,132534,Mendoza,283803,M,-32.88333,-68.7,,America__Argentina__Mendoza
AR,CITY,Departamento de Las Heras,132500,Mendoza,182962,M,-32.5,-69.5,,America__Argentina__Mendoza
AR,CITY,Departamento de Luján,132484,Mendoza,104470,M,-33.0,-69.33333,,America__Argentina__Mendoza
AR,CITY,Departamento de Maipú,132482,Mendoza,153600,M,-33.0,-68.58333,,America__Argentina__Mendoza
AR,CITY,Departamento de San Martín,132389,Mendoza,108448,M,-32.8373,-68.24922,,America__Argentina__Mendoza
AR,CITY,Florencio Varela,1767,Buenos Aires Province,146704,B,-34.827220000000004,-58.395559999999996,25.0,America__Argentina__Buenos_Aires
AR,CITY,Formosa,1908,Formosa Province,222226,P,-26.18489,-58.17313000000001,57.0,America__Argentina__Cordoba
AR,CITY,Godoy Cruz,1515,Mendoza,191299,M,-32.92863,-68.8351,780.0,America__Argentina__Mendoza
AR,CITY,Gualeguaychú,1022,Entre Ríos Province,109461,E,-33.009370000000004,-58.517219999999995,15.0,America__Argentina__Cordoba
AR,CITY,Ituzaingó,1531,Buenos Aires Province,135275,B,-34.65803,-58.663169999999994,28.0,America__Argentina__Buenos_Aires
AR,CITY,José C. Paz,1491876,Buenos Aires Province,230208,B,-34.515409999999996,-58.768130000000006,,America__Argentina__Buenos_Aires
AR,CITY,José María Ezeiza,1119,Buenos Aires Province,160219,B,-34.84787,-58.528690000000005,12.0,America__Argentina__Buenos_Aires
AR,CITY,La Banda,1964,Santiago del Estero Province,106441,G,-27.73348,-64.24278000000001,193.0,America__Argentina__Cordoba
AR,CITY,La Plata,1244,Buenos Aires Province,694167,B,-34.92145,-57.954530000000005,26.0,America__Argentina__Buenos_Aires
AR,CITY,La Rioja,1451,La Rioja Province,180995,F,-29.41105,-66.85067,498.0,America__Argentina__La_Rioja
AR,CITY,Lanús,1552,Buenos Aires Province,459263,B,-34.70252,-58.3955,9.0,America__Argentina__Buenos_Aires
AR,CITY,Las Heras,1073,Mendoza,203507,M,-32.85273,-68.82836999999999,900.0,America__Argentina__Mendoza
AR,CITY,Lomas de Zamora,1718,Buenos Aires Province,111897,B,-34.76088,-58.406319999999994,20.0,America__Argentina__Buenos_Aires
AR,CITY,Mar del Plata,1466,Buenos Aires Province,860000,B,-38.00042,-57.5562,38.0,America__Argentina__Buenos_Aires
AR,CITY,Mendoza,1144,Mendoza,876884,M,-32.890840000000004,-68.82717,769.0,America__Argentina__Mendoza
AR,CITY,Merlo,1619,Buenos Aires Province,244168,B,-34.666270000000004,-58.72926999999999,16.0,America__Argentina__Buenos_Aires
AR,CITY,Morón,1598,Buenos Aires Province,319934,B,-34.6509,-58.61956,26.0,America__Argentina__Buenos_Aires
AR,CITY,Neuquén,1963,Neuquén Province,242092,Q,-38.951609999999995,-68.0591,250.0,America__Argentina__Salta
AR,CITY,Paraná,1400,Entre Ríos Province,262295,E,-31.732709999999997,-60.528969999999994,66.0,America__Argentina__Cordoba
AR,CITY,Partido de Almirante Brown,132315,Buenos Aires Province,555731,B,-34.83333,-58.333330000000004,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Avellaneda,132320,Buenos Aires Province,340985,B,-34.66667,-58.333330000000004,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Bahía Blanca,132651,Buenos Aires Province,301572,B,-38.66667,-62.333330000000004,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Berazategui,132330,Buenos Aires Province,320224,B,-34.83333,-58.166669999999996,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Escobar,132294,Buenos Aires Province,178155,B,-34.33333,-58.75,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Esteban Echeverría,132283,Buenos Aires Province,298814,B,-34.81917,-58.465830000000004,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Ezeiza,132679,Buenos Aires Province,118807,B,-34.85417,-58.524719999999995,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Florencio Varela,132290,Buenos Aires Province,423992,B,-34.83333,-58.25,,America__Argentina__Buenos_Aires
AR,CITY,Partido de General Pueyrredón,132275,Buenos Aires Province,564056,B,-38.0,-57.75,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Hurlingham,132690,Buenos Aires Province,176505,B,-34.586940000000006,-58.62806,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Ituzaingó,132674,Buenos Aires Province,158121,B,-34.66028,-58.666109999999996,,America__Argentina__Buenos_Aires
AR,CITY,Partido de José C. Paz,132267,Buenos Aires Province,230208,B,-34.5198,-58.76556,,America__Argentina__Buenos_Aires
AR,CITY,Partido de La Matanza,132245,Buenos Aires Province,1775816,B,-34.75,-58.583330000000004,,America__Argentina__Buenos_Aires
AR,CITY,Partido de La Plata,132263,Buenos Aires Province,774369,B,-35.0,-58.0,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Lanús,132260,Buenos Aires Province,212152,B,-34.66667,-58.416669999999996,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Lomas de Zamora,132236,Buenos Aires Province,613192,B,-34.75,-58.416669999999996,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Malvinas Argentinas,132681,Buenos Aires Province,320000,B,-34.507709999999996,-58.6956,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Merlo,132258,Buenos Aires Province,524207,B,-34.66583,-58.728280000000005,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Moreno,132254,Buenos Aires Province,462242,B,-34.6349,-58.79059,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Morón,132238,Buenos Aires Province,321109,B,-34.65139,-58.62194,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Olavarría,132461,Buenos Aires Province,103961,B,-36.75,-60.75,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Quilmes,132221,Buenos Aires Province,518788,B,-34.75,-58.25,,America__Argentina__Buenos_Aires
AR,CITY,Partido de San Fernando,132200,Buenos Aires Province,163462,B,-34.44542,-58.542019999999994,,America__Argentina__Buenos_Aires
AR,CITY,Partido de San Isidro,132208,Buenos Aires Province,292878,B,-34.49009,-58.530280000000005,,America__Argentina__Buenos_Aires
AR,CITY,Partido de San Miguel,132669,Buenos Aires Province,253086,B,-34.55209,-58.69171,,America__Argentina__Buenos_Aires
AR,CITY,Partido de San Nicolás,132375,Buenos Aires Province,137867,B,-33.5,-60.333330000000004,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Tandil,132195,Buenos Aires Province,108109,B,-37.33333,-59.25,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Tigre,132188,Buenos Aires Province,380709,B,-34.42058,-58.58279,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Tres de Febrero,132191,Buenos Aires Province,343774,B,-34.59987,-58.56606,,America__Argentina__Buenos_Aires
AR,CITY,Partido de Zárate,132183,Buenos Aires Province,114269,B,-34.0,-59.166669999999996,,America__Argentina__Buenos_Aires
AR,CITY,Pilar,1187,Buenos Aires Province,226517,B,-34.458659999999995,-58.9142,18.0,America__Argentina__Buenos_Aires
AR,CITY,Posadas,1444,Misiones Province,323739,N,-27.367079999999998,-55.896080000000005,83.0,America__Argentina__Cordoba
AR,CITY,Puerto Madryn,1488,Chubut Province,111447,U,-42.7692,-65.03851,17.0,America__Argentina__Catamarca
AR,CITY,Quilmes,1549,Buenos Aires Province,230810,B,-34.729040000000005,-58.263740000000006,17.0,America__Argentina__Buenos_Aires
AR,CITY,Resistencia,1236,Chaco Province,387158,H,-27.460559999999997,-58.98389,20.0,America__Argentina__Cordoba
AR,CITY,Rosario,1494,Santa Fe Province,1193605,S,-32.94682,-60.63932,31.0,America__Argentina__Cordoba
AR,CITY,Río Cuarto,1308,Córdoba Province,157010,X,-33.13067,-64.34992,425.0,America__Argentina__Cordoba
AR,CITY,Salta,1910,Salta Province,535303,A,-24.7859,-65.41166,1152.0,America__Argentina__Salta
AR,CITY,San Carlos de Bariloche,2200,Río Negro Province,112887,R,-41.14557,-71.30821999999999,1093.0,America__Argentina__Salta
AR,CITY,San Fernando del Valle de Catamarca,1793,Catamarca Province,188812,K,-28.46957,-65.78524,500.0,America__Argentina__Catamarca
AR,CITY,San Isidro,1642,Buenos Aires Province,292878,B,-34.4721,-58.527080000000005,15.0,America__Argentina__Buenos_Aires
AR,CITY,San Juan,1866,San Juan Province,471389,J,-31.5375,-68.53639,640.0,America__Argentina__San_Juan
AR,CITY,San Justo,1048,Buenos Aires Province,136604,B,-34.6766,-58.56058,26.0,America__Argentina__Buenos_Aires
AR,CITY,San Luis,1159,San Luis Province,183982,D,-33.29501,-66.33563000000001,709.0,America__Argentina__San_Luis
AR,CITY,San Miguel,1197476,Buenos Aires Province,157532,B,-34.54335,-58.71229,28.0,America__Argentina__Buenos_Aires
AR,CITY,San Miguel de Tucumán,1108,Tucumán Province,781023,T,-26.824140000000003,-65.2226,431.0,America__Argentina__Tucuman
AR,CITY,San Nicolás de los Arroyos,1878,Buenos Aires Province,160000,B,-33.33425,-60.2108,17.0,America__Argentina__Buenos_Aires
AR,CITY,San Rafael,1787,Mendoza,109163,M,-34.61772,-68.33006999999999,650.0,America__Argentina__Mendoza
AR,CITY,San Salvador de Jujuy,1409,Jujuy Province,321789,Y,-24.194570000000002,-65.29711999999999,1201.0,America__Argentina__Jujuy
AR,CITY,Santa Fe,1887,Santa Fe Province,489505,S,-31.648809999999997,-60.70868000000001,25.0,America__Argentina__Cordoba
AR,CITY,Santa Rosa,1066,La Pampa,111424,L,-36.61667,-64.28333,179.0,America__Argentina__Salta
AR,CITY,Santiago del Estero,1500,Santiago del Estero Province,354692,G,-27.795109999999998,-64.26149000000001,182.0,America__Argentina__Cordoba
AR,CITY,Tandil,1398,Buenos Aires Province,116917,B,-37.321670000000005,-59.13316,188.0,America__Argentina__Buenos_Aires
AR,CITY,Trelew,1052,Chubut Province,108360,U,-43.24895,-65.30505,11.0,America__Argentina__Catamarca
AR,CITY,Villa Mercedes,2502,San Luis Province,111391,D,-33.675709999999995,-65.45783,512.0,America__Argentina__San_Luis
AR,CITY,Zárate,1743,Buenos Aires Province,114269,B,-34.09814,-59.028580000000005,27.0,America__Argentina__Buenos_Aires
AT,CITY,Donaustadt,4140,Vienna,162592,9,48.2333,16.46002,,Europe__Vienna
AT,CITY,Favoriten,4770,Vienna,179179,9,48.161159999999995,16.38233,,Europe__Vienna
AT,CITY,Floridsdorf,3100,Vienna,162779,9,48.25,16.4,,Europe__Vienna
AT,CITY,Graz,3750,Styria,222326,6,47.06667,15.45,363.0,Europe__Vienna
AT,CITY,Graz Stadt,132781,Styria,289440,6,47.06667,15.433329999999998,,Europe__Vienna
AT,CITY,Innsbruck,3158,Tyrol,132493,7,47.26266,11.39454,570.0,Europe__Vienna
AT,CITY,Klagenfurt am Wörthersee,132768,Carinthia,100316,2,46.63333,14.3,,Europe__Vienna
AT,CITY,Linz,3676,Upper Austria,204846,4,48.30639,14.28611,266.0,Europe__Vienna
AT,CITY,Salzburg,1996,Salzburg,154076,5,47.799409999999995,13.043989999999999,424.0,Europe__Vienna
AT,CITY,Salzburg Stadt,132737,Salzburg,154076,5,47.800670000000004,13.04532,,Europe__Vienna
AT,CITY,Vienna,2534,Vienna,1840573,9,48.208490000000005,16.37208,171.0,Europe__Vienna
AU,CITY,Adelaide,4299,South Australia,1295714,SA,-34.92866,138.59863,1.0,Australia__Adelaide
AU,CITY,Bendigo,5657,Victoria,100617,VIC,-36.758179999999996,144.28024,221.0,Australia__Melbourne
AU,CITY,Brisbane,5499,Queensland,2360241,QLD,-27.467940000000002,153.02809,0.0,Australia__Brisbane
AU,CITY,Cairns,133157,Queensland,153075,QLD,-16.90268,145.75287,,Australia__Brisbane
AU,CITY,Canberra,5042,Australian Capital Territory,381488,ACT,-35.28346,149.12807,578.0,Australia__Sydney
AU,CITY,Darwin,4282,Northern Territory,136828,NT,-12.46113,130.84185,0.0,Australia__Darwin
AU,CITY,Geelong,5893,Victoria,226034,VIC,-38.14711,144.36068999999998,14.0,Australia__Melbourne
AU,CITY,Gold Coast,5493,Queensland,638090,QLD,-28.000290000000003,153.43088,12.0,Australia__Brisbane
AU,CITY,Hobart,5345,Tasmania,222356,TAS,-42.87936,147.32941,1270.0,Australia__Hobart
AU,CITY,Ipswich,133205,Queensland,163000,QLD,-27.6779,152.66188,,Australia__Brisbane
AU,CITY,Launceston,4034,Tasmania,106153,TAS,-41.438759999999995,147.13467,0.0,Australia__Hobart
AU,CITY,Logan City,5000,Queensland,282673,QLD,-27.63917,153.10943999999998,,Australia__Brisbane
AU,CITY,Melbourne,4970,Victoria,4529500,VIC,-37.814,144.96331999999998,31.0,Australia__Melbourne
AU,CITY,Newcastle,4383,New South Wales,308308,NSW,-32.92953,151.7801,9.0,Australia__Sydney
AU,CITY,Palmerston,132856,Northern Territory,136828,NT,-12.4962,130.97797,,Australia__Darwin
AU,CITY,Perth,4835,Western Australia,2039200,WA,-31.952240000000003,115.8614,2.0,Australia__Perth
AU,CITY,Rockingham,132927,Western Australia,108022,WA,-32.28239,115.73238,,Australia__Perth
AU,CITY,Sydney,4935,New South Wales,4840600,NSW,-33.86785,151.20731999999998,58.0,Australia__Sydney
AU,CITY,Toowoomba,133094,Queensland,135631,QLD,-27.47958,151.47705,,Australia__Brisbane
AU,CITY,Townsville,4226,Queensland,196219,QLD,-19.266389999999998,146.80569,6.0,Australia__Brisbane
AU,CITY,Wollongong,5276,New South Wales,292190,NSW,-34.424,150.89345,5.0,Australia__Sydney
AZ,CITY,Baku,6801,Baku,1116513,BA,40.37767,49.89201,,Asia__Baku
AZ,CITY,Ganja,6504,Ganja,313300,GA,40.68278,46.36056,,Asia__Baku
AZ,CITY,Khatai raion,133381,Baku,370000,BA,40.37852,49.9451,,Asia__Baku
AZ,CITY,Lankaran,6136,Lankaran District,240300,LA,38.75428,48.85062,76.0,Asia__Baku
AZ,CITY,Nizami Rayonu,133384,Baku,184900,BA,40.4097,49.919259999999994,,Asia__Baku
AZ,CITY,Sheki,6777,Shaki,185400,SA,41.19194,47.170559999999995,545.0,Asia__Baku
AZ,CITY,Sumqayıt,6588,Sumqayit,341200,SM,40.58972,49.66861,26.0,Asia__Baku
AZ,CITY,Yevlakh,6602,Yevlakh,127400,YE,40.618320000000004,47.15014,17.0,Asia__Baku
BA,CITY,Banja Luka,6619,Republika Srpska,221106,SRP,44.778420000000004,17.19386,163.0,Europe__Sarajevo
BA,CITY,Bijeljina,133416,Republika Srpska,114663,SRP,44.76583,19.15083,,Europe__Sarajevo
BA,CITY,Mostar,6389,Federation of Bosnia and Herzegovina,104518,BIH,43.34333,17.80806,60.0,Europe__Sarajevo
