cityId,stationId,countryCode,type,cityName,regionName,regionCode,lat,lon,population,elevation,timezone,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex,formations_mIndex,formations_rIndex,beach_Index,image_links
659,AEM00041217,AE,CITY,Abu Dhabi,Abu Dhabi Emirate,AZ,24.451179999999997,54.39696,1000000,14.0,Asia__Dubai,38,166,121,42,0,153,0,0,46,https://travelapiimages.s3.eu-central-1.amazonaws.com/659.jpg
345009,AEM00041217,AE,CITY,Musaffah,Abu Dhabi Emirate,AZ,24.358929999999997,54.48267,243341,,Asia__Dubai,28,102,109,24,0,53,0,0,3,https://travelapiimages.s3.eu-central-1.amazonaws.com/345009.jpg
757530,AE000041196,AE,CITY,Ajman,Ajman Emirate,AJ,25.40328,55.52341,490035,,Asia__Dubai,32,167,121,0,0,169,0,0,2,https://travelapiimages.s3.eu-central-1.amazonaws.com/757530.jpg
638,AE000041196,AE,CITY,Ajman City,Ajman Emirate,AJ,25.401770000000003,55.47878000000001,490035,14.0,Asia__Dubai,28,179,131,0,0,165,0,0,19,https://travelapiimages.s3.eu-central-1.amazonaws.com/638.jpg
644,MUM00041244,AE,CITY,Al Ain City,Abu Dhabi Emirate,AZ,24.191670000000002,55.76056,631005,292.0,Asia__Dubai,84,39,50,6,0,12,48,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/644.jpg
262,AEM00041194,AE,CITY,Dubai,Dubai,DU,25.07725,55.30927,2502715,,Asia__Dubai,92,610,210,247,0,411,8,0,9,https://travelapiimages.s3.eu-central-1.amazonaws.com/262.jpg
900,AEM00041194,AE,CITY,Sharjah,Sharjah Emirate,SH,25.33737,55.41206,1400000,14.0,Asia__Dubai,103,570,141,245,0,521,2,0,69,https://travelapiimages.s3.eu-central-1.amazonaws.com/900.jpg
35,MUM00041242,AE,CITY,Ras Al Khaimah City,Ras al-Khaimah,RK,25.78953,55.9432,351943,,Asia__Dubai,19,10,20,4,0,63,5,0,26,https://travelapiimages.s3.eu-central-1.amazonaws.com/35.jpg
491,ALM00013615,AL,CITY,Durrës,Durrës District,DR,41.32355,19.45469,122034,0.0,Europe__Tirane,64,23,41,82,0,29,4,4,5,https://travelapiimages.s3.eu-central-1.amazonaws.com/491.jpg
709,ALM00013615,AL,CITY,Elbasan,Elbasan District,EL,41.1125,20.08222,100903,150.0,Europe__Tirane,54,6,42,247,0,238,52,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/709.jpg
839,ALM00013615,AL,CITY,Tirana,Tirana District,TR,41.3275,19.81889,418495,110.0,Europe__Tirane,233,183,122,812,0,700,316,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/839.jpg
25,MJM00013461,AL,CITY,Shkodër,Shkodër District,SH,42.06828,19.51258,112276,13.0,Europe__Tirane,133,73,128,833,0,763,244,0,2,https://travelapiimages.s3.eu-central-1.amazonaws.com/25.jpg
392,AM000037682,AM,CITY,Gyumri,Shirak Region,SH,40.7942,43.845279999999995,148381,1509.0,Asia__Yerevan,123,77,70,14,0,4,2,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/392.jpg
30,AM000037704,AM,CITY,Vanadzor,Lori Region,LO,40.804559999999995,44.4939,101098,1350.0,Asia__Yerevan,12,38,30,6,0,37,63,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/30.jpg
188,AM000037792,AM,CITY,Yerevan,Yerevan,ER,40.18111,44.51361,1075800,,Asia__Yerevan,747,849,540,300,6,301,198,4,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/188.jpg
1607,AR000877500,AR,CITY,Bahía Blanca,Buenos Aires Province,B,-38.719590000000004,-62.27243000000001,301572,20.0,America__Argentina__Buenos_Aires,64,62,82,68,12,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1607.jpg
132651,AR000877500,AR,CITY,Partido de Bahía Blanca,Buenos Aires Province,B,-38.66667,-62.333330000000004,301572,,America__Argentina__Buenos_Aires,62,57,82,68,12,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132651.jpg
2545,ARM00087582,AR,CITY,Balvanera,Buenos Aires,C,-34.61032,-58.397659999999995,152198,35.0,America__Argentina__Buenos_Aires,1555,1193,936,1147,6,58,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/2545.jpg
1610,ARM00087582,AR,CITY,Berazategui,Buenos Aires Province,B,-34.76531,-58.21278,167498,22.0,America__Argentina__Buenos_Aires,58,66,364,20,0,10,0,0,1,https://travelapiimages.s3.eu-central-1.amazonaws.com/1610.jpg
1960,ARM00087582,AR,CITY,Buenos Aires,Buenos Aires,C,-34.61315,-58.377230000000004,13076300,25.0,America__Argentina__Buenos_Aires,1550,1190,936,1291,6,118,0,0,5,https://travelapiimages.s3.eu-central-1.amazonaws.com/1960.jpg
132320,ARM00087582,AR,CITY,Partido de Avellaneda,Buenos Aires Province,B,-34.66667,-58.333330000000004,340985,,America__Argentina__Buenos_Aires,1530,1194,931,1116,6,42,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132320.jpg
132221,ARM00087582,AR,CITY,Partido de Quilmes,Buenos Aires Province,B,-34.75,-58.25,518788,,America__Argentina__Buenos_Aires,1499,1138,908,974,6,44,0,0,5,https://travelapiimages.s3.eu-central-1.amazonaws.com/132221.jpg
1549,ARM00087582,AR,CITY,Quilmes,Buenos Aires Province,B,-34.729040000000005,-58.263740000000006,230810,17.0,America__Argentina__Buenos_Aires,177,473,611,210,0,22,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1549.jpg
1783,AR000875850,AR,CITY,Belgrano,Buenos Aires,C,-34.5627,-58.458290000000005,138942,18.0,America__Argentina__Buenos_Aires,1560,1081,964,1155,6,76,0,0,5,https://travelapiimages.s3.eu-central-1.amazonaws.com/1783.jpg
1531,AR000875850,AR,CITY,Ituzaingó,Buenos Aires Province,B,-34.65803,-58.663169999999994,135275,28.0,America__Argentina__Buenos_Aires,253,270,642,94,0,2,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1531.jpg
1491876,AR000875850,AR,CITY,José C. Paz,Buenos Aires Province,B,-34.515409999999996,-58.768130000000006,230208,,America__Argentina__Buenos_Aires,147,97,342,26,0,6,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1491876.jpg
1552,AR000875850,AR,CITY,Lanús,Buenos Aires Province,B,-34.70252,-58.3955,459263,9.0,America__Argentina__Buenos_Aires,1519,1138,929,1130,6,36,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1552.jpg
1619,AR000875850,AR,CITY,Merlo,Buenos Aires Province,B,-34.666270000000004,-58.72926999999999,244168,16.0,America__Argentina__Buenos_Aires,169,127,402,34,0,2,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1619.jpg
1598,AR000875850,AR,CITY,Morón,Buenos Aires Province,B,-34.6509,-58.61956,319934,26.0,America__Argentina__Buenos_Aires,313,532,871,179,0,8,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1598.jpg
132294,AR000875850,AR,CITY,Partido de Escobar,Buenos Aires Province,B,-34.33333,-58.75,178155,,America__Argentina__Buenos_Aires,56,42,82,8,0,6,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132294.jpg
132690,AR000875850,AR,CITY,Partido de Hurlingham,Buenos Aires Province,B,-34.586940000000006,-58.62806,176505,,America__Argentina__Buenos_Aires,384,677,892,205,0,6,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132690.jpg
132674,AR000875850,AR,CITY,Partido de Ituzaingó,Buenos Aires Province,B,-34.66028,-58.666109999999996,158121,,America__Argentina__Buenos_Aires,247,261,630,94,0,2,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132674.jpg
132267,AR000875850,AR,CITY,Partido de José C. Paz,Buenos Aires Province,B,-34.5198,-58.76556,230208,,America__Argentina__Buenos_Aires,151,97,362,26,0,6,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132267.jpg
132260,AR000875850,AR,CITY,Partido de Lanús,Buenos Aires Province,B,-34.66667,-58.416669999999996,212152,,America__Argentina__Buenos_Aires,1544,1114,930,1171,6,50,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132260.jpg
132681,AR000875850,AR,CITY,Partido de Malvinas Argentinas,Buenos Aires Province,B,-34.507709999999996,-58.6956,320000,,America__Argentina__Buenos_Aires,197,153,514,86,0,10,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132681.jpg
132258,AR000875850,AR,CITY,Partido de Merlo,Buenos Aires Province,B,-34.66583,-58.728280000000005,524207,,America__Argentina__Buenos_Aires,352,448,888,174,0,4,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132258.jpg
132254,AR000875850,AR,CITY,Partido de Moreno,Buenos Aires Province,B,-34.6349,-58.79059,462242,,America__Argentina__Buenos_Aires,105,85,300,22,0,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132254.jpg
132238,AR000875850,AR,CITY,Partido de Morón,Buenos Aires Province,B,-34.65139,-58.62194,321109,,America__Argentina__Buenos_Aires,311,515,857,176,0,8,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132238.jpg
132200,AR000875850,AR,CITY,Partido de San Fernando,Buenos Aires Province,B,-34.44542,-58.542019999999994,163462,,America__Argentina__Buenos_Aires,170,407,486,131,0,70,0,0,6,https://travelapiimages.s3.eu-central-1.amazonaws.com/132200.jpg
132208,AR000875850,AR,CITY,Partido de San Isidro,Buenos Aires Province,B,-34.49009,-58.530280000000005,292878,,America__Argentina__Buenos_Aires,557,1030,738,355,0,78,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132208.jpg
132669,AR000875850,AR,CITY,Partido de San Miguel,Buenos Aires Province,B,-34.55209,-58.69171,253086,,America__Argentina__Buenos_Aires,242,196,668,54,0,4,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132669.jpg
132188,AR000875850,AR,CITY,Partido de Tigre,Buenos Aires Province,B,-34.42058,-58.58279,380709,,America__Argentina__Buenos_Aires,119,169,390,74,0,62,0,0,7,https://travelapiimages.s3.eu-central-1.amazonaws.com/132188.jpg
132191,AR000875850,AR,CITY,Partido de Tres de Febrero,Buenos Aires Province,B,-34.59987,-58.56606,343774,,America__Argentina__Buenos_Aires,1333,962,893,680,6,58,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132191.jpg
1187,AR000875850,AR,CITY,Pilar,Buenos Aires Province,B,-34.458659999999995,-58.9142,226517,18.0,America__Argentina__Buenos_Aires,28,26,78,12,2,10,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1187.jpg
1642,AR000875850,AR,CITY,San Isidro,Buenos Aires Province,B,-34.4721,-58.527080000000005,292878,15.0,America__Argentina__Buenos_Aires,427,860,640,287,0,80,0,0,4,https://travelapiimages.s3.eu-central-1.amazonaws.com/1642.jpg
1048,AR000875850,AR,CITY,San Justo,Buenos Aires Province,B,-34.6766,-58.56058,136604,26.0,America__Argentina__Buenos_Aires,419,988,866,435,6,14,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1048.jpg
1197476,AR000875850,AR,CITY,San Miguel,Buenos Aires Province,B,-34.54335,-58.71229,157532,28.0,America__Argentina__Buenos_Aires,216,162,588,52,0,4,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1197476.jpg
1892,ARM00087593,AR,CITY,Berisso,Buenos Aires Province,B,-34.8735,-57.883030000000005,101123,6.0,America__Argentina__Buenos_Aires,41,132,151,84,0,6,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1892.jpg
1244,ARM00087593,AR,CITY,La Plata,Buenos Aires Province,B,-34.92145,-57.954530000000005,694167,26.0,America__Argentina__Buenos_Aires,53,153,183,84,0,6,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1244.jpg
132330,ARM00087593,AR,CITY,Partido de Berazategui,Buenos Aires Province,B,-34.83333,-58.166669999999996,320224,,America__Argentina__Buenos_Aires,46,76,234,10,0,10,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132330.jpg
132263,ARM00087593,AR,CITY,Partido de La Plata,Buenos Aires Province,B,-35.0,-58.0,774369,,America__Argentina__Buenos_Aires,53,153,177,84,0,6,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132263.jpg
1680,AR000087860,AR,CITY,Comodoro Rivadavia,Chubut Province,U,-45.864129999999996,-67.49656,217593,61.0,America__Argentina__Rio_Gallegos,30,30,30,12,6,22,30,0,4,https://travelapiimages.s3.eu-central-1.amazonaws.com/1680.jpg
1932,ARM00087166,AR,CITY,Corrientes,Corrientes,W,-27.467840000000002,-58.8344,352646,62.0,America__Argentina__Cordoba,77,272,580,52,6,44,4,0,12,https://travelapiimages.s3.eu-central-1.amazonaws.com/1932.jpg
132626,ARM00087311,AR,CITY,Departamento de Capital,San Juan Province,J,-31.53333,-68.53333,116511,,America__Argentina__San_Juan,95,71,238,22,0,3,9,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132626.jpg
1866,ARM00087311,AR,CITY,San Juan,San Juan Province,J,-31.5375,-68.53639,471389,640.0,America__Argentina__San_Juan,95,71,238,22,0,3,9,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1866.jpg
132534,AR000087418,AR,CITY,Departamento de Guaymallén,Mendoza,M,-32.88333,-68.7,283803,,America__Argentina__Mendoza,36,169,196,44,6,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132534.jpg
132482,ARM00087416,AR,CITY,Departamento de Maipú,Mendoza,M,-33.0,-68.58333,153600,,America__Argentina__Mendoza,8,10,24,8,0,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132482.jpg
132389,ARM00087416,AR,CITY,Departamento de San Martín,Mendoza,M,-32.8373,-68.24922,108448,,America__Argentina__Mendoza,0,0,2,0,0,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132389.jpg
1767,ARM00087576,AR,CITY,Florencio Varela,Buenos Aires Province,B,-34.827220000000004,-58.395559999999996,146704,25.0,America__Argentina__Buenos_Aires,94,104,540,58,0,2,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1767.jpg
1119,ARM00087576,AR,CITY,José María Ezeiza,Buenos Aires Province,B,-34.84787,-58.528690000000005,160219,12.0,America__Argentina__Buenos_Aires,70,78,299,56,0,2,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1119.jpg
1718,ARM00087576,AR,CITY,Lomas de Zamora,Buenos Aires Province,B,-34.76088,-58.406319999999994,111897,20.0,America__Argentina__Buenos_Aires,301,833,890,372,0,18,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1718.jpg
132315,ARM00087576,AR,CITY,Partido de Almirante Brown,Buenos Aires Province,B,-34.83333,-58.333330000000004,555731,,America__Argentina__Buenos_Aires,293,669,865,300,0,30,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132315.jpg
132283,ARM00087576,AR,CITY,Partido de Esteban Echeverría,Buenos Aires Province,B,-34.81917,-58.465830000000004,298814,,America__Argentina__Buenos_Aires,94,86,471,60,0,2,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132283.jpg
132679,ARM00087576,AR,CITY,Partido de Ezeiza,Buenos Aires Province,B,-34.85417,-58.524719999999995,118807,,America__Argentina__Buenos_Aires,68,78,283,56,0,2,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132679.jpg
132290,ARM00087576,AR,CITY,Partido de Florencio Varela,Buenos Aires Province,B,-34.83333,-58.25,423992,,America__Argentina__Buenos_Aires,81,103,442,44,0,10,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132290.jpg
132245,ARM00087576,AR,CITY,Partido de La Matanza,Buenos Aires Province,B,-34.75,-58.583330000000004,1775816,,America__Argentina__Buenos_Aires,1263,1005,832,1305,6,112,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132245.jpg
132236,ARM00087576,AR,CITY,Partido de Lomas de Zamora,Buenos Aires Province,B,-34.75,-58.416669999999996,613192,,America__Argentina__Buenos_Aires,1447,1049,895,1203,6,52,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132236.jpg
1908,ARM00087162,AR,CITY,Formosa,Formosa Province,P,-26.18489,-58.17313000000001,222226,57.0,America__Argentina__Cordoba,18,18,22,0,6,8,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1908.jpg
1022,ARM00087497,AR,CITY,Gualeguaychú,Entre Ríos Province,E,-33.009370000000004,-58.517219999999995,109461,15.0,America__Argentina__Cordoba,14,26,34,0,0,14,0,0,10,https://travelapiimages.s3.eu-central-1.amazonaws.com/1022.jpg
