cityId,searchRadius,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex
659,30000,38,166,121,42,0,153
757530,20000,32,167,121,0,0,169
638,20000,28,179,131,0,0,165
644,30000,84,39,50,6,0,12
262,50000,92,610,210,247,0,411
345009,20000,28,102,109,24,0,53
35,20000,19,10,20,4,0,63
900,50000,103,570,141,245,0,521
134,20000,6,0,0,2,0,4
140,20000,28,4,0,6,0,0
364,20000,0,0,0,2,0,0
504,20000,0,0,0,0,0,0
779,20000,18,13,26,0,0,0
116,20000,38,4,58,4,0,0
216,50000,63,50,132,28,0,154
953,20000,24,4,26,0,0,0
810,20000,0,0,8,4,0,0
803,20000,6,0,0,4,0,3
437,20000,6,0,2,2,0,0
756,20000,16,24,6,2,0,0
428,20000,5,0,0,0,0,2
686,20000,7,0,2,3,0,0
491,20000,64,23,41,82,0,29
709,20000,54,6,42,247,0,238
25,20000,133,73,128,833,0,763
839,20000,233,183,122,812,0,700
238,20000,52,8,40,194,0,538
392,20000,123,77,70,14,0,4
30,20000,12,38,30,6,0,37
188,50000,747,849,540,300,6,301
132180,20000,2,12,93,0,0,4
1845,30000,18,14,35,4,0,5
1982,20000,12,2,12,12,0,0
997,20000,6,0,2,0,0,0
1662,20000,8,4,14,16,0,30
1732,20000,0,0,3,0,0,0
1724,30000,6,4,13,6,0,0
1172,20000,8,4,12,16,0,32
1040,50000,63,112,287,40,0,32
1151,20000,8,8,91,0,0,0
132023,20000,0,0,0,0,0,0
1862,20000,0,0,3,0,0,0
1981,20000,2,0,5,0,0,0
1618,20000,6,0,3,0,0,0
1446,20000,6,7,3,0,0,0
1156,20000,6,0,3,0,0,0
1501,20000,0,0,3,0,0,0
1607,20000,64,62,82,68,12,0
2545,20000,1555,1193,936,1147,6,58
1783,20000,1560,1081,964,1155,6,76
1610,20000,58,66,364,20,0,10
1892,20000,41,132,151,84,0,6
1960,50000,1550,1190,936,1291,6,118
1680,20000,30,30,30,12,6,22
1170,20000,32,98,85,10,0,8
1932,20000,77,272,580,52,6,44
1474,50000,202,278,350,94,0,23
132626,20000,95,71,238,22,0,3
132523,20000,50,195,218,50,6,3
132534,20000,36,169,196,44,6,0
132500,20000,12,2,0,0,0,2
132484,20000,2,0,2,0,0,22
132482,20000,8,10,24,8,0,0
132389,20000,0,0,2,0,0,0
1767,20000,94,104,540,58,0,2
1908,20000,18,18,22,0,6,8
1515,20000,50,195,222,44,6,3
1022,20000,14,26,34,0,0,14
1531,20000,253,270,642,94,0,2
1491876,20000,147,97,342,26,0,6
1119,20000,70,78,299,56,0,2
1964,20000,26,10,68,0,0,4
1244,30000,53,153,183,84,0,6
1451,20000,20,26,27,0,0,0
1552,20000,1519,1138,929,1130,6,36
1073,20000,40,187,208,44,6,3
1718,20000,301,833,890,372,0,18
1466,30000,61,86,64,23,0,117
1144,30000,52,195,238,50,6,3
1619,20000,169,127,402,34,0,2
1598,20000,313,532,871,179,0,8
1963,20000,78,100,77,6,6,6
1400,20000,14,24,47,18,0,2
132315,30000,293,669,865,300,0,30
132320,20000,1530,1194,931,1116,6,42
