cityId,searchRadius,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex
659,30000,50,310,382,57,0,228
757530,20000,38,199,564,8,0,252
638,20000,34,211,569,8,0,246
644,30000,95,43,417,6,0,15
262,50000,107,735,614,255,0,605
345009,20000,39,175,325,36,0,78
35,20000,22,14,196,5,0,93
900,50000,121,697,574,253,0,773
491,20000,70,29,43,82,0,38
709,20000,63,7,53,256,0,357
25,20000,174,91,151,1083,0,1137
839,20000,254,230,131,826,0,1044
238,20000,66,10,41,210,0,803
392,20000,158,89,80,93,0,6
30,20000,24,40,34,10,0,46
188,50000,1015,922,597,394,6,360
1607,20000,66,69,93,68,12,0
2545,20000,1572,1240,1005,1155,6,70
1783,20000,1578,1156,1022,1164,6,95
1610,20000,63,86,388,21,0,15
1892,20000,42,159,159,84,0,9
1960,50000,1568,1240,1005,1302,6,158
1680,20000,38,30,35,12,6,23
1170,20000,38,160,101,11,0,12
1932,20000,86,362,622,52,6,64
1474,50000,216,315,371,96,0,28
132626,20000,99,97,271,25,1,3
132523,20000,54,230,230,50,6,3
132534,20000,39,197,206,44,6,0
132500,20000,12,2,0,9,0,3
132484,20000,2,0,2,0,0,33
132482,20000,11,11,25,8,0,0
132389,20000,0,0,2,0,0,0
1767,20000,103,134,593,59,0,3
1908,20000,21,23,23,0,6,8
1515,20000,54,230,234,44,6,3
1022,20000,17,29,45,4,0,21
1531,20000,277,294,693,95,0,3
1491876,20000,170,110,371,26,0,9
1119,20000,74,88,330,57,0,3
1964,20000,29,16,69,0,0,6
1244,30000,54,180,198,85,0,9
1451,20000,20,26,28,0,0,0
1552,20000,1537,1184,1001,1138,6,39
1073,20000,43,216,219,44,6,3
1718,20000,316,884,961,374,0,18
1466,30000,66,91,68,24,0,174
1144,30000,56,230,250,50,6,3
1619,20000,190,136,435,35,0,3
1598,20000,346,574,938,181,0,9
1963,20000,80,105,84,6,6,9
1400,20000,19,30,49,18,0,3
132315,30000,310,713,942,302,0,36
132320,20000,1547,1241,1001,1124,6,48
132651,20000,64,64,93,68,12,0
132330,20000,50,100,250,11,0,15
132294,20000,60,49,93,8,0,9
132283,20000,100,98,522,61,0,3
132679,20000,72,88,311,57,0,3
132290,20000,88,129,474,46,0,15
132275,30000,65,89,66,30,0,171
132690,20000,414,737,953,207,0,9
132674,20000,271,284,681,95,0,3
132267,20000,174,110,390,26,0,9
132245,50000,1309,1068,925,1315,6,149
132263,30000,54,180,192,85,0,9
132260,20000,1557,1155,1001,1180,6,58
132236,30000,1470,1111,967,1212,6,61
132681,20000,221,183,556,87,0,15
132258,30000,388,491,949,176,0,6
132254,20000,126,90,323,22,0,0
132238,20000,342,557,923,178,0,9
132461,20000,0,0,0,2,0,0
132221,30000,1519,1204,981,981,6,51
132200,20000,184,462,515,132,0,101
132208,20000,585,1128,797,361,0,110
132669,20000,269,229,716,56,0,6
132375,20000,18,0,6,0,0,0
132195,20000,67,60,40,6,0,4
132188,20000,131,202,419,75,0,91
132191,20000,1377,1046,958,686,6,74
132183,20000,3,0,16,6,0,0
1187,20000,32,29,90,12,2,13
1444,20000,282,154,342,21,4,24
1488,20000,11,12,13,3,0,3
1549,20000,186,510,663,211,0,27
1236,20000,84,367,734,53,6,37
1494,50000,196,403,232,185,4,82
1308,20000,55,53,29,12,0,0
1910,30000,84,124,160,22,0,6
2200,20000,8,33,30,10,0,50
1793,20000,45,35,121,22,2,18
1642,20000,448,946,690,291,0,113
1866,20000,99,97,271,25,1,3
1048,20000,451,1055,943,439,6,15
1159,20000,20,17,43,0,0,9
1197476,20000,243,187,633,53,0,6
1108,30000,56,99,130,12,6,7
1878,20000,32,38,33,12,0,9
1787,20000,6,16,27,0,0,0
1409,20000,91,108,216,36,0,0
1887,20000,42,94,99,19,0,18
1066,20000,9,16,29,0,0,0
1500,20000,30,16,69,0,0,0
1398,20000,67,60,38,6,0,7
1052,20000,10,19,31,0,6,0
2502,20000,18,15,20,3,0,0
1743,20000,31,22,76,14,0,6
4140,20000,1628,1549,2064,2406,292,203
4770,20000,1569,1474,2022,2582,370,424
3100,20000,1682,1558,2074,2642,312,274
3750,20000,1394,936,1484,2684,72,155
132781,20000,1428,965,1520,2698,72,158
3158,20000,1308,667,1865,2833,98,350
132768,20000,1100,270,971,1449,24,77
3676,20000,728,721,1091,2770,6,150
1996,20000,1143,917,1454,2828,67,367
132737,20000,1143,902,1417,2828,67,361
2534,50000,1656,1650,2068,2919,523,699
4299,50000,227,644,653,378,52,429
5657,20000,36,67,91,89,15,6
5499,50000,370,760,1065,2663,99,383
133157,20000,29,61,22,14,0,68
5042,20000,218,570,327,541,17,118
4282,20000,37,103,52,97,0,35
5893,20000,43,87,112,96,21,43
5493,30000,58,154,153,132,4,487
5345,20000,68,121,104,105,0,51
133205,20000,48,20,72,156,4,12
4034,20000,30,88,84,75,4,4
5000,20000,83,97,296,182,18,72
4970,50000,530,1247,1050,1864,338,316
4383,20000,72,139,170,175,20,64
132856,20000,35,101,54,80,0,25
4835,50000,307,1161,633,2016,51,727
132927,20000,23,58,20,53,0,89
4935,50000,916,1229,1096,2609,378,923
133094,20000,0,6,6,6,0,0
4226,20000,16,105,85,94,6,92
5276,20000,86,89,99,124,28,92
6801,50000,625,524,407,147,0,279
6504,20000,60,73,76,17,0,0
133381,20000,375,436,309,86,0,30
