stationId,tmax_jan_value,tmin_jan_value,tmax_feb_value,tmin_feb_value,tmax_mar_value,tmin_mar_value,tmax_apr_value,tmin_apr_value,tmax_may_value,tmin_may_value,tmax_jun_value,tmin_jun_value,tmax_jul_value,tmin_jul_value,tmax_aug_value,tmin_aug_value,tmax_sep_value,tmin_sep_value,tmax_oct_value,tmin_oct_value,tmax_nov_value,tmin_nov_value,tmax_dec_value,tmin_dec_value
AEM00041217,25.5,15.5,25.7,15.9,30.3,18.3,35.7,23.9,39.8,26.3,42.8,29.8,44.0,31.7,43.6,31.3,42.7,29.7,37.0,26.1,31.9,20.6,26.7,17.0
AE000041196,25.9,14.0,26.3,14.3,28.9,17.5,34.9,21.9,39.2,25.1,42.0,27.8,43.3,30.5,42.8,30.1,41.1,27.0,37.3,23.6,31.6,17.6,27.2,14.5
MUM00041244,25.4,14.4,25.8,15.2,30.5,18.5,36.0,23.8,40.6,27.2,44.6,30.4,44.4,31.8,43.8,31.2,41.4,29.5,36.8,25.5,29.9,20.0,26.2,15.9
AEM00041194,25.8,17.5,26.3,17.8,29.5,19.8,34.6,25.2,38.5,27.8,41.7,31.4,42.7,33.1,42.6,32.6,40.7,31.3,36.2,27.6,31.7,22.6,27.3,18.7
MUM00041242,25.7,16.4,25.4,16.6,28.4,19.2,34.2,23.9,38.7,27.8,39.9,30.9,38.1,31.3,37.3,30.1,36.7,27.7,34.8,24.5,29.7,19.2,26.7,16.3
UZM00038927,11.2,0.0,13.2,1.8,22.2,8.1,26.3,12.0,34.0,16.7,37.6,19.2,40.9,22.3,37.4,19.0,33.3,14.4,25.9,9.1,16.0,3.4,13.7,0.6
AFM00040990,16.9,2.3,13.2,3.0,20.2,7.9,29.1,15.3,33.4,18.5,38.1,21.6,42.0,25.3,39.2,22.3,36.3,17.5,29.2,11.5,19.4,6.4,16.9,2.3
TI000038947,10.7,0.0,11.7,1.0,21.1,7.9,24.9,11.6,32.7,15.9,36.8,19.1,39.5,21.0,36.5,18.3,33.1,14.0,25.7,8.8,16.5,4.2,12.9,0.5
TX000038915,12.0,1.5,13.4,2.4,21.7,8.8,26.2,13.8,34.3,19.5,38.1,23.1,41.9,25.1,38.0,21.3,33.6,16.7,26.0,10.5,16.5,4.2,13.6,1.9
ALM00013615,11.6,-1.2,15.3,2.4,19.6,4.7,22.8,8.2,25.2,12.5,31.1,17.4,33.3,18.0,35.1,18.4,30.1,14.6,25.7,9.7,19.8,6.9,14.8,1.7
MJM00013461,11.5,4.9,14.4,8.0,17.2,9.9,21.7,12.1,24.4,15.4,29.7,20.3,31.1,21.5,32.0,22.2,28.2,18.6,23.8,14.5,19.6,12.7,14.7,8.4
AM000037682,-3.0,-11.7,0.1,-11.1,5.1,-4.8,10.2,-1.1,16.0,4.9,21.5,8.7,25.7,11.8,25.4,12.2,21.6,7.1,15.0,1.5,6.6,-3.5,1.9,-7.3
AM000037704,3.9,-5.6,5.9,-5.2,11.6,-1.1,15.2,1.9,20.9,7.1,24.6,11.1,26.7,14.0,26.6,14.2,23.8,9.5,19.2,3.9,11.0,-2.2,8.1,-2.6
AM000037792,0.1,-11.2,2.9,-10.3,7.5,-4.4,12.3,-0.7,18.4,5.1,23.7,8.8,27.7,12.4,27.0,12.6,23.9,7.6,16.7,1.2,8.3,-3.9,4.1,-5.8
AO000066160,31.2,24.9,31.9,24.8,31.9,24.3,31.7,25.1,30.5,23.8,27.4,20.2,25.8,18.5,26.7,18.7,28.3,20.7,29.5,22.7,31.2,23.9,31.6,23.9
CF000004400,30.6,23.9,31.1,23.8,32.0,24.5,31.2,23.9,29.8,23.7,27.4,22.0,26.5,20.6,26.6,20.8,28.0,22.4,29.0,23.9,29.9,23.7,30.0,23.9
AR000877500,33.5,16.2,32.5,15.6,28.1,12.4,24.5,9.6,18.9,6.0,15.6,3.4,14.8,1.7,18.1,3.1,20.4,5.4,22.6,7.8,26.7,10.9,31.8,13.4
ARM00087582,30.4,21.3,28.8,20.8,26.3,18.5,24.5,16.8,20.0,13.3,17.3,9.5,15.6,9.0,17.4,9.5,20.1,12.4,22.7,14.0,26.5,17.1,28.5,19.0
AR000875850,31.8,20.8,30.3,20.1,28.0,17.1,25.6,15.9,20.8,12.2,17.8,8.3,16.5,7.5,18.7,8.5,21.7,11.8,23.7,13.1,27.9,16.6,29.9,18.2
ARM00087593,30.2,18.0,29.0,17.0,26.5,14.1,24.6,13.3,19.5,9.4,16.8,6.1,15.2,5.3,17.2,6.1,19.9,9.0,22.1,10.5,26.1,13.4,28.6,15.3
AR000087860,28.0,13.2,28.8,13.2,23.3,10.6,20.4,8.5,16.7,5.2,11.9,3.2,12.6,3.0,15.1,3.9,16.9,5.0,19.7,6.8,23.0,9.4,27.8,12.7
ARM00087166,33.4,22.7,33.5,20.9,31.2,18.9,28.5,17.9,25.2,15.2,23.7,12.0,22.1,10.7,24.3,10.2,27.5,14.6,27.8,16.9,32.3,18.7,34.1,19.9
ARM00087311,36.9,19.4,35.3,19.2,32.1,14.6,27.4,11.8,21.8,6.0,17.5,-0.4,17.8,-0.6,22.5,1.4,26.3,6.6,29.8,10.8,33.8,15.5,35.7,18.3
AR000087418,34.8,19.7,33.1,18.9,28.9,14.0,24.8,12.1,19.9,7.4,17.1,2.0,16.8,1.2,20.3,3.7,24.2,8.2,27.2,11.7,31.0,16.2,34.2,18.6
ARM00087416,35.3,19.0,33.7,18.3,29.6,14.2,25.5,12.0,20.2,7.5,17.4,2.3,16.9,1.6,20.8,3.7,24.4,7.5,27.4,10.8,31.0,15.4,34.6,17.6
ARM00087576,32.5,18.4,31.0,17.6,28.3,14.8,25.6,14.5,20.6,10.4,17.5,6.8,16.3,5.4,18.3,7.2,21.2,9.6,23.1,10.9,27.7,14.0,30.6,15.7
ARM00087162,34.8,22.9,34.5,21.4,32.6,20.0,30.3,18.5,26.1,16.2,24.6,12.5,24.4,11.2,27.5,10.2,29.0,15.2,31.6,17.7,33.1,19.3,35.3,20.7
ARM00087497,31.8,19.1,31.9,18.4,29.1,15.3,26.3,14.2,21.1,11.1,19.3,6.2,17.7,6.3,19.7,6.4,22.7,10.1,24.1,12.1,28.8,15.4,30.6,16.6
AR000087129,36.5,21.0,34.9,20.1,31.0,18.0,28.4,15.5,24.0,10.8,22.2,5.4,21.3,5.4,26.6,6.5,28.3,10.9,30.7,15.4,35.0,19.1,35.7,20.3
AR000087217,37.7,21.5,34.4,20.2,32.1,17.4,28.6,14.9,23.9,10.2,20.8,3.6,20.4,3.7,25.1,6.0,28.6,10.4,31.9,14.9,35.2,19.0,36.6,20.0
AR000087692,28.7,14.6,28.0,14.8,24.9,12.4,22.1,10.9,18.3,6.5,15.1,4.4,13.6,3.1,15.6,4.2,17.7,6.2,19.9,7.7,22.6,9.6,27.3,12.3
AR000087715,33.7,16.0,33.4,15.7,29.3,10.9,24.4,8.2,18.7,4.1,14.3,0.4,14.3,0.2,16.8,1.1,21.1,4.7,23.7,7.9,28.3,12.1,31.8,15.0
AR000087374,32.0,19.7,31.8,19.1,28.9,16.1,27.1,15.0,21.0,12.0,18.5,8.1,17.5,7.2,20.5,7.6,22.9,11.0,25.0,13.1,29.5,16.1,31.2,17.9
ARM00087480,32.4,19.2,31.7,18.1,28.4,14.5,26.8,13.6,20.9,10.2,18.7,5.1,17.4,4.9,20.5,5.5,23.9,9.0,25.0,11.5,29.1,15.2,31.0,16.9
ARM00087645,30.4,13.6,29.9,13.1,25.9,10.2,22.4,8.8,18.2,5.3,14.7,1.9,13.7,1.3,15.6,2.1,19.0,4.1,20.9,6.2,24.1,8.9,28.8,11.3
PA000086297,33.3,21.9,33.1,20.8,32.6,19.3,29.4,18.3,26.3,15.8,22.7,12.0,24.8,11.4,26.8,11.2,29.0,16.0,28.8,17.0,30.6,18.8,34.3,20.3
AR000087155,34.8,21.7,34.2,20.3,32.6,18.5,28.9,16.7,25.5,14.7,23.5,10.2,23.6,9.2,25.8,9.1,27.6,13.7,28.4,16.4,32.3,18.1,35.5,19.5
ARM00087453,30.8,17.7,30.6,17.0,28.2,14.0,25.2,12.4,20.3,8.4,18.5,3.3,16.5,3.5,20.8,4.8,23.8,7.7,25.8,10.9,28.7,14.0,31.0,16.8
AR000870470,30.2,17.0,28.5,16.1,26.7,14.7,24.9,12.8,21.5,9.8,21.8,3.2,20.0,4.2,25.3,4.0,26.5,8.0,28.6,11.4,29.8,14.9,30.2,15.9
