countryCode,type,cityName,cityId,regionName,regionCode,lat,lon,population,elevation,timezone
AE,CITY,Abu Dhabi,659,Abu Dhabi Emirate,AZ,24.45118,54.39696,1000000,14,Asia__Dubai
AE,CITY,Ajman,757530,Ajman Emirate,AJ,25.40328,55.52341,490035,,Asia__Dubai
AE,CITY,Ajman City,638,Ajman Emirate,AJ,25.40177,55.47878,490035,14,Asia__Dubai
AE,CITY,Al Ain City,644,Abu Dhabi Emirate,AZ,24.19167,55.76056,631005,292,Asia__Dubai
AE,CITY,Dubai,262,Dubai,DU,25.07725,55.30927,2502715,,Asia__Dubai
AE,CITY,Musaffah,345009,Abu Dhabi Emirate,AZ,24.35893,54.48267,243341,,Asia__Dubai
AE,CITY,Ras Al Khaimah City,35,Ras al-Khaimah,RK,25.78953,55.9432,351943,,Asia__Dubai
AE,CITY,Sharjah,900,Sharjah Emirate,SH,25.33737,55.41206,1400000,14,Asia__Dubai
AF,CITY,Baghlān,134,Baghlan,BGL,36.13068,68.70829,108449,528,Asia__Kabul
AF,CITY,Balkh,140,Balkh,BAL,36.75635,66.8972,114883,365,Asia__Kabul
AF,CITY,Gardez,364,Paktia,PIA,33.59744,69.22592,103601,2300,Asia__Kabul
AF,CITY,Ghazni,504,Ghazni,GHA,33.55391,68.42096,143379,2219,Asia__Kabul
AF,CITY,Herāt,779,Herat,HER,34.34817,62.19967,436300,920,Asia__Kabul
AF,CITY,Jalālābād,116,Nangarhar,NAN,34.42647,70.45153,205423,533,Asia__Kabul
AF,CITY,Kabul,216,Kabul,KAB,34.52813,69.17233,3678034,1790,Asia__Kabul
AF,CITY,Kandahār,953,Kandahar,KAN,31.61332,65.71013,491500,1010,Asia__Kabul
AF,CITY,Khōst,810,Khost,KHO,33.33951,69.92041,160214,1225,Asia__Kabul
AF,CITY,Kunduz,803,Kunduz Province,KDZ,36.72895,68.857,268893,402,Asia__Kabul
AF,CITY,Lashkar Gāh,437,Helmand,HEL,31.59382,64.37161,201546,773,Asia__Kabul
AF,CITY,Mazār-e Sharīf,756,Balkh,BAL,36.70904,67.11087,427600,380,Asia__Kabul
AF,CITY,Pul-e Khumrī,428,Baghlan,BGL,35.94458,68.71512,113500,635,Asia__Kabul
AF,CITY,Shibirghān,686,Jowzjan,JOW,36.66757,65.7529,175599,360,Asia__Kabul
AL,CITY,Durrës,491,Durrës District,DR,41.32355,19.45469,122034,0,Europe__Tirane
AL,CITY,Elbasan,709,Elbasan District,EL,41.1125,20.08222,100903,150,Europe__Tirane
AL,CITY,Shkodër,25,Shkodër District,SH,42.06828,19.51258,112276,13,Europe__Tirane
AL,CITY,Tirana,839,Tirana District,TR,41.3275,19.81889,418495,110,Europe__Tirane
AL,CITY,Vlorë,238,Vlorë County,12,40.4686,19.48318,130827,0,Europe__Tirane
AM,CITY,Gyumri,392,Shirak Region,SH,40.7942,43.84528,148381,1509,Asia__Yerevan
AM,CITY,Vanadzor,30,Lori Region,LO,40.80456,44.4939,101098,1350,Asia__Yerevan
AM,CITY,Yerevan,188,Yerevan,ER,40.18111,44.51361,1075800,,Asia__Yerevan
AO,CITY,Belas,132180,Luanda Province,LUA,-9.06875,13.16072,500000,,Africa__Luanda
AO,CITY,Benguela,1845,Benguela Province,BGU,-12.57626,13.40547,513000,39,Africa__Luanda
AO,CITY,Cabinda,1982,Cabinda Province,CAB,-5.55,12.2,377931,0,Africa__Luanda
AO,CITY,Caconda,997,Huíla Province,HUI,-13.73333,15.06667,159908,,Africa__Luanda
AO,CITY,Catumbela,1662,Benguela Province,BGU,-12.43002,13.54677,167625,,Africa__Luanda
AO,CITY,Cuito,1732,Bié Province,BIE,-12.38333,16.93333,114000,1700,Africa__Luanda
AO,CITY,Huambo,1724,Huambo Province,HUA,-12.77611,15.73917,665564,1721,Africa__Luanda
AO,CITY,Lobito,1172,Benguela Province,BGU,-12.3644,13.53601,324050,9,Africa__Luanda
AO,CITY,Luanda,1040,Luanda Province,LUA,-8.83682,13.23432,2776168,6,Africa__Luanda
AO,CITY,Lubango,1151,Huíla Province,HUI,-14.91717,13.4925,318000,1718,Africa__Luanda
AO,CITY,Lucapa,132023,Lunda Norte Province,LNO,-8.68337,20.27045,125000,,Africa__Luanda
AO,CITY,Luena,1862,Moxico Province,MOX,-11.78333,19.91667,456000,1291,Africa__Luanda
AO,CITY,Malanje,1981,Malanje Province,MAL,-9.54015,16.34096,220000,1155,Africa__Luanda
AO,CITY,Menongue,1618,Cuando Cubango Province,CCU,-14.6585,17.69099,281000,1131,Africa__Luanda
AO,CITY,Namibe,1446,Namibe Province,NAM,-15.19611,12.15222,162000,44,Africa__Luanda
AO,CITY,N’dalatando,1156,Cuanza Norte Province,CNO,-9.29782,14.91162,383100,688,Africa__Luanda
AO,CITY,Saurimo,1501,Lunda Sul Province,LSU,-9.66078,20.39155,200000,1081,Africa__Luanda
AR,CITY,Bahía Blanca,1607,Buenos Aires Province,B,-38.71959,-62.27243,301572,20,America__Argentina__Buenos_Aires
AR,CITY,Balvanera,2545,Buenos Aires,C,-34.61032,-58.39766,152198,35,America__Argentina__Buenos_Aires
AR,CITY,Belgrano,1783,Buenos Aires,C,-34.5627,-58.45829,138942,18,America__Argentina__Buenos_Aires
AR,CITY,Berazategui,1610,Buenos Aires Province,B,-34.76531,-58.21278,167498,22,America__Argentina__Buenos_Aires
AR,CITY,Berisso,1892,Buenos Aires Province,B,-34.8735,-57.88303,101123,6,America__Argentina__Buenos_Aires
AR,CITY,Buenos Aires,1960,Buenos Aires,C,-34.61315,-58.37723,13076300,25,America__Argentina__Buenos_Aires
AR,CITY,Comodoro Rivadavia,1680,Chubut Province,U,-45.86413,-67.49656,217593,61,America__Argentina__Rio_Gallegos
AR,CITY,Concordia,1170,Entre Ríos Province,E,-31.39296,-58.02089,149450,21,America__Argentina__Cordoba
AR,CITY,Corrientes,1932,Corrientes,W,-27.46784,-58.8344,352646,62,America__Argentina__Cordoba
AR,CITY,Córdoba,1474,Córdoba Province,X,-31.4135,-64.18105,1428214,390,America__Argentina__Cordoba
