countryCode,type,cityName,cityId,regionName,regionCode,lat,lon,population,elevation,timezone
AU,CITY,Abbey,988654,Western Australia,WA,-33.66364,115.25635,1225,,Australia__Perth
AU,CITY,Abbotsbury,988751,New South Wales,NSW,-33.8701,150.86119,4252,,Australia__Sydney
AU,CITY,Abbotsford,5862,Victoria,VIC,-37.8,145.0,8087,25,Australia__Melbourne
AU,CITY,Abbotsford,987701,New South Wales,NSW,-33.84889,151.12801,5316,,Australia__Sydney
AU,CITY,Abercrombie,988127,New South Wales,NSW,-33.38867,149.5458,1095,,Australia__Sydney
AU,CITY,Aberdare,987920,New South Wales,NSW,-32.84112,151.38168,2419,,Australia__Sydney
AU,CITY,Aberdeen,988049,New South Wales,NSW,-32.16588,150.89003,2021,179,Australia__Sydney
AU,CITY,Aberfeldie,988217,Victoria,VIC,-37.75959,144.8974,3868,,Australia__Melbourne
AU,CITY,Aberfoyle Park,989031,South Australia,SA,-35.0768,138.59163,10795,,Australia__Adelaide
AU,CITY,Aberglasslyn,987740,New South Wales,NSW,-32.7,151.53333,5301,,Australia__Sydney
AU,CITY,Abermain,987784,New South Wales,NSW,-32.8074,151.4275,2275,,Australia__Sydney
AU,CITY,Acacia Gardens,988672,New South Wales,NSW,-33.73159,150.91636,3780,,Australia__Sydney
AU,CITY,Acacia Ridge,988083,Queensland,QLD,-27.58333,153.03333,7377,,Australia__Brisbane
AU,CITY,Acton,5726,Australian Capital Territory,ACT,-35.27767,149.11829,2347,566,Australia__Sydney
AU,CITY,Acton Park,6041,Tasmania,TAS,-42.87932,147.48459,2020,33,Australia__Hobart
AU,CITY,Adamstown,988646,New South Wales,NSW,-32.93824,151.72541,5904,,Australia__Sydney
AU,CITY,Adamstown Heights,988477,New South Wales,NSW,-32.94906,151.71009,5215,,Australia__Sydney
AU,CITY,Adelaide,4299,South Australia,SA,-34.92866,138.59863,1225235,1,Australia__Adelaide
AU,ADM2,Adelaide Hills,133022,South Australia,SA,-34.90103,138.85457,39832,,Australia__Adelaide
AU,CITY,Adelaide city centre,1000157,South Australia,SA,-34.92873,138.60334,19820,,Australia__Adelaide
AU,CITY,Agnes Water,988135,Queensland,QLD,-24.2119,151.9035,2521,16,Australia__Brisbane
AU,CITY,Ainslie,988221,Australian Capital Territory,ACT,-35.26255,149.1437,5067,,Australia__Sydney
AU,CITY,Airds,988718,New South Wales,NSW,-34.08599,150.83322,2983,,Australia__Sydney
AU,CITY,Airlie Beach,988750,Queensland,QLD,-20.26751,148.71471,2599,31,Australia__Brisbane
AU,CITY,Airport West,5408,Victoria,VIC,-37.7247,144.88126,7452,77,Australia__Melbourne
