countryCode,type,cityName,cityId,regionName,regionCode,lat,lon,population,elevation,timezone
EG,CITY,Abnūb,26399,Asyut Governorate,AST,27.26881,31.15232,68749,57,Africa__Cairo
EG,CITY,Abu Simbel,26712,Aswan Governorate,ASN,22.3457,31.61624,5000,189,Africa__Cairo
EG,CITY,Abū Kabīr,26865,Al Sharqia Governorate,SHR,30.72508,31.67148,100684,17,Africa__Cairo
EG,CITY,Abū Qurqāş,26142,Minya Governorate,MN,27.9312,30.83841,61182,54,Africa__Cairo
EG,CITY,Abū Tīj,26697,Asyut Governorate,AST,27.04514,31.31845,71257,54,Africa__Cairo
EG,CITY,Abū al Maţāmīr,26080,Beheira Governorate,BH,30.91018,30.17438,41302,,Africa__Cairo
EG,CITY,Ad Dilinjāt,26911,Beheira Governorate,BH,30.82796,30.53552,40386,5,Africa__Cairo
EG,CITY,Ain Sukhna,26427,Suez Governorate,SUZ,29.60018,32.31671,45552,,Africa__Cairo
EG,CITY,Ajā,26640,Dakahlia Governorate,DK,30.94162,31.29039,34692,12,Africa__Cairo
EG,CITY,Akhmīm,26611,Sohag Governorate,SHG,26.56217,31.74503,99446,85,Africa__Cairo
EG,CITY,Al Badārī,26300,Asyut Governorate,AST,26.99257,31.41554,44132,,Africa__Cairo
EG,CITY,Al Balyanā,26797,Sohag Governorate,SHG,26.23568,32.00347,48801,75,Africa__Cairo
EG,CITY,Al Bawīţī,26616,Giza Governorate,GZ,28.34919,28.86591,20000,130,Africa__Cairo
EG,CITY,Al Bājūr,26418,Monufia Governorate,MNF,30.43046,31.03679,36633,15,Africa__Cairo
EG,CITY,Al Fashn,26823,Beni Suef Governorate,BNS,28.82431,30.89948,63793,37,Africa__Cairo
EG,CITY,Al Fayyūm,26362,Faiyum Governorate,FYM,29.30995,30.8418,306393,29,Africa__Cairo
EG,CITY,Al Ibrāhīmīyah,26274,Al Sharqia Governorate,SHR,30.71877,31.56299,34638,14,Africa__Cairo
EG,CITY,Al Jammālīyah,26693,Dakahlia Governorate,DK,31.18065,31.86497,68381,11,Africa__Cairo
EG,CITY,Al Khānkah,26353,Qalyubia Governorate,KB,30.21035,31.36812,62434,19,Africa__Cairo
EG,CITY,Al Khārijah,25944,New Valley Governorate,WAD,25.45141,30.54635,67700,81,Africa__Cairo
EG,CITY,Al Manshāh,26595,Sohag Governorate,SHG,26.47686,31.8035,61134,72,Africa__Cairo
EG,CITY,Al Manzalah,26415,Dakahlia Governorate,DK,31.15823,31.936,67486,10,Africa__Cairo
EG,CITY,Al Manşūrah,26442,Dakahlia Governorate,DK,31.03637,31.38069,420195,15,Africa__Cairo
EG,CITY,Al Maţarīyah,26567,Dakahlia Governorate,DK,31.18287,32.03108,99357,10,Africa__Cairo
EG,CITY,Al Maḩallah al Kubrá,26154,Gharbia Governorate,GH,30.97063,31.1669,431052,17,Africa__Cairo
EG,CITY,Al Minyā,26127,Minya Governorate,MN,28.10988,30.7503,227150,49,Africa__Cairo
EG,CITY,Al Qanāyāt,26223,Al Sharqia Governorate,SHR,30.61927,31.46165,42912,14,Africa__Cairo
EG,CITY,Al Qanāţir al Khayrīyah,26631,Qalyubia Governorate,KB,30.19327,31.13703,56302,20,Africa__Cairo
EG,CITY,Al Qurayn,26283,Al Sharqia Governorate,SHR,30.61618,31.73514,61730,12,Africa__Cairo
EG,CITY,Al Quşayr,26337,Red Sea Governorate,BA,26.10611,34.27716,24653,21,Africa__Cairo
EG,CITY,Al Qūşīyah,26457,Asyut Governorate,AST,27.44023,30.81712,68394,54,Africa__Cairo
EG,CITY,Al Wāsiţah,26113,Faiyum Governorate,FYM,29.33778,31.20556,37453,33,Africa__Cairo
EG,CITY,Al Ḩawāmidīyah,26654,Giza Governorate,GZ,29.9,31.25,106841,23,Africa__Cairo
EG,CITY,Al Ḩāmūl,26121,Kafr el-Sheikh Governorate,KFS,31.31146,31.14766,45798,5,Africa__Cairo
EG,CITY,Al ‘Alamayn,26914,Matrouh Governorate,MT,30.83007,28.95502,7400,7,Africa__Cairo
EG,CITY,Al ‘Ayyāţ,26325,Giza Governorate,GZ,29.61972,31.2575,34796,25,Africa__Cairo
EG,CITY,Alexandria,26543,Alexandria Governorate,ALX,31.20176,29.91582,3811516,-1,Africa__Cairo
EG,CITY,Arish,26805,North Sinai Governorate,SIN,31.13159,33.79844,128855,15,Africa__Cairo
EG,CITY,Ash Shuhadā’,25966,Monufia Governorate,MNF,30.59683,30.89931,48060,12,Africa__Cairo
EG,CITY,Ashmūn,26533,Monufia Governorate,MNF,30.29735,30.97641,82507,17,Africa__Cairo
EG,CITY,Aswan,25976,Aswan Governorate,ASN,24.09082,32.89942,241261,99,Africa__Cairo
EG,CITY,Asyūţ,26257,Asyut Governorate,AST,27.18096,31.18368,420585,56,Africa__Cairo
EG,CITY,At Tall al Kabīr,26830,Al Sharqia Governorate,SHR,30.54323,31.78504,51569,11,Africa__Cairo
EG,CITY,Awsīm,26412,Giza Governorate,GZ,30.12303,31.13571,63862,25,Africa__Cairo
EG,CITY,Az Zarqā,26275,Damietta Governorate,DT,31.20864,31.63528,40010,4,Africa__Cairo
