countryCode,type,cityName,cityId,regionName,regionCode,lat,lon,population,elevation,timezone
ES,CITY,A Baña,1199127,Galicia,GA,42.9618,-8.75784,3505,297,Europe__Madrid
ES,CITY,A Coruña,31871,Galicia,GA,43.37135,-8.396,246056,200,Europe__Madrid
ES,CITY,A Estrada,31756,Galicia,GA,42.68911,-8.48842,21880,281,Europe__Madrid
ES,CITY,A Pobra do Brollon,30721,Galicia,GA,42.55612,-7.3914,2372,,Europe__Madrid
ES,CITY,A Pobra do Caramiñal,30074,Galicia,GA,42.60295,-8.93824,9440,,Europe__Madrid
ES,CITY,A Rúa,31849,Galicia,GA,42.40048,-7.10268,4975,317,Europe__Madrid
ES,CITY,Ababuj,33087,Aragon,AR,40.54908,-0.80758,92,,Europe__Madrid
ES,CITY,Abades,32938,León Province,LE,40.91646,-4.26937,907,,Europe__Madrid
ES,CITY,Abadía,33277,Extremadura,EX,40.25922,-5.97828,288,,Europe__Madrid
ES,CITY,Abadín,33771,Galicia,GA,43.36667,-7.48333,3193,500,Europe__Madrid
ES,CITY,Abajas,33082,León Province,LE,42.6231,-3.58086,37,,Europe__Madrid
ES,CITY,Abanilla,28399,Region of Murcia,MC,38.20537,-1.04153,6079,201,Europe__Madrid
ES,CITY,Abanto,33904,Aragon,AR,41.13751,-1.69818,152,,Europe__Madrid
ES,CITY,Abarán,28628,Region of Murcia,MC,38.20551,-1.39907,12991,175,Europe__Madrid
ES,CITY,Abegondo,32953,Galicia,GA,43.21667,-8.28333,5711,,Europe__Madrid
ES,CITY,Abejar,33392,León Province,LE,41.80755,-2.78407,407,1141,Europe__Madrid
ES,CITY,Abengibre,28907,Castile-La Mancha,CM,39.21667,-1.53333,991,,Europe__Madrid
ES,CITY,Abenójar,28001,Castile-La Mancha,CM,38.88032,-4.35702,1683,,Europe__Madrid
ES,CITY,Abertura,28135,Extremadura,EX,39.24352,-5.81394,509,,Europe__Madrid
ES,CITY,Abezames,33217,León Province,LE,41.62642,-5.42577,94,,Europe__Madrid
ES,CITY,Abia de las Torres,33300,León Province,LE,42.42016,-4.42131,181,,Europe__Madrid
ES,CITY,Abiego,33844,Aragon,AR,42.12094,-0.06873,290,539,Europe__Madrid
ES,CITY,Abizanda,33843,Aragon,AR,42.24236,0.19717,130,636,Europe__Madrid
ES,CITY,Abla,28458,Andalusia,AN,37.14245,-2.77808,1480,,Europe__Madrid
ES,CITY,Ablanque,33420,Castile-La Mancha,CM,40.89818,-2.22523,138,,Europe__Madrid
ES,CITY,Abrera,33464,Catalonia,CT,41.51682,1.901,11521,,Europe__Madrid
