cityId,searchRadius,population,hCountLevel0,hCountLevel1,hCountLevel2,hCountLevel3,hCountLevel7,cCountLevel0,cCountLevel1,cCountLevel2,cCountLevel3,cCountLevel7,rCountLevel0,rCountLevel1,rCountLevel2,rCountLevel3,rCountLevel7,aCountLevel0,aCountLevel1,aCountLevel2,aCountLevel3,aCountLevel7,iCountLevel0,iCountLevel1,iCountLevel2,iCountLevel3,iCountLevel7,nCountLevel0,nCountLevel1,nCountLevel2,nCountLevel3,nCountLevel7
659,30000,1000000,12,19,0,0,0,144,76,2,2,0,261,53,5,0,0,15,1,4,7,0,0,0,0,0,0,75,75,1,0,0
757530,20000,490035,6,7,2,0,2,32,77,3,1,0,443,53,1,3,0,8,0,0,0,0,0,0,0,0,0,83,83,1,0,0
638,20000,490035,6,8,2,0,1,32,83,3,1,0,438,58,1,3,0,8,0,0,0,0,0,0,0,0,0,81,81,1,0,0
644,30000,631005,11,8,2,2,9,4,10,1,4,0,367,21,0,2,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,1
262,50000,2502715,15,31,4,3,1,125,259,12,14,0,404,84,6,6,0,8,4,37,32,0,0,0,0,0,0,194,194,3,2,1
345009,20000,243341,11,14,0,0,0,73,51,0,0,0,216,47,5,0,0,12,1,2,4,0,0,0,0,0,0,25,25,1,0,0
35,20000,351943,3,5,1,0,1,4,5,0,0,0,176,10,0,0,0,1,2,0,0,0,0,0,0,0,0,30,30,1,0,0
900,50000,1400000,18,32,5,3,2,127,239,12,14,0,433,63,1,3,0,8,3,37,32,0,0,0,0,0,0,252,252,1,2,1
134,20000,108449,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0
140,20000,114883,5,0,2,4,1,0,2,0,0,0,27,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
364,20000,103601,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
504,20000,143379,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,20000,436300,2,2,0,2,1,1,2,3,0,0,11,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,20000,205423,15,17,0,1,0,0,2,0,0,0,26,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
216,50000,3678034,15,23,3,2,0,11,10,4,3,1,156,53,2,5,0,51,8,0,3,0,0,0,0,0,0,62,62,10,0,0
953,20000,491500,6,1,2,4,0,0,2,0,0,0,96,8,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,20000,160214,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
803,20000,268893,6,1,0,1,0,0,0,0,0,0,22,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
