id,date,prcp,tmax,tmin
AG000060390,2010-01-01,0,180,NA
AG000060390,2010-01-02,0,180,NA
AG000060390,2010-01-03,0,216,34
AG000060390,2010-01-04,0,NA,NA
AG000060390,2010-01-05,0,185,110
AG000060390,2010-01-06,5,173,NA
AG000060390,2010-01-07,0,199,NA
AG000060390,2010-01-08,5,NA,NA
AG000060390,2010-01-09,5,84,NA
AG000060390,2010-01-10,51,136,50
AG000060390,2010-01-11,5,126,NA
AG000060390,2010-01-12,259,173,60
AG000060390,2010-01-13,3,173,NA
AG000060390,2010-01-14,5,209,96
AG000060390,2010-01-15,5,NA,NA
AG000060390,2010-01-16,20,172,27
AG000060390,2010-01-17,0,200,37
AG000060390,2010-01-18,0,NA,50
AG000060390,2010-01-19,0,173,67
AG000060390,2010-01-20,0,182,91
AG000060390,2010-01-21,0,170,NA
AG000060390,2010-01-22,0,176,NA
AG000060390,2010-01-23,0,NA,26
AG000060390,2010-01-24,0,185,46
AG000060390,2010-01-25,0,173,NA
AG000060390,2010-01-26,0,NA,90
AG000060390,2010-01-27,79,144,NA
AG000060390,2010-01-28,0,133,NA
AG000060390,2010-01-29,5,150,66
AG000060390,2010-01-30,10,161,NA
AG000060390,2010-01-31,0,NA,45
AG000060390,2010-02-01,0,144,NA
AG000060390,2010-02-02,0,154,NA
AG000060390,2010-02-03,0,216,NA
AG000060390,2010-02-04,0,NA,122
AG000060390,2010-02-05,5,216,NA
AG000060390,2010-02-06,0,187,NA
AG000060390,2010-02-07,0,175,NA
AG000060390,2010-02-08,0,182,48
AG000060390,2010-02-09,30,NA,NA
AG000060390,2010-02-10,79,144,NA
AG000060390,2010-02-11,99,113,NA
AG000060390,2010-02-12,41,122,NA
AG000060390,2010-02-13,30,102,30
AG000060390,2010-02-14,99,123,NA
AG000060390,2010-02-15,30,NA,26
AG000060390,2010-02-16,41,210,110
AG000060390,2010-02-17,5,NA,NA
AG000060390,2010-02-18,0,226,NA
AG000060390,2010-02-19,10,191,NA
AG000060390,2010-02-20,5,NA,NA
AG000060390,2010-02-21,0,170,26
AG000060390,2010-02-22,10,NA,NA
AG000060390,2010-02-23,0,223,NA
AG000060390,2010-02-24,0,212,NA
AG000060390,2010-02-25,0,234,NA
AG000060390,2010-02-26,0,222,101
AG000060390,2010-02-27,0,313,80
AG000060390,2010-02-28,0,NA,NA
AG000060390,2010-03-01,0,205,NA
AG000060390,2010-03-02,0,237,73
AG000060390,2010-03-03,0,NA,NA
AG000060390,2010-03-04,0,196,94
AG000060390,2010-03-05,0,202,NA
AG000060390,2010-03-06,0,NA,NA
AG000060390,2010-03-07,71,143,NA
AG000060390,2010-03-08,51,NA,NA
AG000060390,2010-03-09,531,101,NA
AG000060390,2010-03-10,180,126,NA
AG000060390,2010-03-11,10,NA,4
AG000060390,2010-03-12,10,NA,83
AG000060390,2010-03-13,89,122,NA
AG000060390,2010-03-14,51,140,54
AG000060390,2010-03-15,20,NA,NA
AG000060390,2010-03-16,0,191,10
AG000060390,2010-03-17,0,NA,17
AG000060390,2010-03-18,0,261,110
AG000060390,2010-03-19,0,273,90
AG000060390,2010-03-20,0,NA,107
AG000060390,2010-03-21,0,262,NA
AG000060390,2010-03-22,0,204,NA
AG000060390,2010-03-23,0,200,NA
AG000060390,2010-03-24,0,221,NA
AG000060390,2010-03-25,0,212,NA
AG000060390,2010-03-26,0,234,103
AG000060390,2010-03-27,0,207,89
