id,date,prcp,tmax,tmin
AGE00147708,2010-01-01,5,NA,NA
AGE00147708,2010-01-02,0,162,NA
AGE00147708,2010-01-03,0,190,65
AGE00147708,2010-01-04,0,204,70
AGE00147708,2010-01-05,0,194,106
AGE00147708,2010-01-06,61,170,NA
AGE00147708,2010-01-07,5,206,78
AGE00147708,2010-01-08,0,NA,NA
AGE00147708,2010-01-09,0,70,NA
AGE00147708,2010-01-10,41,126,35
AGE00147708,2010-01-11,3,NA,70
AGE00147708,2010-01-12,201,160,NA
AGE00147708,2010-01-13,10,156,NA
AGE00147708,2010-01-14,0,197,84
AGE00147708,2010-01-15,20,135,94
AGE00147708,2010-01-16,160,170,65
AGE00147708,2010-01-17,0,187,61
AGE00147708,2010-01-18,0,195,66
AGE00147708,2010-01-19,0,170,70
AGE00147708,2010-01-20,0,160,99
AGE00147708,2010-01-21,61,165,NA
AGE00147708,2010-01-22,0,166,50
AGE00147708,2010-01-23,0,145,55
AGE00147708,2010-01-24,0,176,69
AGE00147708,2010-01-25,0,181,90
AGE00147708,2010-01-26,0,181,94
AGE00147708,2010-01-27,170,146,NA
AGE00147708,2010-01-28,20,120,52
AGE00147708,2010-01-29,30,129,62
AGE00147708,2010-01-30,30,146,85
AGE00147708,2010-01-31,0,155,66
AGE00147708,2010-02-01,20,126,NA
AGE00147708,2010-02-02,20,150,20
AGE00147708,2010-02-03,0,204,35
AGE00147708,2010-02-04,0,200,88
AGE00147708,2010-02-05,8,205,124
AGE00147708,2010-02-06,0,162,NA
AGE00147708,2010-02-07,0,155,NA
AGE00147708,2010-02-08,0,140,64
AGE00147708,2010-02-09,20,NA,NA
AGE00147708,2010-02-10,99,125,NA
AGE00147708,2010-02-11,61,105,70
AGE00147708,2010-02-12,99,100,43
AGE00147708,2010-02-13,41,80,35
AGE00147708,2010-02-14,51,112,72
AGE00147708,2010-02-15,79,120,45
AGE00147708,2010-02-16,0,195,91
AGE00147708,2010-02-17,20,NA,122
AGE00147708,2010-02-18,0,225,91
AGE00147708,2010-02-19,20,193,NA
AGE00147708,2010-02-20,41,145,95
AGE00147708,2010-02-21,0,165,57
AGE00147708,2010-02-22,8,255,130
AGE00147708,2010-02-23,0,214,140
AGE00147708,2010-02-24,0,200,145
AGE00147708,2010-02-25,0,230,90
AGE00147708,2010-02-26,0,205,108
AGE00147708,2010-02-27,0,300,110
AGE00147708,2010-02-28,0,NA,NA
AGE00147708,2010-03-01,0,194,NA
AGE00147708,2010-03-02,0,195,80
AGE00147708,2010-03-03,0,NA,NA
AGE00147708,2010-03-04,0,165,105
AGE00147708,2010-03-05,41,202,85
AGE00147708,2010-03-06,0,166,117
AGE00147708,2010-03-07,20,NA,NA
AGE00147708,2010-03-08,0,120,90
