id,date,tmax
AJ000037747,2016-09-01,NA
AJ000037747,2016-09-02,NA
AJ000037747,2016-09-03,NA
AJ000037747,2016-09-04,NA
AJ000037747,2016-09-05,NA
AJ000037747,2016-09-06,NA
AJ000037747,2016-09-07,NA
AJ000037747,2016-09-08,NA
AJ000037747,2016-09-09,NA
AJ000037747,2016-09-10,NA
AJ000037747,2016-09-11,NA
AJ000037747,2016-09-12,NA
AJ000037747,2016-09-13,NA
AJ000037747,2016-09-14,NA
AJ000037747,2016-09-15,NA
AJ000037747,2016-09-16,NA
AJ000037747,2016-09-17,NA
AJ000037747,2016-09-18,NA
AJ000037747,2016-09-19,NA
AJ000037747,2016-09-20,NA
AJ000037747,2016-09-21,NA
AJ000037747,2016-09-22,NA
AJ000037747,2016-09-23,NA
AJ000037747,2016-09-24,NA
AJ000037747,2016-09-25,NA
AJ000037747,2016-09-26,NA
AJ000037747,2016-09-27,NA
AJ000037747,2016-09-28,171
AJ000037747,2016-09-29,NA
AJ000037747,2016-09-30,NA
AJ000037747,2016-10-01,NA
AJ000037747,2016-10-02,NA
AJ000037747,2016-10-03,NA
AJ000037747,2016-10-04,NA
AJ000037747,2016-10-05,NA
AJ000037747,2016-10-06,NA
AJ000037747,2016-10-07,NA
AJ000037747,2016-10-08,NA
AJ000037747,2016-10-09,NA
AJ000037747,2016-10-10,261
AJ000037747,2016-10-11,NA
AJ000037747,2016-10-12,NA
AJ000037747,2016-10-13,NA
AJ000037747,2016-10-14,NA
AJ000037747,2016-10-15,NA
AJ000037747,2016-10-16,NA
AJ000037747,2016-10-17,103
AJ000037747,2016-10-18,NA
AJ000037747,2016-10-19,NA
AJ000037747,2016-10-20,NA
AJ000037747,2016-10-21,NA
AJ000037747,2016-10-22,NA
AJ000037747,2016-10-23,NA
AJ000037747,2016-10-24,NA
AJ000037747,2016-10-25,NA
AJ000037747,2016-10-26,77
AJ000037747,2016-10-27,NA
AJ000037747,2016-10-28,NA
AJ000037747,2016-10-29,NA
AJ000037747,2016-10-30,NA
AJ000037747,2016-10-31,NA
AJ000037747,2016-11-01,NA
AJ000037747,2016-11-02,NA
AJ000037747,2016-11-03,141
AJ000037747,2016-11-04,NA
AJ000037747,2016-11-05,NA
AJ000037747,2016-11-06,NA
AJ000037747,2016-11-07,182
AJ000037747,2016-11-08,NA
AJ000037747,2016-11-09,NA
AJ000037747,2016-11-10,NA
AJ000037747,2016-11-11,NA
AJ000037747,2016-11-12,NA
AJ000037747,2016-11-13,NA
AJ000037747,2016-11-14,NA
AJ000037747,2016-11-15,NA
AJ000037747,2016-11-16,NA
AJ000037747,2016-11-17,NA
AJ000037747,2016-11-18,NA
AJ000037747,2016-11-19,NA
AJ000037747,2016-11-20,NA
AJ000037747,2016-11-21,NA
AJ000037747,2016-11-22,NA
AJ000037747,2016-11-23,NA
AJ000037747,2016-11-24,NA
AJ000037747,2016-11-25,NA
AJ000037747,2016-11-26,NA
AJ000037747,2016-11-27,NA
AJ000037747,2016-11-28,NA
AJ000037747,2016-11-29,NA
AJ000037747,2016-11-30,NA
