id,date,prcp,tmax,tmin
AJ000037923,2010-08-01,NA,NA,NA
AJ000037923,2010-08-02,NA,NA,NA
AJ000037923,2010-08-03,NA,NA,NA
AJ000037923,2010-08-04,NA,NA,NA
AJ000037923,2010-08-05,NA,NA,NA
AJ000037923,2010-08-06,NA,NA,NA
AJ000037923,2010-08-07,NA,NA,NA
AJ000037923,2010-08-08,NA,NA,NA
AJ000037923,2010-08-09,NA,NA,NA
AJ000037923,2010-08-10,NA,NA,NA
AJ000037923,2010-08-11,NA,NA,NA
AJ000037923,2010-08-12,NA,NA,NA
AJ000037923,2010-08-13,NA,NA,NA
AJ000037923,2010-08-14,NA,NA,NA
AJ000037923,2010-08-15,NA,NA,NA
AJ000037923,2010-08-16,NA,NA,NA
AJ000037923,2010-08-17,NA,NA,NA
AJ000037923,2010-08-18,NA,NA,NA
AJ000037923,2010-08-19,NA,360,230
AJ000037923,2010-08-20,NA,368,224
AJ000037923,2010-08-21,NA,316,NA
AJ000037923,2010-08-22,NA,NA,NA
AJ000037923,2010-08-23,NA,NA,NA
AJ000037923,2010-08-24,NA,306,207
AJ000037923,2010-08-25,NA,310,220
AJ000037923,2010-08-26,NA,312,195
AJ000037923,2010-08-27,NA,NA,NA
AJ000037923,2010-08-28,NA,315,NA
AJ000037923,2010-08-29,NA,296,185
AJ000037923,2010-08-30,NA,NA,197
AJ000037923,2010-08-31,NA,NA,NA
AJ000037923,2010-09-01,NA,NA,NA
AJ000037923,2010-09-02,NA,338,210
AJ000037923,2010-09-03,NA,320,213
AJ000037923,2010-09-04,NA,NA,NA
AJ000037923,2010-09-05,NA,NA,185
AJ000037923,2010-09-06,NA,330,201
AJ000037923,2010-09-07,NA,NA,NA
AJ000037923,2010-09-08,NA,NA,NA
AJ000037923,2010-09-09,NA,NA,NA
AJ000037923,2010-09-10,NA,NA,NA
AJ000037923,2010-09-11,NA,NA,NA
AJ000037923,2010-09-12,NA,NA,NA
AJ000037923,2010-09-13,NA,NA,NA
AJ000037923,2010-09-14,NA,NA,NA
AJ000037923,2010-09-15,NA,NA,NA
AJ000037923,2010-09-16,NA,NA,NA
AJ000037923,2010-09-17,NA,NA,NA
AJ000037923,2010-09-18,NA,NA,NA
AJ000037923,2010-09-19,NA,NA,NA
AJ000037923,2010-09-20,NA,NA,NA
AJ000037923,2010-09-21,NA,NA,NA
AJ000037923,2010-09-22,NA,NA,NA
AJ000037923,2010-09-23,NA,NA,NA
AJ000037923,2010-09-24,NA,NA,NA
AJ000037923,2010-09-25,NA,NA,NA
AJ000037923,2010-09-26,NA,220,161
AJ000037923,2010-09-27,NA,240,165
AJ000037923,2010-09-28,NA,NA,NA
AJ000037923,2010-09-29,NA,NA,NA
AJ000037923,2010-09-30,NA,NA,NA
AJ000037923,2010-10-01,NA,274,NA
AJ000037923,2010-10-02,NA,NA,159
AJ000037923,2010-10-03,NA,NA,NA
AJ000037923,2010-10-04,NA,NA,NA
AJ000037923,2010-10-05,NA,NA,NA
AJ000037923,2010-10-06,NA,NA,NA
AJ000037923,2010-10-07,NA,NA,NA
AJ000037923,2010-10-08,NA,NA,NA
AJ000037923,2010-10-09,NA,NA,NA
AJ000037923,2010-10-10,NA,NA,NA
AJ000037923,2010-10-11,NA,NA,NA
AJ000037923,2010-10-12,NA,NA,NA
AJ000037923,2010-10-13,NA,NA,NA
AJ000037923,2010-10-14,NA,NA,NA
AJ000037923,2010-10-15,NA,NA,NA
AJ000037923,2010-10-16,NA,205,120
AJ000037923,2010-10-17,NA,NA,135
AJ000037923,2010-10-18,NA,222,140
AJ000037923,2010-10-19,NA,NA,NA
AJ000037923,2010-10-20,NA,225,140
AJ000037923,2010-10-21,NA,NA,NA
AJ000037923,2010-10-22,NA,210,NA
AJ000037923,2010-10-23,NA,NA,NA
AJ000037923,2010-10-24,NA,NA,NA
AJ000037923,2010-10-25,NA,180,133
AJ000037923,2010-10-26,NA,185,125
AJ000037923,2010-10-27,NA,NA,NA
AJ000037923,2010-10-28,NA,NA,135
AJ000037923,2010-10-29,NA,NA,133
AJ000037923,2010-10-30,NA,NA,NA
AJ000037923,2010-10-31,NA,NA,NA
AJ000037923,2010-11-01,NA,149,NA
AJ000037923,2010-11-02,NA,139,75
AJ000037923,2010-11-03,NA,NA,NA
AJ000037923,2010-11-04,NA,NA,NA
AJ000037923,2010-11-05,NA,NA,NA
AJ000037923,2010-11-06,NA,145,NA
AJ000037923,2010-11-07,NA,NA,NA
