id,date,tmax,tmin
ALM00013615,2012-04-01,NA,NA
ALM00013615,2012-04-02,NA,NA
ALM00013615,2012-04-03,NA,NA
ALM00013615,2012-04-04,NA,NA
ALM00013615,2012-04-05,NA,82
ALM00013615,2012-04-06,NA,NA
ALM00013615,2012-04-07,NA,100
ALM00013615,2012-04-08,NA,NA
ALM00013615,2012-04-09,NA,NA
ALM00013615,2012-04-10,166,18
ALM00013615,2012-04-11,161,27
ALM00013615,2012-04-12,NA,NA
ALM00013615,2012-04-13,156,70
ALM00013615,2012-04-14,191,100
ALM00013615,2012-04-15,NA,NA
ALM00013615,2012-04-16,218,94
ALM00013615,2012-04-17,185,102
ALM00013615,2012-04-18,NA,NA
ALM00013615,2012-04-19,NA,80
ALM00013615,2012-04-20,185,99
ALM00013615,2012-04-21,183,NA
ALM00013615,2012-04-22,194,86
ALM00013615,2012-04-23,NA,86
ALM00013615,2012-04-24,227,NA
ALM00013615,2012-04-25,190,NA
ALM00013615,2012-04-26,213,48
ALM00013615,2012-04-27,226,68
ALM00013615,2012-04-28,284,NA
ALM00013615,2012-04-29,NA,NA
ALM00013615,2012-04-30,280,109
ALM00013615,2012-05-01,282,120
ALM00013615,2012-05-02,271,123
ALM00013615,2012-05-03,NA,133
ALM00013615,2012-05-04,NA,NA
ALM00013615,2012-05-05,NA,98
ALM00013615,2012-05-06,NA,105
ALM00013615,2012-05-07,NA,NA
ALM00013615,2012-05-08,236,114
ALM00013615,2012-05-09,NA,118
ALM00013615,2012-05-10,NA,108
ALM00013615,2012-05-11,301,111
ALM00013615,2012-05-12,284,129
ALM00013615,2012-05-13,NA,142
ALM00013615,2012-05-14,221,NA
ALM00013615,2012-05-15,NA,116
ALM00013615,2012-05-16,211,124
ALM00013615,2012-05-17,NA,NA
ALM00013615,2012-05-18,221,NA
ALM00013615,2012-05-19,NA,87
ALM00013615,2012-05-20,232,93
ALM00013615,2012-05-21,289,NA
ALM00013615,2012-05-22,NA,NA
ALM00013615,2012-05-23,210,NA
ALM00013615,2012-05-24,NA,126
ALM00013615,2012-05-25,NA,135
ALM00013615,2012-05-26,NA,NA
ALM00013615,2012-05-27,NA,NA
ALM00013615,2012-05-28,234,NA
ALM00013615,2012-05-29,NA,NA
ALM00013615,2012-05-30,233,NA
ALM00013615,2012-05-31,254,116
ALM00013615,2012-06-01,271,NA
ALM00013615,2012-06-02,272,134
ALM00013615,2012-06-03,NA,133
ALM00013615,2012-06-04,NA,133
ALM00013615,2012-06-05,238,144
ALM00013615,2012-06-06,NA,145
ALM00013615,2012-06-07,NA,135
ALM00013615,2012-06-08,301,153
ALM00013615,2012-06-09,NA,179
ALM00013615,2012-06-10,341,NA
ALM00013615,2012-06-11,300,180
ALM00013615,2012-06-12,314,166
ALM00013615,2012-06-13,291,NA
ALM00013615,2012-06-14,282,130
ALM00013615,2012-06-15,289,NA
ALM00013615,2012-06-16,325,NA
ALM00013615,2012-06-17,NA,163
ALM00013615,2012-06-18,333,170
ALM00013615,2012-06-19,343,168
ALM00013615,2012-06-20,NA,177
ALM00013615,2012-06-21,344,185
ALM00013615,2012-06-22,NA,210
ALM00013615,2012-06-23,367,NA
ALM00013615,2012-06-24,327,210
ALM00013615,2012-06-25,317,208
ALM00013615,2012-06-26,325,189
ALM00013615,2012-06-27,NA,NA
ALM00013615,2012-06-28,307,147
ALM00013615,2012-06-29,NA,158
ALM00013615,2012-06-30,332,NA
ALM00013615,2012-07-01,NA,189
ALM00013615,2012-07-02,344,209
ALM00013615,2012-07-03,330,207
ALM00013615,2012-07-04,NA,200
ALM00013615,2012-07-05,328,208
ALM00013615,2012-07-06,324,NA
ALM00013615,2012-07-07,326,200
ALM00013615,2012-07-08,333,206
ALM00013615,2012-07-09,350,NA
ALM00013615,2012-07-10,343,188
ALM00013615,2012-07-11,NA,187
