id,date,prcp,tmax,tmin
AO000066160,2010-01-01,NA,NA,NA
AO000066160,2010-01-02,NA,NA,NA
AO000066160,2010-01-03,NA,NA,NA
AO000066160,2010-01-04,NA,NA,NA
AO000066160,2010-01-05,NA,NA,NA
AO000066160,2010-01-06,NA,NA,NA
AO000066160,2010-01-07,NA,NA,NA
AO000066160,2010-01-08,NA,NA,NA
AO000066160,2010-01-09,NA,NA,NA
AO000066160,2010-01-10,NA,NA,NA
AO000066160,2010-01-11,NA,NA,NA
AO000066160,2010-01-12,NA,NA,NA
AO000066160,2010-01-13,NA,NA,NA
AO000066160,2010-01-14,NA,NA,NA
AO000066160,2010-01-15,NA,NA,NA
AO000066160,2010-01-16,NA,NA,NA
AO000066160,2010-01-17,NA,NA,NA
AO000066160,2010-01-18,NA,NA,NA
AO000066160,2010-01-19,NA,NA,NA
AO000066160,2010-01-20,NA,NA,NA
AO000066160,2010-01-21,NA,NA,NA
AO000066160,2010-01-22,NA,NA,NA
AO000066160,2010-01-23,NA,NA,NA
AO000066160,2010-01-24,NA,NA,NA
AO000066160,2010-01-25,NA,NA,NA
AO000066160,2010-01-26,NA,NA,NA
AO000066160,2010-01-27,NA,NA,261
AO000066160,2010-01-28,NA,NA,NA
AO000066160,2010-01-29,NA,NA,NA
AO000066160,2010-01-30,NA,NA,NA
AO000066160,2010-01-31,NA,NA,NA
AO000066160,2010-04-01,NA,NA,NA
AO000066160,2010-04-02,NA,NA,NA
AO000066160,2010-04-03,NA,NA,NA
AO000066160,2010-04-04,NA,NA,NA
AO000066160,2010-04-05,NA,NA,NA
AO000066160,2010-04-06,NA,NA,NA
AO000066160,2010-04-07,NA,NA,NA
AO000066160,2010-04-08,NA,NA,NA
AO000066160,2010-04-09,NA,NA,NA
AO000066160,2010-04-10,NA,NA,NA
AO000066160,2010-04-11,NA,NA,NA
AO000066160,2010-04-12,NA,NA,NA
AO000066160,2010-04-13,NA,NA,NA
AO000066160,2010-04-14,NA,NA,NA
AO000066160,2010-04-15,NA,NA,NA
AO000066160,2010-04-16,NA,NA,NA
AO000066160,2010-04-17,NA,NA,NA
AO000066160,2010-04-18,NA,NA,NA
AO000066160,2010-04-19,NA,NA,NA
AO000066160,2010-04-20,NA,NA,NA
AO000066160,2010-04-21,NA,NA,NA
AO000066160,2010-04-22,NA,NA,NA
AO000066160,2010-04-23,NA,NA,NA
AO000066160,2010-04-24,NA,NA,NA
AO000066160,2010-04-25,NA,NA,NA
AO000066160,2010-04-26,NA,NA,NA
AO000066160,2010-04-27,NA,NA,NA
AO000066160,2010-04-28,NA,NA,NA
AO000066160,2010-04-29,NA,NA,243
AO000066160,2010-04-30,NA,NA,NA
AO000066160,2010-05-01,NA,NA,NA
AO000066160,2010-05-02,NA,NA,NA
AO000066160,2010-05-03,NA,NA,NA
AO000066160,2010-05-04,NA,NA,NA
AO000066160,2010-05-05,NA,NA,NA
AO000066160,2010-05-06,NA,NA,NA
AO000066160,2010-05-07,NA,NA,NA
AO000066160,2010-05-08,NA,NA,NA
AO000066160,2010-05-09,NA,NA,NA
AO000066160,2010-05-10,NA,NA,238
AO000066160,2010-05-11,NA,NA,NA
AO000066160,2010-05-12,NA,NA,NA
AO000066160,2010-05-13,NA,NA,NA
AO000066160,2010-05-14,NA,NA,NA
AO000066160,2010-05-15,NA,NA,NA
AO000066160,2010-05-16,NA,NA,NA
AO000066160,2010-05-17,NA,NA,NA
AO000066160,2010-05-18,NA,NA,NA
AO000066160,2010-05-19,NA,284,NA
AO000066160,2010-05-20,NA,NA,NA
AO000066160,2010-05-21,NA,NA,NA
AO000066160,2010-05-22,NA,NA,NA
AO000066160,2010-05-23,NA,NA,NA
