id,date,prcp,tmax,tmin
AR000087155,2010-01-01,411,NA,230
AR000087155,2010-01-02,NA,332,255
AR000087155,2010-01-03,NA,NA,265
AR000087155,2010-01-04,NA,355,NA
AR000087155,2010-01-05,NA,NA,270
AR000087155,2010-01-06,NA,360,NA
AR000087155,2010-01-07,NA,307,230
AR000087155,2010-01-08,NA,NA,225
AR000087155,2010-01-09,381,NA,219
AR000087155,2010-01-10,409,342,219
AR000087155,2010-01-11,140,NA,245
AR000087155,2010-01-12,0,336,NA
AR000087155,2010-01-13,89,328,185
AR000087155,2010-01-14,0,NA,181
AR000087155,2010-01-15,NA,305,178
AR000087155,2010-01-16,5,NA,NA
AR000087155,2010-01-17,0,NA,237
AR000087155,2010-01-18,0,357,255
AR000087155,2010-01-19,1519,349,NA
AR000087155,2010-01-20,99,NA,209
AR000087155,2010-01-21,0,305,200
AR000087155,2010-01-22,NA,306,184
AR000087155,2010-01-23,NA,NA,196
AR000087155,2010-01-24,NA,NA,233
AR000087155,2010-01-25,NA,NA,235
AR000087155,2010-01-26,NA,343,NA
AR000087155,2010-01-27,191,345,221
AR000087155,2010-01-28,0,335,215
AR000087155,2010-01-29,NA,NA,222
AR000087155,2010-01-30,NA,NA,260
AR000087155,2010-01-31,NA,370,265
AR000087155,2010-02-01,NA,NA,NA
AR000087155,2010-02-02,0,NA,263
AR000087155,2010-02-03,NA,NA,NA
AR000087155,2010-02-04,0,394,NA
AR000087155,2010-02-05,NA,NA,NA
AR000087155,2010-02-06,NA,NA,240
AR000087155,2010-02-07,NA,397,NA
AR000087155,2010-02-08,NA,398,NA
AR000087155,2010-02-09,NA,NA,195
AR000087155,2010-02-10,NA,NA,210
AR000087155,2010-02-11,NA,NA,NA
AR000087155,2010-02-12,NA,NA,NA
AR000087155,2010-02-13,NA,374,254
AR000087155,2010-02-14,NA,363,NA
AR000087155,2010-02-15,NA,332,NA
AR000087155,2010-02-16,221,305,214
AR000087155,2010-02-17,0,310,205
AR000087155,2010-02-18,NA,NA,225
AR000087155,2010-02-19,NA,NA,NA
AR000087155,2010-02-20,NA,NA,NA
AR000087155,2010-02-21,371,378,235
AR000087155,2010-02-22,231,NA,242
AR000087155,2010-02-23,180,333,NA
AR000087155,2010-02-24,79,268,228
AR000087155,2010-02-25,10,258,159
AR000087155,2010-02-26,0,NA,179
AR000087155,2010-02-27,NA,NA,197
AR000087155,2010-02-28,0,NA,204
AR000087155,2010-03-01,NA,NA,194
AR000087155,2010-03-02,NA,323,227
AR000087155,2010-03-03,10,321,NA
AR000087155,2010-03-04,160,NA,NA
AR000087155,2010-03-05,0,331,230
AR000087155,2010-03-06,NA,331,NA
AR000087155,2010-03-07,NA,330,197
AR000087155,2010-03-08,NA,326,NA
AR000087155,2010-03-09,NA,NA,198
AR000087155,2010-03-10,NA,320,216
AR000087155,2010-03-11,NA,323,214
AR000087155,2010-03-12,NA,325,199
AR000087155,2010-03-13,231,325,186
AR000087155,2010-03-14,150,NA,193
AR000087155,2010-03-15,0,314,208
AR000087155,2010-03-16,NA,302,195
AR000087155,2010-03-17,NA,NA,210
AR000087155,2010-03-18,NA,NA,240
AR000087155,2010-03-19,NA,352,NA
AR000087155,2010-03-20,89,NA,NA
AR000087155,2010-03-21,0,NA,214
AR000087155,2010-03-22,150,343,208
AR000087155,2010-03-23,569,NA,NA
AR000087155,2010-03-24,0,NA,186
AR000087155,2010-03-25,NA,290,186
AR000087155,2010-03-26,NA,NA,203
AR000087155,2010-03-27,NA,NA,210
AR000087155,2010-03-28,NA,304,NA
AR000087155,2010-03-29,NA,NA,198
AR000087155,2010-03-30,NA,308,180
AR000087155,2010-03-31,NA,NA,179
AR000087155,2010-04-01,NA,NA,177
AR000087155,2010-04-02,NA,NA,187
AR000087155,2010-04-03,NA,345,NA
AR000087155,2010-04-04,61,NA,NA
AR000087155,2010-04-05,0,228,140
AR000087155,2010-04-06,NA,NA,106
