id,date,prcp,tmax,tmin
ARM00087643,2019-12-01,NA,NA,NA
ARM00087643,2019-12-02,NA,NA,NA
ARM00087643,2019-12-03,NA,NA,NA
ARM00087643,2019-12-04,NA,NA,NA
ARM00087643,2019-12-05,NA,NA,NA
ARM00087643,2019-12-06,NA,NA,NA
ARM00087643,2019-12-07,NA,NA,NA
ARM00087643,2019-12-08,NA,NA,NA
ARM00087643,2019-12-09,NA,NA,NA
ARM00087643,2019-12-10,NA,371,185
ARM00087643,2019-12-11,NA,361,171
ARM00087643,2019-12-12,NA,305,135
ARM00087643,2019-12-13,NA,NA,NA
ARM00087643,2019-12-14,NA,NA,132
ARM00087643,2019-12-15,8,NA,157
ARM00087643,2019-12-16,5,NA,117
ARM00087643,2019-12-17,5,292,126
ARM00087643,2019-12-18,0,NA,141
ARM00087643,2019-12-19,NA,341,185
ARM00087643,2019-12-20,3,315,NA
ARM00087643,2019-12-21,20,NA,85
ARM00087643,2019-12-22,0,NA,72
ARM00087643,2019-12-23,NA,NA,NA
ARM00087643,2019-12-24,NA,NA,165
ARM00087643,2019-12-25,140,NA,121
ARM00087643,2019-12-26,0,NA,95
ARM00087643,2019-12-27,NA,NA,154
ARM00087643,2019-12-28,450,NA,185
ARM00087643,2019-12-29,0,317,191
ARM00087643,2019-12-30,NA,299,213
ARM00087643,2019-12-31,99,281,NA
ARM00087643,2020-01-01,NA,NA,175
ARM00087643,2020-01-02,NA,NA,126
ARM00087643,2020-01-03,NA,NA,137
ARM00087643,2020-01-04,NA,NA,149
ARM00087643,2020-01-05,71,297,173
ARM00087643,2020-01-06,300,NA,136
ARM00087643,2020-01-07,0,NA,92
ARM00087643,2020-01-08,NA,289,136
ARM00087643,2020-01-09,231,291,147
ARM00087643,2020-01-10,0,NA,121
ARM00087643,2020-01-11,NA,NA,NA
ARM00087643,2020-01-12,NA,303,108
ARM00087643,2020-01-13,NA,277,111
ARM00087643,2020-01-14,160,NA,161
ARM00087643,2020-01-15,41,295,184
ARM00087643,2020-01-16,0,NA,55
ARM00087643,2020-01-17,NA,NA,64
ARM00087643,2020-01-18,NA,NA,119
ARM00087643,2020-01-19,NA,NA,146
ARM00087643,2020-01-20,NA,NA,202
ARM00087643,2020-01-21,89,342,181
ARM00087643,2020-01-22,0,NA,186
ARM00087643,2020-01-23,NA,NA,172
ARM00087643,2020-01-24,NA,NA,199
ARM00087643,2020-01-25,NA,NA,151
ARM00087643,2020-01-26,NA,336,121
ARM00087643,2020-01-27,NA,312,81
ARM00087643,2020-01-28,NA,NA,106
ARM00087643,2020-01-29,140,305,149
ARM00087643,2020-01-30,0,NA,75
ARM00087643,2020-01-31,NA,NA,121
ARM00087643,2020-02-01,NA,NA,136
ARM00087643,2020-02-02,5,NA,168
ARM00087643,2020-02-03,0,NA,167
ARM00087643,2020-02-04,NA,351,185
ARM00087643,2020-02-05,130,337,184
ARM00087643,2020-02-06,8,NA,189
ARM00087643,2020-02-07,0,309,171
ARM00087643,2020-02-08,NA,271,154
ARM00087643,2020-02-09,NA,259,109
ARM00087643,2020-02-10,NA,NA,85
ARM00087643,2020-02-11,NA,NA,111
ARM00087643,2020-02-12,NA,NA,141
ARM00087643,2020-02-13,NA,289,169
ARM00087643,2020-02-14,310,NA,155
ARM00087643,2020-02-15,0,NA,120
ARM00087643,2020-02-16,NA,NA,174
ARM00087643,2020-02-17,NA,325,NA
ARM00087643,2020-02-18,NA,NA,NA
ARM00087643,2020-02-19,NA,NA,NA
ARM00087643,2020-02-20,NA,NA,NA
ARM00087643,2020-02-21,NA,NA,NA
ARM00087643,2020-02-22,NA,NA,NA
ARM00087643,2020-02-23,NA,NA,NA
ARM00087643,2020-02-24,NA,NA,NA
ARM00087643,2020-02-25,NA,NA,NA
ARM00087643,2020-02-26,NA,NA,NA
ARM00087643,2020-02-27,NA,NA,NA
ARM00087643,2020-02-28,NA,NA,NA
ARM00087643,2020-02-29,NA,NA,NA
