id,date,prcp,tmax,tmin
AU000005901,2010-01-01,36,65,27
AU000005901,2010-01-02,39,44,-1
AU000005901,2010-01-03,4,4,-30
AU000005901,2010-01-04,0,0,-34
AU000005901,2010-01-05,62,-26,-50
AU000005901,2010-01-06,11,-5,-31
AU000005901,2010-01-07,28,5,-31
AU000005901,2010-01-08,140,0,-38
AU000005901,2010-01-09,94,12,-2
AU000005901,2010-01-10,0,8,-4
AU000005901,2010-01-11,0,-1,-15
AU000005901,2010-01-12,0,-14,-48
AU000005901,2010-01-13,0,-6,-32
AU000005901,2010-01-14,0,0,-10
AU000005901,2010-01-15,0,12,-5
AU000005901,2010-01-16,0,26,-4
AU000005901,2010-01-17,93,3,-25
AU000005901,2010-01-18,63,38,-12
AU000005901,2010-01-19,0,46,11
AU000005901,2010-01-20,2,19,-19
AU000005901,2010-01-21,15,-18,-71
AU000005901,2010-01-22,0,-43,-68
AU000005901,2010-01-23,0,-53,-92
AU000005901,2010-01-24,0,-39,-103
AU000005901,2010-01-25,6,-32,-65
AU000005901,2010-01-26,1,-39,-67
AU000005901,2010-01-27,10,-44,-117
AU000005901,2010-01-28,11,21,-92
AU000005901,2010-01-29,0,39,1
AU000005901,2010-01-30,0,34,-6
AU000005901,2010-01-31,2,12,-20
AU000005901,2010-02-01,0,17,-35
AU000005901,2010-02-02,0,34,-19
AU000005901,2010-02-03,26,59,-18
AU000005901,2010-02-04,0,19,-13
AU000005901,2010-02-05,0,39,-5
AU000005901,2010-02-06,0,28,2
AU000005901,2010-02-07,2,24,-44
AU000005901,2010-02-08,0,-32,-64
AU000005901,2010-02-09,0,-22,-60
AU000005901,2010-02-10,33,-5,-32
AU000005901,2010-02-11,15,-16,-32
AU000005901,2010-02-12,1,-13,-42
AU000005901,2010-02-13,0,0,-26
AU000005901,2010-02-14,0,-3,-21
AU000005901,2010-02-15,0,2,-31
AU000005901,2010-02-16,0,-10,-27
AU000005901,2010-02-17,0,37,-22
AU000005901,2010-02-18,0,29,10
AU000005901,2010-02-19,57,56,2
AU000005901,2010-02-20,11,42,22
AU000005901,2010-02-21,0,77,8
AU000005901,2010-02-22,0,73,-22
AU000005901,2010-02-23,0,70,-1
AU000005901,2010-02-24,0,99,-7
AU000005901,2010-02-25,0,144,13
AU000005901,2010-02-26,25,100,42
AU000005901,2010-02-27,0,121,54
AU000005901,2010-02-28,14,135,38
AU000005901,2010-03-01,0,137,67
AU000005901,2010-03-02,4,103,21
AU000005901,2010-03-03,0,92,14
AU000005901,2010-03-04,0,48,10
AU000005901,2010-03-05,0,29,-21
AU000005901,2010-03-06,7,7,-45
AU000005901,2010-03-07,0,3,-48
AU000005901,2010-03-08,0,11,-66
AU000005901,2010-03-09,0,28,-62
AU000005901,2010-03-10,4,40,-60
AU000005901,2010-03-11,15,26,-9
AU000005901,2010-03-12,0,53,-8
AU000005901,2010-03-13,0,63,7
