id,date,prcp,tmax,tmin
BA000041150,2010-01-01,51,NA,NA
BA000041150,2010-01-02,NA,200,157
BA000041150,2010-01-03,NA,NA,157
BA000041150,2010-01-04,NA,230,141
BA000041150,2010-01-05,NA,NA,148
BA000041150,2010-01-06,NA,NA,148
BA000041150,2010-01-07,500,197,NA
BA000041150,2010-01-08,0,213,NA
BA000041150,2010-01-09,NA,205,155
BA000041150,2010-01-10,NA,210,158
BA000041150,2010-01-11,NA,212,158
BA000041150,2010-01-12,NA,213,NA
BA000041150,2010-01-13,NA,234,149
BA000041150,2010-01-14,NA,231,174
BA000041150,2010-01-15,NA,233,177
BA000041150,2010-01-16,NA,NA,NA
BA000041150,2010-01-17,NA,253,163
BA000041150,2010-01-18,NA,238,154
BA000041150,2010-01-19,NA,225,176
BA000041150,2010-01-20,NA,247,179
BA000041150,2010-01-21,0,254,NA
BA000041150,2010-01-22,NA,228,197
BA000041150,2010-01-23,NA,221,174
BA000041150,2010-01-24,NA,223,NA
BA000041150,2010-01-25,NA,NA,188
BA000041150,2010-01-26,NA,220,NA
BA000041150,2010-01-27,NA,193,NA
BA000041150,2010-01-28,NA,175,NA
BA000041150,2010-01-29,NA,202,128
BA000041150,2010-01-30,NA,242,145
BA000041150,2010-01-31,NA,NA,165
BA000041150,2010-02-01,NA,275,188
BA000041150,2010-02-02,10,263,NA
BA000041150,2010-02-03,NA,232,200
BA000041150,2010-02-04,NA,272,NA
BA000041150,2010-02-05,NA,201,NA
BA000041150,2010-02-06,NA,193,NA
BA000041150,2010-02-07,NA,171,NA
BA000041150,2010-02-08,NA,182,NA
BA000041150,2010-02-09,NA,180,125
BA000041150,2010-02-10,NA,223,149
BA000041150,2010-02-11,NA,216,165
BA000041150,2010-02-12,NA,221,NA
BA000041150,2010-02-13,NA,221,158
BA000041150,2010-02-14,NA,245,159
BA000041150,2010-02-15,NA,257,NA
BA000041150,2010-02-16,NA,241,NA
BA000041150,2010-02-17,NA,267,149
BA000041150,2010-02-18,NA,NA,188
BA000041150,2010-02-19,NA,338,188
BA000041150,2010-02-20,NA,279,NA
BA000041150,2010-02-21,NA,242,190
BA000041150,2010-02-22,NA,NA,174
BA000041150,2010-02-23,NA,262,174
BA000041150,2010-02-24,NA,233,199
BA000041150,2010-02-25,NA,NA,197
BA000041150,2010-02-26,NA,321,197
BA000041150,2010-02-27,NA,244,NA
BA000041150,2010-02-28,NA,260,NA
BA000041150,2010-03-01,NA,243,189
BA000041150,2010-03-02,NA,244,NA
BA000041150,2010-03-03,NA,223,NA
BA000041150,2010-03-04,NA,301,174
BA000041150,2010-03-05,NA,234,NA
BA000041150,2010-03-06,NA,236,168
BA000041150,2010-03-07,NA,302,178
BA000041150,2010-03-08,NA,NA,180
BA000041150,2010-03-09,NA,270,199
BA000041150,2010-03-10,NA,NA,194
BA000041150,2010-03-11,NA,304,NA
BA000041150,2010-03-12,NA,304,182
BA000041150,2010-03-13,NA,340,215
BA000041150,2010-03-14,NA,354,200
BA000041150,2010-03-15,NA,325,NA
BA000041150,2010-03-16,NA,NA,207
BA000041150,2010-03-17,NA,358,235
BA000041150,2010-03-18,NA,NA,NA
BA000041150,2010-03-19,NA,320,NA
BA000041150,2010-03-20,NA,251,210
BA000041150,2010-03-21,NA,242,203
BA000041150,2010-03-22,NA,240,NA
BA000041150,2010-03-23,NA,NA,NA
BA000041150,2010-03-24,NA,252,205
BA000041150,2010-03-25,NA,285,206
BA000041150,2010-03-26,NA,298,206
BA000041150,2010-03-27,0,275,NA
BA000041150,2010-03-28,NA,293,NA
BA000041150,2010-03-29,NA,283,223
BA000041150,2010-03-30,NA,280,216
BA000041150,2010-03-31,NA,284,NA
BA000041150,2010-04-01,NA,255,NA
BA000041150,2010-04-02,NA,261,NA
BA000041150,2010-04-03,NA,NA,NA
BA000041150,2010-04-04,NA,301,220
BA000041150,2010-04-05,NA,305,224
BA000041150,2010-04-06,NA,313,226
BA000041150,2010-04-07,NA,NA,227
BA000041150,2010-04-08,NA,312,NA
BA000041150,2010-04-09,NA,NA,241
BA000041150,2010-04-10,NA,NA,NA
BA000041150,2010-04-11,NA,302,241
BA000041150,2010-04-12,NA,321,240
BA000041150,2010-04-13,NA,326,NA
BA000041150,2010-04-14,NA,319,248
BA000041150,2010-04-15,15,326,NA
BA000041150,2010-04-16,NA,NA,226
BA000041150,2010-04-17,NA,345,237
BA000041150,2010-04-18,NA,284,NA
BA000041150,2010-04-19,NA,299,239
BA000041150,2010-04-20,NA,335,249
BA000041150,2010-04-21,NA,344,251
BA000041150,2010-04-22,NA,338,275
BA000041150,2010-04-23,NA,NA,NA
BA000041150,2010-04-24,0,281,NA
BA000041150,2010-04-25,NA,294,249
BA000041150,2010-04-26,NA,305,238
BA000041150,2010-04-27,NA,297,250
BA000041150,2010-04-28,NA,354,236
BA000041150,2010-04-29,0,365,269
BA000041150,2010-04-30,NA,305,NA
BA000041150,2010-05-01,NA,331,268
BA000041150,2010-05-02,0,342,NA
BA000041150,2010-05-03,23,NA,NA
BA000041150,2010-05-04,NA,295,NA
BA000041150,2010-05-05,NA,304,NA
BA000041150,2010-05-06,NA,NA,256
