id,date,tmax,tmin
BC005847300,2016-05-01,NA,NA
BC005847300,2016-05-02,NA,NA
BC005847300,2016-05-03,NA,NA
BC005847300,2016-05-04,NA,NA
BC005847300,2016-05-05,NA,NA
BC005847300,2016-05-06,NA,NA
BC005847300,2016-05-07,NA,NA
BC005847300,2016-05-08,NA,NA
BC005847300,2016-05-09,225,120
BC005847300,2016-05-10,NA,NA
BC005847300,2016-05-11,NA,NA
BC005847300,2016-05-12,NA,NA
BC005847300,2016-05-13,NA,NA
BC005847300,2016-05-14,NA,NA
BC005847300,2016-05-15,NA,NA
BC005847300,2016-05-16,NA,NA
BC005847300,2016-05-17,NA,NA
BC005847300,2016-05-18,NA,NA
BC005847300,2016-05-19,NA,NA
BC005847300,2016-05-20,NA,NA
BC005847300,2016-05-21,NA,NA
BC005847300,2016-05-22,NA,NA
BC005847300,2016-05-23,NA,NA
BC005847300,2016-05-24,NA,NA
BC005847300,2016-05-25,NA,NA
BC005847300,2016-05-26,NA,NA
BC005847300,2016-05-27,NA,NA
BC005847300,2016-05-28,NA,NA
BC005847300,2016-05-29,NA,NA
BC005847300,2016-05-30,NA,NA
BC005847300,2016-05-31,NA,NA
