id,date,prcp,tmax,tmin
BE000006447,2010-01-01,0,5,NA
BE000006447,2010-01-02,0,7,-53
BE000006447,2010-01-03,33,NA,NA
BE000006447,2010-01-04,0,NA,-82
BE000006447,2010-01-05,0,16,-38
BE000006447,2010-01-06,0,-20,-66
BE000006447,2010-01-07,10,-9,NA
BE000006447,2010-01-08,0,-29,-81
BE000006447,2010-01-09,30,NA,-40
BE000006447,2010-01-10,0,-9,NA
BE000006447,2010-01-11,0,1,-34
BE000006447,2010-01-12,3,2,NA
BE000006447,2010-01-13,20,NA,-31
BE000006447,2010-01-14,0,58,NA
BE000006447,2010-01-15,0,24,-10
BE000006447,2010-01-16,51,NA,7
BE000006447,2010-01-17,51,81,19
BE000006447,2010-01-18,0,60,NA
BE000006447,2010-01-19,8,58,NA
BE000006447,2010-01-20,0,35,-11
BE000006447,2010-01-21,5,39,25
BE000006447,2010-01-22,0,66,0
BE000006447,2010-01-23,10,49,NA
BE000006447,2010-01-24,25,28,12
BE000006447,2010-01-25,0,NA,NA
BE000006447,2010-01-26,0,NA,NA
BE000006447,2010-01-27,0,NA,-80
BE000006447,2010-01-28,61,NA,1
BE000006447,2010-01-29,99,30,NA
BE000006447,2010-01-30,30,17,NA
BE000006447,2010-01-31,0,36,NA
BE000006447,2010-02-01,NA,24,NA
BE000006447,2010-02-02,51,NA,-2
BE000006447,2010-02-03,30,NA,25
BE000006447,2010-02-04,8,95,32
BE000006447,2010-02-05,20,NA,NA
BE000006447,2010-02-06,0,99,26
BE000006447,2010-02-07,5,NA,NA
BE000006447,2010-02-08,3,26,NA
BE000006447,2010-02-09,0,NA,NA
BE000006447,2010-02-10,20,NA,NA
BE000006447,2010-02-11,5,-15,-45
BE000006447,2010-02-12,0,-10,NA
BE000006447,2010-02-13,3,NA,-42
BE000006447,2010-02-14,20,0,NA
BE000006447,2010-02-15,0,-11,-38
BE000006447,2010-02-16,0,38,-27
BE000006447,2010-02-17,3,37,-27
BE000006447,2010-02-18,3,71,15
BE000006447,2010-02-19,0,NA,NA
BE000006447,2010-02-20,0,43,2
BE000006447,2010-02-21,0,60,5
BE000006447,2010-02-22,NA,111,35
BE000006447,2010-02-23,61,NA,NA
BE000006447,2010-02-24,38,100,36
BE000006447,2010-02-25,81,105,NA
BE000006447,2010-02-26,81,NA,NA
BE000006447,2010-02-27,NA,120,45
BE000006447,2010-02-28,160,113,NA
BE000006447,2010-03-01,30,75,NA
BE000006447,2010-03-02,0,96,-14
BE000006447,2010-03-03,0,63,-21
BE000006447,2010-03-04,0,62,NA
BE000006447,2010-03-05,0,51,-20
BE000006447,2010-03-06,61,45,NA
BE000006447,2010-03-07,0,37,-43
BE000006447,2010-03-08,0,15,-44
BE000006447,2010-03-09,0,44,-39
BE000006447,2010-03-10,0,77,-27
BE000006447,2010-03-11,0,NA,-20
BE000006447,2010-03-12,0,68,1
BE000006447,2010-03-13,5,66,35
BE000006447,2010-03-14,3,81,37
BE000006447,2010-03-15,0,115,38
BE000006447,2010-03-16,NA,106,NA
BE000006447,2010-03-17,0,139,41
BE000006447,2010-03-18,0,186,50
BE000006447,2010-03-19,0,162,125
BE000006447,2010-03-20,33,174,122
BE000006447,2010-03-21,81,NA,NA
BE000006447,2010-03-22,0,132,48
BE000006447,2010-03-23,0,151,79
BE000006447,2010-03-24,0,186,87
BE000006447,2010-03-25,5,198,NA
BE000006447,2010-03-26,79,138,NA
BE000006447,2010-03-27,0,130,60
BE000006447,2010-03-28,10,127,75
BE000006447,2010-03-29,109,158,88
BE000006447,2010-03-30,99,128,NA
BE000006447,2010-03-31,30,91,NA
BE000006447,2010-04-01,5,103,22
BE000006447,2010-04-02,10,118,35
BE000006447,2010-04-03,41,118,54
BE000006447,2010-04-04,20,105,61
BE000006447,2010-04-05,0,116,29
BE000006447,2010-04-06,0,184,55
BE000006447,2010-04-07,NA,174,95
BE000006447,2010-04-08,61,125,73
BE000006447,2010-04-09,0,164,18
BE000006447,2010-04-10,0,132,56
BE000006447,2010-04-11,0,107,27
BE000006447,2010-04-12,0,141,33
BE000006447,2010-04-13,0,167,57
BE000006447,2010-04-14,0,151,48
BE000006447,2010-04-15,0,164,54
BE000006447,2010-04-16,0,116,45
BE000006447,2010-04-17,0,166,19
BE000006447,2010-04-18,0,192,33
BE000006447,2010-04-19,0,149,56
BE000006447,2010-04-20,0,134,51
BE000006447,2010-04-21,0,122,41
BE000006447,2010-04-22,0,131,1
BE000006447,2010-04-23,0,164,23
BE000006447,2010-04-24,0,217,46
BE000006447,2010-04-25,0,232,76
BE000006447,2010-04-26,0,163,84
BE000006447,2010-04-27,0,206,60
BE000006447,2010-04-28,0,238,84
BE000006447,2010-04-29,0,256,127
BE000006447,2010-04-30,5,158,NA
BE000006447,2010-05-01,0,171,78
BE000006447,2010-05-02,178,145,95
