id,date,prcp,tmax,tmin
BF000078073,2010-01-01,NA,NA,NA
BF000078073,2010-01-02,0,292,186
BF000078073,2010-01-03,NA,NA,NA
BF000078073,2010-01-04,56,220,152
BF000078073,2010-01-05,13,NA,NA
BF000078073,2010-01-06,0,NA,NA
BF000078073,2010-01-07,0,NA,NA
BF000078073,2010-01-08,NA,NA,NA
BF000078073,2010-01-09,NA,251,94
BF000078073,2010-01-10,46,239,140
BF000078073,2010-01-11,0,NA,NA
BF000078073,2010-01-12,NA,NA,NA
BF000078073,2010-01-13,NA,NA,NA
BF000078073,2010-01-14,NA,NA,NA
BF000078073,2010-01-15,0,NA,NA
BF000078073,2010-01-16,NA,NA,NA
BF000078073,2010-01-17,0,NA,NA
BF000078073,2010-01-18,0,NA,NA
BF000078073,2010-01-19,0,NA,NA
BF000078073,2010-01-20,0,NA,NA
BF000078073,2010-01-21,NA,NA,NA
BF000078073,2010-01-22,0,300,210
BF000078073,2010-01-23,15,NA,NA
BF000078073,2010-01-24,NA,272,217
BF000078073,2010-01-25,13,NA,NA
BF000078073,2010-01-26,0,289,214
BF000078073,2010-01-27,0,241,181
BF000078073,2010-01-28,0,NA,NA
BF000078073,2010-01-29,NA,NA,NA
BF000078073,2010-01-30,NA,270,178
BF000078073,2010-01-31,0,NA,NA
BF000078073,2010-02-01,5,291,210
BF000078073,2010-02-02,0,NA,NA
BF000078073,2010-02-03,NA,283,212
BF000078073,2010-02-04,NA,265,204
BF000078073,2010-02-05,0,NA,NA
BF000078073,2010-02-06,15,NA,NA
BF000078073,2010-02-07,NA,248,185
BF000078073,2010-02-08,0,NA,NA
BF000078073,2010-02-09,NA,NA,NA
BF000078073,2010-02-10,15,NA,NA
BF000078073,2010-02-11,0,247,169
BF000078073,2010-02-12,NA,NA,NA
BF000078073,2010-02-13,36,252,120
BF000078073,2010-02-14,0,NA,NA
BF000078073,2010-02-15,0,NA,NA
BF000078073,2010-02-16,20,NA,NA
BF000078073,2010-02-17,NA,228,159
BF000078073,2010-02-18,0,NA,NA
BF000078073,2010-02-19,NA,NA,NA
BF000078073,2010-02-20,3,NA,NA
BF000078073,2010-02-21,NA,NA,NA
BF000078073,2010-02-22,53,247,122
BF000078073,2010-02-23,140,NA,NA
BF000078073,2010-02-24,66,267,184
BF000078073,2010-02-25,307,239,180
BF000078073,2010-02-26,38,NA,NA
BF000078073,2010-02-27,0,NA,NA
BF000078073,2010-02-28,135,247,134
BF000078073,2010-03-01,0,NA,NA
BF000078073,2010-03-02,0,NA,NA
