id,date,prcp,tmax,tmin
BKM00014557,2010-01-01,84,170,NA
BKM00014557,2010-01-02,193,147,NA
BKM00014557,2010-01-03,43,84,NA
BKM00014557,2010-01-04,5,NA,NA
BKM00014557,2010-01-05,0,NA,NA
BKM00014557,2010-01-06,84,40,2
BKM00014557,2010-01-07,99,NA,NA
BKM00014557,2010-01-08,58,NA,2
BKM00014557,2010-01-09,36,NA,30
BKM00014557,2010-01-10,46,145,12
BKM00014557,2010-01-11,0,88,20
BKM00014557,2010-01-12,0,54,NA
BKM00014557,2010-01-13,0,NA,9
BKM00014557,2010-01-14,0,58,NA
BKM00014557,2010-01-15,NA,NA,NA
BKM00014557,2010-01-16,0,33,NA
BKM00014557,2010-01-17,0,22,-20
BKM00014557,2010-01-18,18,NA,-4
BKM00014557,2010-01-19,23,7,NA
BKM00014557,2010-01-20,0,NA,-10
BKM00014557,2010-01-21,3,NA,NA
BKM00014557,2010-01-22,10,21,-34
BKM00014557,2010-01-23,10,-14,-56
BKM00014557,2010-01-24,5,NA,-50
BKM00014557,2010-01-25,0,3,-95
BKM00014557,2010-01-26,0,-6,-78
BKM00014557,2010-01-27,43,-22,NA
BKM00014557,2010-01-28,94,-54,NA
BKM00014557,2010-01-29,0,NA,NA
BKM00014557,2010-01-30,0,NA,-61
BKM00014557,2010-01-31,NA,101,-15
BKM00014557,2010-02-01,18,19,-43
BKM00014557,2010-02-02,3,NA,-120
BKM00014557,2010-02-03,0,NA,-112
BKM00014557,2010-02-04,0,NA,-34
BKM00014557,2010-02-05,0,113,8
BKM00014557,2010-02-06,41,102,NA
BKM00014557,2010-02-07,53,58,-26
BKM00014557,2010-02-08,48,1,NA
BKM00014557,2010-02-09,3,NA,-54
BKM00014557,2010-02-10,0,NA,NA
BKM00014557,2010-02-11,15,9,-20
BKM00014557,2010-02-12,23,7,-30
BKM00014557,2010-02-13,193,10,-30
BKM00014557,2010-02-14,58,NA,-94
BKM00014557,2010-02-15,0,36,-27
BKM00014557,2010-02-16,0,40,-76
BKM00014557,2010-02-17,13,NA,8
BKM00014557,2010-02-18,0,NA,NA
BKM00014557,2010-02-19,0,NA,2
BKM00014557,2010-02-20,0,152,NA
BKM00014557,2010-02-21,79,143,0
BKM00014557,2010-02-22,0,NA,-33
BKM00014557,2010-02-23,0,NA,4
BKM00014557,2010-02-24,30,167,NA
BKM00014557,2010-02-25,76,NA,67
BKM00014557,2010-02-26,0,134,7
BKM00014557,2010-02-27,38,134,42
BKM00014557,2010-02-28,30,NA,-17
BKM00014557,2010-03-01,0,170,64
BKM00014557,2010-03-02,0,176,54
BKM00014557,2010-03-03,0,110,-14
BKM00014557,2010-03-04,8,65,NA
BKM00014557,2010-03-05,229,45,NA
BKM00014557,2010-03-06,13,13,-98
BKM00014557,2010-03-07,0,NA,-86
BKM00014557,2010-03-08,0,36,-41
BKM00014557,2010-03-09,3,-2,-32
BKM00014557,2010-03-10,76,2,-39
BKM00014557,2010-03-11,89,NA,-25
BKM00014557,2010-03-12,28,65,-16
BKM00014557,2010-03-13,0,NA,-48
BKM00014557,2010-03-14,0,85,-10
BKM00014557,2010-03-15,0,100,-27
BKM00014557,2010-03-16,0,NA,-27
BKM00014557,2010-03-17,5,137,20
BKM00014557,2010-03-18,0,NA,-8
BKM00014557,2010-03-19,0,NA,-3
BKM00014557,2010-03-20,0,NA,10
BKM00014557,2010-03-21,0,NA,58
BKM00014557,2010-03-22,0,216,96
BKM00014557,2010-03-23,15,180,100
BKM00014557,2010-03-24,10,127,98
BKM00014557,2010-03-25,0,NA,50
BKM00014557,2010-03-26,3,NA,49
BKM00014557,2010-03-27,0,250,86
BKM00014557,2010-03-28,71,199,44
BKM00014557,2010-03-29,0,NA,20
BKM00014557,2010-03-30,0,212,43
BKM00014557,2010-03-31,0,214,101
BKM00014557,2010-04-01,74,198,60
BKM00014557,2010-04-02,0,187,36
BKM00014557,2010-04-03,61,NA,40
BKM00014557,2010-04-04,0,NA,26
BKM00014557,2010-04-05,0,210,NA
BKM00014557,2010-04-06,216,160,43
BKM00014557,2010-04-07,79,NA,49
BKM00014557,2010-04-08,0,NA,9
BKM00014557,2010-04-09,0,190,35
BKM00014557,2010-04-10,3,194,55
BKM00014557,2010-04-11,10,NA,18
BKM00014557,2010-04-12,147,NA,38
BKM00014557,2010-04-13,89,NA,64
BKM00014557,2010-04-14,41,152,80
BKM00014557,2010-04-15,43,NA,48
BKM00014557,2010-04-16,0,170,27
BKM00014557,2010-04-17,0,174,54
BKM00014557,2010-04-18,0,NA,53
BKM00014557,2010-04-19,109,220,110
BKM00014557,2010-04-20,66,NA,84
BKM00014557,2010-04-21,0,NA,65
BKM00014557,2010-04-22,0,214,54
BKM00014557,2010-04-23,0,NA,28
BKM00014557,2010-04-24,0,224,90
BKM00014557,2010-04-25,64,NA,113
BKM00014557,2010-04-26,10,NA,88
BKM00014557,2010-04-27,0,219,NA
BKM00014557,2010-04-28,0,208,91
BKM00014557,2010-04-29,0,NA,52
BKM00014557,2010-04-30,0,NA,98
BKM00014557,2010-05-01,0,275,80
BKM00014557,2010-05-02,0,276,100
BKM00014557,2010-05-03,3,270,114
BKM00014557,2010-05-04,8,270,86
BKM00014557,2010-05-05,0,247,130
BKM00014557,2010-05-06,10,NA,152
BKM00014557,2010-05-07,0,247,105
BKM00014557,2010-05-08,0,222,92
BKM00014557,2010-05-09,10,NA,102
BKM00014557,2010-05-10,0,NA,66
BKM00014557,2010-05-11,0,250,94
BKM00014557,2010-05-12,5,NA,116
BKM00014557,2010-05-13,0,255,107
BKM00014557,2010-05-14,28,246,81
BKM00014557,2010-05-15,76,230,88
BKM00014557,2010-05-16,269,164,76
BKM00014557,2010-05-17,290,125,65
BKM00014557,2010-05-18,493,NA,NA
BKM00014557,2010-05-19,130,NA,50
BKM00014557,2010-05-20,0,134,82
BKM00014557,2010-05-21,66,NA,90
BKM00014557,2010-05-22,74,NA,122
BKM00014557,2010-05-23,64,213,110
BKM00014557,2010-05-24,0,NA,86
BKM00014557,2010-05-25,0,NA,93
BKM00014557,2010-05-26,0,NA,102
BKM00014557,2010-05-27,0,289,107
BKM00014557,2010-05-28,3,292,120
BKM00014557,2010-05-29,97,260,147
BKM00014557,2010-05-30,0,NA,116
BKM00014557,2010-05-31,119,253,NA
BKM00014557,2010-06-01,711,159,NA
BKM00014557,2010-06-02,338,NA,95
BKM00014557,2010-06-03,28,NA,78
BKM00014557,2010-06-04,0,NA,65
BKM00014557,2010-06-05,46,NA,129
BKM00014557,2010-06-06,18,NA,125
BKM00014557,2010-06-07,0,NA,125
BKM00014557,2010-06-08,0,NA,132
BKM00014557,2010-06-09,0,NA,141
BKM00014557,2010-06-10,0,NA,128
BKM00014557,2010-06-11,0,NA,150
BKM00014557,2010-06-12,0,NA,179
BKM00014557,2010-06-13,0,354,169
BKM00014557,2010-06-14,28,NA,182
BKM00014557,2010-06-15,0,321,182
BKM00014557,2010-06-16,5,NA,196
BKM00014557,2010-06-17,5,321,161
BKM00014557,2010-06-18,0,NA,165
BKM00014557,2010-06-19,3,302,134
BKM00014557,2010-06-20,396,241,156
BKM00014557,2010-06-21,104,233,NA
BKM00014557,2010-06-22,437,202,NA
BKM00014557,2010-06-23,259,NA,120
BKM00014557,2010-06-24,15,NA,104
BKM00014557,2010-06-25,0,NA,94
BKM00014557,2010-06-26,15,214,92
BKM00014557,2010-06-27,76,190,140
BKM00014557,2010-06-28,15,NA,164
BKM00014557,2010-06-29,61,NA,165
BKM00014557,2010-06-30,0,NA,150
BKM00014557,2010-07-01,218,NA,160
BKM00014557,2010-07-02,0,NA,NA
BKM00014557,2010-07-03,0,304,155
BKM00014557,2010-07-04,0,300,170
BKM00014557,2010-07-05,0,NA,126
BKM00014557,2010-07-06,58,285,145
BKM00014557,2010-07-07,61,270,143
BKM00014557,2010-07-08,0,NA,97
BKM00014557,2010-07-09,0,NA,117
BKM00014557,2010-07-10,0,NA,115
BKM00014557,2010-07-11,0,NA,143
BKM00014557,2010-07-12,0,NA,163
BKM00014557,2010-07-13,0,324,166
BKM00014557,2010-07-14,0,NA,190
BKM00014557,2010-07-15,0,NA,190
BKM00014557,2010-07-16,0,341,181
BKM00014557,2010-07-17,0,NA,187
BKM00014557,2010-07-18,0,333,203
BKM00014557,2010-07-19,94,255,167
BKM00014557,2010-07-20,0,NA,160
BKM00014557,2010-07-21,0,NA,173
BKM00014557,2010-07-22,0,NA,180
BKM00014557,2010-07-23,0,NA,NA
BKM00014557,2010-07-24,0,342,181
BKM00014557,2010-07-25,168,289,NA
BKM00014557,2010-07-26,0,NA,NA
BKM00014557,2010-07-27,0,NA,134
BKM00014557,2010-07-28,0,NA,141
BKM00014557,2010-07-29,0,NA,122
BKM00014557,2010-07-30,0,294,135
BKM00014557,2010-07-31,325,284,162
BKM00014557,2010-08-01,28,NA,170
BKM00014557,2010-08-02,0,NA,145
BKM00014557,2010-08-03,0,NA,169
BKM00014557,2010-08-04,145,325,168
BKM00014557,2010-08-05,10,NA,174
BKM00014557,2010-08-06,0,281,176
BKM00014557,2010-08-07,152,251,143
BKM00014557,2010-08-08,226,NA,156
BKM00014557,2010-08-09,0,NA,130
BKM00014557,2010-08-10,0,NA,133
BKM00014557,2010-08-11,0,NA,130
BKM00014557,2010-08-12,0,NA,140
BKM00014557,2010-08-13,0,NA,174
BKM00014557,2010-08-14,0,322,178
BKM00014557,2010-08-15,0,320,203
BKM00014557,2010-08-16,10,NA,160
BKM00014557,2010-08-17,0,333,130
BKM00014557,2010-08-18,0,287,144
BKM00014557,2010-08-19,0,NA,150
BKM00014557,2010-08-20,0,288,148
BKM00014557,2010-08-21,0,293,145
BKM00014557,2010-08-22,0,282,114
BKM00014557,2010-08-23,0,NA,126
BKM00014557,2010-08-24,0,NA,145
BKM00014557,2010-08-25,0,342,173
BKM00014557,2010-08-26,0,NA,134
BKM00014557,2010-08-27,0,NA,NA
BKM00014557,2010-08-28,0,377,158
BKM00014557,2010-08-29,28,292,134
BKM00014557,2010-08-30,0,NA,85
BKM00014557,2010-08-31,254,235,96
BKM00014557,2010-09-01,66,187,105
BKM00014557,2010-09-02,0,NA,45
BKM00014557,2010-09-03,0,NA,64
BKM00014557,2010-09-04,0,NA,77
BKM00014557,2010-09-05,0,245,100
BKM00014557,2010-09-06,3,195,68
BKM00014557,2010-09-07,15,NA,108
BKM00014557,2010-09-08,0,NA,117
BKM00014557,2010-09-09,13,291,159
BKM00014557,2010-09-10,203,287,NA
BKM00014557,2010-09-11,300,191,141
BKM00014557,2010-09-12,8,NA,128
BKM00014557,2010-09-13,0,217,103
BKM00014557,2010-09-14,147,226,145
BKM00014557,2010-09-15,30,NA,132
BKM00014557,2010-09-16,0,NA,110
BKM00014557,2010-09-17,0,272,120
BKM00014557,2010-09-18,0,252,142
BKM00014557,2010-09-19,3,175,NA
BKM00014557,2010-09-20,137,NA,105
BKM00014557,2010-09-21,0,NA,45
BKM00014557,2010-09-22,0,220,54
BKM00014557,2010-09-23,0,NA,63
BKM00014557,2010-09-24,0,NA,80
BKM00014557,2010-09-25,NA,260,123
BKM00014557,2010-09-26,231,NA,NA
BKM00014557,2010-09-27,13,214,72
BKM00014557,2010-09-28,3,NA,107
BKM00014557,2010-09-29,43,229,100
BKM00014557,2010-09-30,43,NA,74
BKM00014557,2010-10-01,5,NA,72
BKM00014557,2010-10-02,0,NA,48
BKM00014557,2010-10-03,0,NA,80
BKM00014557,2010-10-04,0,206,82
BKM00014557,2010-10-05,15,NA,106
BKM00014557,2010-10-06,25,225,NA
BKM00014557,2010-10-07,28,176,NA
BKM00014557,2010-10-08,0,140,29
BKM00014557,2010-10-09,0,140,-5
BKM00014557,2010-10-10,0,140,3
