id,date,prcp,tmax,tmin
BL000085223,2010-01-01,NA,289,NA
BL000085223,2010-01-02,NA,289,NA
BL000085223,2010-01-03,NA,266,NA
BL000085223,2010-01-04,NA,268,NA
BL000085223,2010-01-05,NA,311,NA
BL000085223,2010-01-06,NA,317,NA
BL000085223,2010-01-07,NA,317,NA
BL000085223,2010-01-08,NA,264,NA
BL000085223,2010-01-09,NA,261,NA
BL000085223,2010-01-10,NA,296,NA
BL000085223,2010-01-11,NA,296,NA
BL000085223,2010-01-12,NA,333,NA
BL000085223,2010-01-13,NA,333,NA
BL000085223,2010-01-14,NA,267,NA
BL000085223,2010-01-15,NA,276,NA
BL000085223,2010-01-16,NA,289,NA
BL000085223,2010-01-17,NA,306,NA
BL000085223,2010-01-18,NA,311,NA
BL000085223,2010-01-19,NA,311,NA
BL000085223,2010-01-20,NA,304,NA
BL000085223,2010-01-21,NA,242,NA
BL000085223,2010-01-22,NA,281,NA
BL000085223,2010-01-23,NA,281,NA
BL000085223,2010-01-24,NA,261,NA
BL000085223,2010-01-25,NA,228,NA
BL000085223,2010-01-26,NA,233,NA
BL000085223,2010-01-27,NA,233,NA
BL000085223,2010-01-28,NA,212,NA
BL000085223,2010-01-29,NA,233,NA
BL000085223,2010-01-30,NA,250,NA
BL000085223,2010-01-31,NA,250,NA
BL000085223,2010-02-01,NA,248,NA
BL000085223,2010-02-02,NA,278,NA
BL000085223,2010-02-03,NA,297,NA
BL000085223,2010-02-04,NA,301,NA
BL000085223,2010-02-05,NA,301,NA
BL000085223,2010-02-06,NA,281,NA
BL000085223,2010-02-07,NA,NA,NA
BL000085223,2010-02-08,NA,297,NA
BL000085223,2010-02-09,NA,297,NA
BL000085223,2010-02-10,NA,322,NA
BL000085223,2010-02-11,NA,322,NA
BL000085223,2010-02-12,NA,251,NA
BL000085223,2010-02-13,NA,272,NA
BL000085223,2010-02-14,NA,283,NA
BL000085223,2010-02-15,NA,310,NA
BL000085223,2010-02-16,NA,310,NA
BL000085223,2010-02-17,NA,294,NA
BL000085223,2010-02-18,NA,273,NA
BL000085223,2010-02-19,NA,292,NA
BL000085223,2010-02-20,NA,300,NA
BL000085223,2010-02-21,NA,300,NA
BL000085223,2010-02-22,NA,NA,NA
BL000085223,2010-02-23,NA,304,NA
BL000085223,2010-02-24,NA,304,NA
BL000085223,2010-02-25,NA,240,NA
BL000085223,2010-02-26,NA,NA,NA
BL000085223,2010-02-27,NA,275,NA
BL000085223,2010-02-28,NA,261,NA
BL000085223,2010-03-01,NA,235,NA
BL000085223,2010-03-02,NA,268,NA
BL000085223,2010-03-03,NA,NA,NA
BL000085223,2010-03-04,NA,280,NA
BL000085223,2010-03-05,NA,267,NA
BL000085223,2010-03-06,NA,272,NA
BL000085223,2010-03-07,NA,278,NA
BL000085223,2010-03-08,NA,291,NA
BL000085223,2010-03-09,NA,300,NA
BL000085223,2010-03-10,NA,300,NA
BL000085223,2010-03-11,NA,296,NA
BL000085223,2010-03-12,NA,296,NA
BL000085223,2010-03-13,NA,294,NA
BL000085223,2010-03-14,NA,317,NA
BL000085223,2010-03-15,NA,317,NA
BL000085223,2010-03-16,NA,269,NA
BL000085223,2010-03-17,NA,294,NA
BL000085223,2010-03-18,NA,311,NA
BL000085223,2010-03-19,NA,322,NA
BL000085223,2010-03-20,NA,322,NA
BL000085223,2010-03-21,NA,308,NA
BL000085223,2010-03-22,NA,328,NA
BL000085223,2010-03-23,NA,328,NA
BL000085223,2010-03-24,NA,303,NA
BL000085223,2010-03-25,NA,272,NA
BL000085223,2010-03-26,NA,280,NA
BL000085223,2010-03-27,NA,284,NA
BL000085223,2010-03-28,NA,284,NA
BL000085223,2010-03-29,NA,280,NA
BL000085223,2010-03-30,NA,244,NA
BL000085223,2010-03-31,NA,NA,NA
BL000085223,2010-04-01,NA,281,NA
BL000085223,2010-04-02,NA,281,NA
BL000085223,2010-04-03,NA,275,NA
BL000085223,2010-04-04,NA,275,NA
BL000085223,2010-04-05,NA,270,NA
BL000085223,2010-04-06,NA,273,NA
BL000085223,2010-04-07,NA,283,NA
BL000085223,2010-04-08,NA,285,NA
BL000085223,2010-04-09,NA,289,NA
BL000085223,2010-04-10,NA,290,NA
BL000085223,2010-04-11,NA,295,NA
BL000085223,2010-04-12,NA,295,NA
BL000085223,2010-04-13,NA,289,NA
BL000085223,2010-04-14,NA,289,NA
BL000085223,2010-04-15,NA,280,NA
BL000085223,2010-04-16,NA,283,NA
BL000085223,2010-04-17,NA,295,NA
BL000085223,2010-04-18,NA,314,NA
BL000085223,2010-04-19,NA,314,NA
BL000085223,2010-04-20,NA,310,NA
BL000085223,2010-04-21,NA,310,NA
BL000085223,2010-04-22,NA,309,NA
BL000085223,2010-04-23,NA,309,NA
BL000085223,2010-04-24,NA,312,NA
BL000085223,2010-04-25,NA,312,NA
BL000085223,2010-04-26,NA,306,NA
BL000085223,2010-04-27,NA,317,NA
BL000085223,2010-04-28,NA,317,NA
BL000085223,2010-04-29,NA,306,NA
BL000085223,2010-04-30,NA,272,NA
BL000085223,2010-05-01,NA,279,NA
BL000085223,2010-05-02,NA,286,NA
BL000085223,2010-05-03,NA,289,NA
BL000085223,2010-05-04,NA,289,NA
BL000085223,2010-05-05,NA,286,NA
BL000085223,2010-05-06,NA,296,NA
BL000085223,2010-05-07,NA,296,NA
BL000085223,2010-05-08,NA,294,NA
BL000085223,2010-05-09,NA,294,NA
BL000085223,2010-05-10,NA,256,NA
BL000085223,2010-05-11,NA,256,NA
BL000085223,2010-05-12,NA,278,NA
BL000085223,2010-05-13,NA,283,NA
BL000085223,2010-05-14,NA,294,NA
BL000085223,2010-05-15,NA,294,NA
BL000085223,2010-05-16,NA,264,NA
BL000085223,2010-05-17,NA,272,NA
BL000085223,2010-05-18,NA,283,NA
BL000085223,2010-05-19,NA,287,NA
BL000085223,2010-05-20,NA,300,NA
BL000085223,2010-05-21,NA,300,NA
BL000085223,2010-05-22,NA,290,NA
BL000085223,2010-05-23,NA,293,NA
BL000085223,2010-05-24,NA,277,NA
BL000085223,2010-05-25,NA,267,NA
BL000085223,2010-05-26,NA,267,NA
BL000085223,2010-05-27,NA,224,NA
