id,date,prcp,tmax,tmin
BMM00048062,2010-01-01,NA,NA,NA
BMM00048062,2010-01-02,NA,NA,NA
BMM00048062,2010-01-03,NA,NA,125
BMM00048062,2010-01-04,NA,NA,NA
BMM00048062,2010-01-05,NA,NA,NA
BMM00048062,2010-01-06,NA,NA,135
BMM00048062,2010-01-07,NA,310,120
BMM00048062,2010-01-08,NA,NA,NA
BMM00048062,2010-01-09,NA,NA,164
BMM00048062,2010-01-10,NA,298,NA
BMM00048062,2010-01-11,NA,300,140
BMM00048062,2010-01-12,NA,NA,NA
BMM00048062,2010-01-13,NA,NA,NA
BMM00048062,2010-01-14,NA,NA,NA
BMM00048062,2010-01-15,NA,NA,143
BMM00048062,2010-01-16,NA,280,142
BMM00048062,2010-01-17,NA,278,130
BMM00048062,2010-01-18,NA,NA,142
BMM00048062,2010-01-19,NA,264,135
BMM00048062,2010-01-20,NA,268,130
BMM00048062,2010-01-21,NA,290,147
BMM00048062,2010-01-22,NA,312,126
BMM00048062,2010-01-23,NA,NA,NA
BMM00048062,2010-01-24,NA,NA,NA
BMM00048062,2010-01-25,NA,312,145
BMM00048062,2010-01-26,NA,NA,138
BMM00048062,2010-01-27,NA,NA,NA
BMM00048062,2010-01-28,NA,293,115
BMM00048062,2010-01-29,NA,NA,NA
BMM00048062,2010-01-30,NA,NA,NA
BMM00048062,2010-01-31,NA,NA,NA
BMM00048062,2010-02-01,NA,NA,NA
BMM00048062,2010-02-02,NA,NA,NA
BMM00048062,2010-02-03,NA,298,110
BMM00048062,2010-02-04,NA,313,NA
BMM00048062,2010-02-05,NA,NA,NA
BMM00048062,2010-02-06,NA,NA,NA
BMM00048062,2010-02-07,NA,NA,116
BMM00048062,2010-02-08,NA,NA,105
BMM00048062,2010-02-09,NA,NA,NA
BMM00048062,2010-02-10,NA,NA,NA
BMM00048062,2010-02-11,NA,NA,153
BMM00048062,2010-02-12,NA,NA,145
BMM00048062,2010-02-13,NA,NA,NA
BMM00048062,2010-02-14,NA,NA,145
BMM00048062,2010-02-15,NA,NA,NA
BMM00048062,2010-02-16,NA,NA,150
BMM00048062,2010-02-17,NA,328,176
BMM00048062,2010-02-18,NA,NA,174
BMM00048062,2010-02-19,NA,NA,177
BMM00048062,2010-02-20,NA,NA,132
BMM00048062,2010-02-21,NA,NA,NA
BMM00048062,2010-02-22,NA,NA,NA
BMM00048062,2010-02-23,NA,306,123
BMM00048062,2010-02-24,NA,303,145
BMM00048062,2010-02-25,NA,303,150
BMM00048062,2010-02-26,NA,318,183
BMM00048062,2010-02-27,NA,NA,NA
BMM00048062,2010-02-28,NA,NA,NA
BMM00048062,2010-03-01,NA,NA,NA
BMM00048062,2010-03-02,NA,312,144
BMM00048062,2010-03-03,NA,301,182
BMM00048062,2010-03-04,NA,NA,175
BMM00048062,2010-03-05,NA,NA,NA
BMM00048062,2010-03-06,NA,NA,NA
BMM00048062,2010-03-07,NA,NA,NA
BMM00048062,2010-03-08,NA,328,205
BMM00048062,2010-03-09,NA,330,190
BMM00048062,2010-03-10,NA,NA,173
BMM00048062,2010-03-11,NA,340,175
BMM00048062,2010-03-12,NA,340,176
BMM00048062,2010-03-13,NA,325,180
BMM00048062,2010-03-14,NA,305,NA
BMM00048062,2010-03-15,NA,NA,NA
BMM00048062,2010-03-16,NA,350,180
BMM00048062,2010-03-17,NA,343,187
BMM00048062,2010-03-18,NA,347,180
BMM00048062,2010-03-19,NA,336,170
BMM00048062,2010-03-20,NA,315,NA
BMM00048062,2010-03-21,NA,320,NA
BMM00048062,2010-03-22,NA,320,NA
BMM00048062,2010-03-23,NA,316,215
BMM00048062,2010-03-24,NA,318,214
BMM00048062,2010-03-25,NA,323,193
BMM00048062,2010-03-26,NA,320,NA
BMM00048062,2010-03-27,NA,NA,NA
BMM00048062,2010-03-28,NA,NA,NA
BMM00048062,2010-03-29,NA,NA,NA
