id,date,prcp,tmax,tmin
BOM00026941,2010-01-01,NA,-40,-105
BOM00026941,2010-01-02,NA,-50,NA
BOM00026941,2010-01-03,NA,NA,NA
BOM00026941,2010-01-04,NA,-135,NA
BOM00026941,2010-01-05,NA,-80,-148
BOM00026941,2010-01-06,NA,NA,-119
BOM00026941,2010-01-07,NA,-32,-58
BOM00026941,2010-01-08,NA,-47,-71
BOM00026941,2010-01-09,NA,-45,-58
BOM00026941,2010-01-10,30,-33,NA
BOM00026941,2010-01-11,20,-30,-55
BOM00026941,2010-01-12,NA,NA,NA
BOM00026941,2010-01-13,NA,-100,-152
BOM00026941,2010-01-14,NA,-103,-147
BOM00026941,2010-01-15,NA,-126,-196
BOM00026941,2010-01-16,NA,-56,-169
BOM00026941,2010-01-17,0,-79,NA
BOM00026941,2010-01-18,NA,NA,NA
BOM00026941,2010-01-19,10,-108,-131
BOM00026941,2010-01-20,NA,-106,NA
BOM00026941,2010-01-21,NA,-126,-157
BOM00026941,2010-01-22,NA,-140,NA
BOM00026941,2010-01-23,NA,-170,-231
BOM00026941,2010-01-24,NA,-192,-250
BOM00026941,2010-01-25,NA,-157,-267
BOM00026941,2010-01-26,8,-135,-198
BOM00026941,2010-01-27,NA,NA,-257
BOM00026941,2010-01-28,51,NA,-166
BOM00026941,2010-01-29,38,-27,-86
BOM00026941,2010-01-30,NA,-10,-85
BOM00026941,2010-01-31,25,NA,NA
BOM00026941,2010-02-01,71,-35,NA
BOM00026941,2010-02-02,NA,-24,-71
BOM00026941,2010-02-03,NA,-25,-100
BOM00026941,2010-02-04,NA,-60,NA
BOM00026941,2010-02-05,NA,-60,-122
BOM00026941,2010-02-06,5,-80,NA
BOM00026941,2010-02-07,NA,-105,-127
BOM00026941,2010-02-08,NA,-100,-162
BOM00026941,2010-02-09,NA,-87,-178
BOM00026941,2010-02-10,NA,-61,-102
BOM00026941,2010-02-11,NA,-14,-94
BOM00026941,2010-02-12,30,NA,-68
BOM00026941,2010-02-13,5,-50,-70
BOM00026941,2010-02-14,91,-55,NA
BOM00026941,2010-02-15,NA,-50,-75
BOM00026941,2010-02-16,NA,-60,NA
BOM00026941,2010-02-17,NA,-48,-110
BOM00026941,2010-02-18,NA,NA,-62
BOM00026941,2010-02-19,NA,16,-6
BOM00026941,2010-02-20,61,15,6
BOM00026941,2010-02-21,36,NA,NA
BOM00026941,2010-02-22,NA,21,-50
BOM00026941,2010-02-23,NA,65,-36
BOM00026941,2010-02-24,58,NA,NA
BOM00026941,2010-02-25,NA,24,5
BOM00026941,2010-02-26,NA,25,10
BOM00026941,2010-02-27,NA,27,NA
BOM00026941,2010-02-28,NA,23,0
BOM00026941,2010-03-01,66,43,4
BOM00026941,2010-03-02,10,20,NA
BOM00026941,2010-03-03,NA,22,-20
BOM00026941,2010-03-04,0,1,NA
BOM00026941,2010-03-05,NA,1,-77
BOM00026941,2010-03-06,NA,-30,NA
BOM00026941,2010-03-07,NA,-50,-89
BOM00026941,2010-03-08,NA,-35,-83
BOM00026941,2010-03-09,NA,-16,-118
BOM00026941,2010-03-10,NA,35,-56
BOM00026941,2010-03-11,NA,33,-66
BOM00026941,2010-03-12,NA,16,-35
BOM00026941,2010-03-13,36,-4,NA
BOM00026941,2010-03-14,15,16,-62
BOM00026941,2010-03-15,NA,7,-105
BOM00026941,2010-03-16,NA,-15,-72
BOM00026941,2010-03-17,15,10,-51
BOM00026941,2010-03-18,NA,28,-16
BOM00026941,2010-03-19,NA,120,14
BOM00026941,2010-03-20,NA,121,48
BOM00026941,2010-03-21,NA,135,67
BOM00026941,2010-03-22,NA,NA,NA
BOM00026941,2010-03-23,NA,81,-23
BOM00026941,2010-03-24,NA,58,NA
BOM00026941,2010-03-25,NA,114,10
BOM00026941,2010-03-26,NA,130,40
BOM00026941,2010-03-27,NA,156,71
BOM00026941,2010-03-28,NA,130,29
BOM00026941,2010-03-29,NA,140,14
BOM00026941,2010-03-30,5,160,56
BOM00026941,2010-03-31,NA,165,91
BOM00026941,2010-04-01,NA,135,60
BOM00026941,2010-04-02,30,80,NA
BOM00026941,2010-04-03,NA,60,37
BOM00026941,2010-04-04,NA,124,15
BOM00026941,2010-04-05,NA,154,49
BOM00026941,2010-04-06,NA,143,60
BOM00026941,2010-04-07,81,145,64
BOM00026941,2010-04-08,NA,115,28
BOM00026941,2010-04-09,NA,136,NA
BOM00026941,2010-04-10,10,88,NA
BOM00026941,2010-04-11,NA,137,40
BOM00026941,2010-04-12,NA,160,25
BOM00026941,2010-04-13,NA,171,20
BOM00026941,2010-04-14,NA,177,22
BOM00026941,2010-04-15,NA,184,32
BOM00026941,2010-04-16,NA,145,53
BOM00026941,2010-04-17,NA,105,31
BOM00026941,2010-04-18,NA,179,56
BOM00026941,2010-04-19,NA,182,66
BOM00026941,2010-04-20,NA,143,35
BOM00026941,2010-04-21,NA,138,5
BOM00026941,2010-04-22,48,67,6
BOM00026941,2010-04-23,NA,110,0
BOM00026941,2010-04-24,NA,117,NA
BOM00026941,2010-04-25,NA,124,-8
BOM00026941,2010-04-26,NA,148,0
BOM00026941,2010-04-27,NA,112,50
BOM00026941,2010-04-28,NA,145,76
BOM00026941,2010-04-29,NA,158,54
BOM00026941,2010-04-30,NA,225,92
BOM00026941,2010-05-01,NA,197,121
BOM00026941,2010-05-02,20,174,112
BOM00026941,2010-05-03,5,189,114
BOM00026941,2010-05-04,56,151,NA
BOM00026941,2010-05-05,71,95,74
BOM00026941,2010-05-06,30,146,61
BOM00026941,2010-05-07,NA,240,116
BOM00026941,2010-05-08,13,218,140
BOM00026941,2010-05-09,119,NA,NA
BOM00026941,2010-05-10,NA,180,94
BOM00026941,2010-05-11,NA,215,96
BOM00026941,2010-05-12,NA,212,104
BOM00026941,2010-05-13,NA,235,139
BOM00026941,2010-05-14,231,219,137
BOM00026941,2010-05-15,NA,191,NA
BOM00026941,2010-05-16,NA,222,121
BOM00026941,2010-05-17,30,227,NA
BOM00026941,2010-05-18,NA,174,116
BOM00026941,2010-05-19,NA,204,112
BOM00026941,2010-05-20,NA,204,123
BOM00026941,2010-05-21,NA,241,113
BOM00026941,2010-05-22,NA,234,104
BOM00026941,2010-05-23,384,218,121
BOM00026941,2010-05-24,46,184,120
BOM00026941,2010-05-25,130,154,NA
BOM00026941,2010-05-26,41,142,50
BOM00026941,2010-05-27,NA,176,50
BOM00026941,2010-05-28,18,199,111
BOM00026941,2010-05-29,NA,194,87
BOM00026941,2010-05-30,NA,206,87
BOM00026941,2010-05-31,NA,187,141
BOM00026941,2010-06-01,NA,234,158
BOM00026941,2010-06-02,NA,290,171
BOM00026941,2010-06-03,NA,294,165
BOM00026941,2010-06-04,140,NA,NA
BOM00026941,2010-06-05,NA,184,71
BOM00026941,2010-06-06,NA,224,96
BOM00026941,2010-06-07,NA,257,112
BOM00026941,2010-06-08,NA,234,NA
BOM00026941,2010-06-09,NA,253,117
BOM00026941,2010-06-10,NA,296,174
BOM00026941,2010-06-11,NA,317,184
BOM00026941,2010-06-12,NA,289,208
BOM00026941,2010-06-13,NA,211,NA
BOM00026941,2010-06-14,NA,220,107
BOM00026941,2010-06-15,NA,190,116
BOM00026941,2010-06-16,NA,175,NA
BOM00026941,2010-06-17,NA,NA,65
BOM00026941,2010-06-18,NA,216,91
BOM00026941,2010-06-19,76,204,NA
BOM00026941,2010-06-20,33,256,134
BOM00026941,2010-06-21,170,232,NA
BOM00026941,2010-06-22,NA,144,NA
BOM00026941,2010-06-23,NA,136,106
BOM00026941,2010-06-24,NA,176,111
BOM00026941,2010-06-25,NA,231,151
BOM00026941,2010-06-26,NA,235,166
BOM00026941,2010-06-27,NA,229,133
BOM00026941,2010-06-28,NA,234,127
BOM00026941,2010-06-29,NA,254,121
BOM00026941,2010-06-30,NA,265,125
BOM00026941,2010-07-01,NA,284,131
BOM00026941,2010-07-02,NA,230,132
BOM00026941,2010-07-03,NA,235,116
BOM00026941,2010-07-04,NA,227,148
BOM00026941,2010-07-05,NA,270,151
BOM00026941,2010-07-06,NA,259,NA
BOM00026941,2010-07-07,13,208,171
BOM00026941,2010-07-08,NA,242,156
BOM00026941,2010-07-09,NA,248,160
BOM00026941,2010-07-10,NA,280,154
BOM00026941,2010-07-11,NA,293,181
BOM00026941,2010-07-12,NA,300,178
BOM00026941,2010-07-13,NA,307,195
BOM00026941,2010-07-14,NA,289,188
BOM00026941,2010-07-15,NA,305,191
BOM00026941,2010-07-16,NA,308,177
BOM00026941,2010-07-17,NA,321,196
BOM00026941,2010-07-18,NA,334,198
BOM00026941,2010-07-19,NA,249,NA
BOM00026941,2010-07-20,NA,277,161
BOM00026941,2010-07-21,NA,281,197
BOM00026941,2010-07-22,NA,329,186
BOM00026941,2010-07-23,NA,327,202
BOM00026941,2010-07-24,NA,340,208
BOM00026941,2010-07-25,NA,306,200
BOM00026941,2010-07-26,145,296,184
BOM00026941,2010-07-27,NA,265,NA
BOM00026941,2010-07-28,NA,258,174
BOM00026941,2010-07-29,56,199,14
BOM00026941,2010-07-30,NA,265,128
BOM00026941,2010-07-31,NA,280,182
BOM00026941,2010-08-01,NA,285,172
BOM00026941,2010-08-02,NA,291,156
BOM00026941,2010-08-03,NA,315,177
BOM00026941,2010-08-04,NA,275,198
BOM00026941,2010-08-05,NA,247,168
BOM00026941,2010-08-06,NA,320,177
BOM00026941,2010-08-07,NA,330,NA
BOM00026941,2010-08-08,NA,280,186
BOM00026941,2010-08-09,119,203,NA
BOM00026941,2010-08-10,NA,249,157
BOM00026941,2010-08-11,NA,274,154
BOM00026941,2010-08-12,NA,286,161
BOM00026941,2010-08-13,NA,330,201
BOM00026941,2010-08-14,NA,337,196
BOM00026941,2010-08-15,NA,342,201
BOM00026941,2010-08-16,NA,323,216
BOM00026941,2010-08-17,NA,265,NA
BOM00026941,2010-08-18,NA,215,NA
BOM00026941,2010-08-19,25,225,138
BOM00026941,2010-08-20,NA,214,141
BOM00026941,2010-08-21,NA,224,124
BOM00026941,2010-08-22,NA,277,150
BOM00026941,2010-08-23,NA,243,175
BOM00026941,2010-08-24,NA,265,NA
BOM00026941,2010-08-25,33,214,NA
BOM00026941,2010-08-26,NA,186,117
BOM00026941,2010-08-27,NA,175,136
BOM00026941,2010-08-28,89,NA,NA
BOM00026941,2010-08-29,13,169,NA
BOM00026941,2010-08-30,NA,182,69
BOM00026941,2010-08-31,NA,161,101
