id,date,prcp,tmax,tmin
BR002548005,2018-05-01,NA,NA,NA
BR002548005,2018-05-02,NA,NA,NA
BR002548005,2018-05-03,NA,NA,NA
BR002548005,2018-05-04,NA,NA,NA
BR002548005,2018-05-05,NA,NA,NA
BR002548005,2018-05-06,NA,NA,NA
BR002548005,2018-05-07,NA,NA,NA
BR002548005,2018-05-08,NA,NA,NA
BR002548005,2018-05-09,NA,NA,NA
BR002548005,2018-05-10,NA,NA,NA
BR002548005,2018-05-11,NA,NA,NA
BR002548005,2018-05-12,NA,NA,NA
BR002548005,2018-05-13,NA,NA,NA
BR002548005,2018-05-14,NA,NA,NA
BR002548005,2018-05-15,NA,NA,NA
BR002548005,2018-05-16,NA,NA,NA
BR002548005,2018-05-17,NA,NA,NA
BR002548005,2018-05-18,NA,NA,NA
BR002548005,2018-05-19,NA,NA,NA
BR002548005,2018-05-20,NA,NA,NA
BR002548005,2018-05-21,NA,NA,NA
BR002548005,2018-05-22,NA,NA,NA
BR002548005,2018-05-23,NA,NA,NA
BR002548005,2018-05-24,NA,NA,NA
BR002548005,2018-05-25,0,NA,NA
BR002548005,2018-05-26,NA,NA,NA
BR002548005,2018-05-27,NA,NA,168
BR002548005,2018-05-28,NA,NA,169
BR002548005,2018-05-29,NA,NA,NA
BR002548005,2018-05-30,NA,NA,177
BR002548005,2018-05-31,NA,NA,168
BR002548005,2018-06-01,NA,NA,NA
BR002548005,2018-06-02,NA,NA,NA
BR002548005,2018-06-03,119,NA,NA
BR002548005,2018-06-04,0,NA,NA
BR002548005,2018-06-05,NA,NA,NA
BR002548005,2018-06-06,10,NA,NA
BR002548005,2018-06-07,NA,NA,NA
BR002548005,2018-06-08,61,NA,NA
BR002548005,2018-06-09,NA,NA,NA
BR002548005,2018-06-10,NA,NA,120
BR002548005,2018-06-11,NA,NA,145
BR002548005,2018-06-12,NA,NA,NA
BR002548005,2018-06-13,20,NA,NA
BR002548005,2018-06-14,NA,NA,NA
BR002548005,2018-06-15,71,NA,NA
BR002548005,2018-06-16,NA,NA,NA
BR002548005,2018-06-17,30,NA,121
BR002548005,2018-06-18,0,NA,NA
BR002548005,2018-06-19,NA,NA,NA
BR002548005,2018-06-20,NA,NA,NA
BR002548005,2018-06-21,NA,NA,NA
BR002548005,2018-06-22,NA,NA,NA
BR002548005,2018-06-23,NA,NA,NA
BR002548005,2018-06-24,NA,NA,160
BR002548005,2018-06-25,NA,NA,167
BR002548005,2018-06-26,NA,NA,NA
BR002548005,2018-06-27,20,206,95
BR002548005,2018-06-28,NA,NA,NA
BR002548005,2018-06-29,NA,NA,NA
BR002548005,2018-06-30,NA,NA,NA
BR002548005,2018-07-01,NA,NA,NA
BR002548005,2018-07-02,NA,NA,NA
BR002548005,2018-07-03,NA,NA,NA
BR002548005,2018-07-04,20,211,81
BR002548005,2018-07-05,NA,NA,NA
BR002548005,2018-07-06,NA,NA,86
BR002548005,2018-07-07,NA,NA,NA
BR002548005,2018-07-08,NA,NA,NA
BR002548005,2018-07-09,5,NA,NA
BR002548005,2018-07-10,NA,NA,NA
BR002548005,2018-07-11,NA,NA,NA
BR002548005,2018-07-12,NA,NA,NA
BR002548005,2018-07-13,NA,NA,NA
BR002548005,2018-07-14,NA,NA,NA
BR002548005,2018-07-15,NA,NA,NA
BR002548005,2018-07-16,NA,NA,147
BR002548005,2018-07-17,NA,NA,NA
BR002548005,2018-07-18,NA,NA,NA
BR002548005,2018-07-19,NA,NA,NA
BR002548005,2018-07-20,NA,NA,NA
BR002548005,2018-07-21,NA,NA,NA
BR002548005,2018-07-22,8,NA,NA
BR002548005,2018-07-23,0,NA,NA
