id,date,tmin
BR002957005,2014-02-01,NA
BR002957005,2014-02-02,NA
BR002957005,2014-02-03,NA
BR002957005,2014-02-04,240
BR002957005,2014-02-05,NA
BR002957005,2014-02-06,NA
BR002957005,2014-02-07,NA
BR002957005,2014-02-08,NA
BR002957005,2014-02-09,NA
BR002957005,2014-02-10,NA
BR002957005,2014-02-11,NA
BR002957005,2014-02-12,NA
BR002957005,2014-02-13,NA
BR002957005,2014-02-14,NA
BR002957005,2014-02-15,NA
BR002957005,2014-02-16,NA
BR002957005,2014-02-17,NA
BR002957005,2014-02-18,NA
BR002957005,2014-02-19,NA
BR002957005,2014-02-20,NA
BR002957005,2014-02-21,NA
BR002957005,2014-02-22,NA
BR002957005,2014-02-23,NA
BR002957005,2014-02-24,NA
BR002957005,2014-02-25,NA
BR002957005,2014-02-26,NA
BR002957005,2014-02-27,NA
BR002957005,2014-02-28,NA
