id,date,prcp,tmax,tmin
BR00E3-0520,2010-01-01,41,276,NA
BR00E3-0520,2010-01-02,340,NA,196
BR00E3-0520,2010-01-03,290,NA,210
BR00E3-0520,2010-01-04,0,NA,218
BR00E3-0520,2010-01-05,211,NA,NA
BR00E3-0520,2010-01-06,201,306,208
BR00E3-0520,2010-01-07,10,291,NA
BR00E3-0520,2010-01-08,0,275,216
BR00E3-0520,2010-01-09,259,NA,NA
BR00E3-0520,2010-01-10,310,NA,219
BR00E3-0520,2010-01-11,0,324,NA
BR00E3-0520,2010-01-12,439,313,188
BR00E3-0520,2010-01-13,0,NA,226
BR00E3-0520,2010-01-14,51,305,NA
BR00E3-0520,2010-01-15,119,250,NA
BR00E3-0520,2010-01-16,0,NA,NA
BR00E3-0520,2010-01-17,239,NA,NA
BR00E3-0520,2010-01-18,521,NA,NA
BR00E3-0520,2010-01-19,340,NA,205
BR00E3-0520,2010-01-20,211,NA,NA
BR00E3-0520,2010-01-21,831,312,NA
BR00E3-0520,2010-01-22,79,272,204
BR00E3-0520,2010-01-23,8,NA,NA
BR00E3-0520,2010-01-24,239,NA,188
BR00E3-0520,2010-01-25,201,262,198
BR00E3-0520,2010-01-26,119,NA,NA
BR00E3-0520,2010-01-27,391,NA,188
BR00E3-0520,2010-01-28,20,284,NA
BR00E3-0520,2010-01-29,239,277,NA
BR00E3-0520,2010-01-30,41,NA,NA
BR00E3-0520,2010-01-31,0,NA,NA
BR00E3-0520,2010-02-01,NA,NA,NA
BR00E3-0520,2010-02-02,30,NA,208
BR00E3-0520,2010-02-03,0,NA,210
BR00E3-0520,2010-02-04,20,329,NA
BR00E3-0520,2010-02-05,599,NA,NA
BR00E3-0520,2010-02-06,20,326,NA
BR00E3-0520,2010-02-07,381,326,NA
BR00E3-0520,2010-02-08,20,315,226
BR00E3-0520,2010-02-09,0,310,237
BR00E3-0520,2010-02-10,5,304,206
BR00E3-0520,2010-02-11,99,NA,NA
BR00E3-0520,2010-02-12,201,NA,199
BR00E3-0520,2010-02-13,20,NA,218
BR00E3-0520,2010-02-14,0,NA,229
BR00E3-0520,2010-02-15,NA,NA,230
BR00E3-0520,2010-02-16,20,329,238
BR00E3-0520,2010-02-17,0,317,NA
BR00E3-0520,2010-02-18,691,NA,198
BR00E3-0520,2010-02-19,150,NA,NA
BR00E3-0520,2010-02-20,0,NA,209
BR00E3-0520,2010-02-21,NA,NA,NA
BR00E3-0520,2010-02-22,NA,NA,NA
BR00E3-0520,2010-02-23,439,NA,214
BR00E3-0520,2010-02-24,0,329,NA
BR00E3-0520,2010-02-25,NA,314,NA
BR00E3-0520,2010-02-26,NA,NA,175
BR00E3-0520,2010-02-27,NA,NA,177
BR00E3-0520,2010-02-28,5,245,190
BR00E3-0520,2010-03-01,231,NA,NA
BR00E3-0520,2010-03-02,71,NA,NA
BR00E3-0520,2010-03-03,5,NA,NA
BR00E3-0520,2010-03-04,0,NA,185
BR00E3-0520,2010-03-05,NA,NA,190
BR00E3-0520,2010-03-06,191,236,NA
BR00E3-0520,2010-03-07,99,NA,NA
BR00E3-0520,2010-03-08,0,NA,NA
BR00E3-0520,2010-03-09,NA,NA,NA
BR00E3-0520,2010-03-10,NA,NA,NA
BR00E3-0520,2010-03-11,NA,NA,219
BR00E3-0520,2010-03-12,NA,NA,230
BR00E3-0520,2010-03-13,NA,322,227
BR00E3-0520,2010-03-14,NA,318,NA
BR00E3-0520,2010-03-15,NA,307,NA
BR00E3-0520,2010-03-16,NA,269,199
BR00E3-0520,2010-03-17,NA,262,187
BR00E3-0520,2010-03-18,NA,NA,164
BR00E3-0520,2010-03-19,NA,NA,206
BR00E3-0520,2010-03-20,NA,NA,NA
BR00E3-0520,2010-03-21,89,308,NA
BR00E3-0520,2010-03-22,20,NA,NA
BR00E3-0520,2010-03-23,8,302,NA
BR00E3-0520,2010-03-24,0,NA,216
BR00E3-0520,2010-03-25,NA,304,NA
BR00E3-0520,2010-03-26,20,295,NA
BR00E3-0520,2010-03-27,89,NA,NA
BR00E3-0520,2010-03-28,20,288,206
BR00E3-0520,2010-03-29,30,282,NA
BR00E3-0520,2010-03-30,531,283,NA
BR00E3-0520,2010-03-31,0,265,189
BR00E3-0520,2010-04-01,0,252,NA
BR00E3-0520,2010-04-02,NA,NA,NA
BR00E3-0520,2010-04-03,51,262,NA
BR00E3-0520,2010-04-04,249,NA,200
BR00E3-0520,2010-04-05,109,NA,NA
BR00E3-0520,2010-04-06,71,205,NA
BR00E3-0520,2010-04-07,211,NA,NA
BR00E3-0520,2010-04-08,130,NA,138
BR00E3-0520,2010-04-09,79,202,139
BR00E3-0520,2010-04-10,41,NA,140
BR00E3-0520,2010-04-11,0,NA,NA
BR00E3-0520,2010-04-12,NA,NA,149
BR00E3-0520,2010-04-13,NA,NA,158
BR00E3-0520,2010-04-14,NA,NA,167
BR00E3-0520,2010-04-15,NA,NA,177
BR00E3-0520,2010-04-16,NA,NA,187
BR00E3-0520,2010-04-17,NA,NA,196
BR00E3-0520,2010-04-18,NA,NA,NA
BR00E3-0520,2010-04-19,NA,NA,NA
BR00E3-0520,2010-04-20,NA,NA,NA
BR00E3-0520,2010-04-21,NA,305,NA
BR00E3-0520,2010-04-22,NA,NA,NA
