id,date,tmax
BR038062750,2013-07-01,NA
BR038062750,2013-07-02,NA
BR038062750,2013-07-03,NA
BR038062750,2013-07-04,NA
BR038062750,2013-07-05,NA
BR038062750,2013-07-06,NA
BR038062750,2013-07-07,NA
BR038062750,2013-07-08,NA
BR038062750,2013-07-09,NA
BR038062750,2013-07-10,NA
BR038062750,2013-07-11,310
BR038062750,2013-07-12,NA
BR038062750,2013-07-13,NA
BR038062750,2013-07-14,NA
BR038062750,2013-07-15,NA
BR038062750,2013-07-16,NA
BR038062750,2013-07-17,NA
BR038062750,2013-07-18,NA
BR038062750,2013-07-19,NA
BR038062750,2013-07-20,NA
BR038062750,2013-07-21,NA
BR038062750,2013-07-22,NA
BR038062750,2013-07-23,NA
BR038062750,2013-07-24,NA
BR038062750,2013-07-25,NA
BR038062750,2013-07-26,NA
BR038062750,2013-07-27,NA
BR038062750,2013-07-28,NA
BR038062750,2013-07-29,NA
BR038062750,2013-07-30,NA
BR038062750,2013-07-31,NA
