id,date,prcp,tmax,tmin
BRM00082562,2013-05-01,259,NA,228
BRM00082562,2013-05-02,8,NA,234
BRM00082562,2013-05-03,0,NA,224
BRM00082562,2013-05-04,NA,NA,232
BRM00082562,2013-05-05,NA,NA,244
BRM00082562,2013-05-06,NA,NA,244
BRM00082562,2013-05-07,NA,NA,244
BRM00082562,2013-05-08,201,NA,235
BRM00082562,2013-05-09,41,NA,226
BRM00082562,2013-05-10,150,NA,217
BRM00082562,2013-05-11,0,NA,216
BRM00082562,2013-05-12,NA,NA,NA
BRM00082562,2013-05-13,NA,NA,NA
BRM00082562,2013-05-14,NA,NA,237
BRM00082562,2013-05-15,NA,NA,NA
BRM00082562,2013-05-16,NA,NA,236
BRM00082562,2013-05-17,NA,NA,NA
BRM00082562,2013-05-18,NA,NA,NA
BRM00082562,2013-05-19,NA,NA,NA
BRM00082562,2013-05-20,NA,NA,225
BRM00082562,2013-05-21,71,NA,235
BRM00082562,2013-05-22,0,NA,240
BRM00082562,2013-05-23,NA,NA,237
BRM00082562,2013-05-24,NA,NA,240
BRM00082562,2013-05-25,79,NA,217
BRM00082562,2013-05-26,0,NA,227
BRM00082562,2013-05-27,NA,NA,220
BRM00082562,2013-05-28,NA,NA,224
BRM00082562,2013-05-29,NA,NA,NA
BRM00082562,2013-05-30,NA,NA,NA
BRM00082562,2013-05-31,NA,NA,NA
BRM00082562,2013-06-01,NA,NA,NA
BRM00082562,2013-06-02,NA,NA,NA
BRM00082562,2013-06-03,NA,NA,NA
BRM00082562,2013-06-04,NA,NA,230
BRM00082562,2013-06-05,NA,NA,NA
BRM00082562,2013-06-06,NA,NA,NA
BRM00082562,2013-06-07,170,NA,224
BRM00082562,2013-06-08,0,NA,NA
BRM00082562,2013-06-09,20,NA,224
BRM00082562,2013-06-10,0,NA,220
BRM00082562,2013-06-11,NA,NA,NA
BRM00082562,2013-06-12,NA,NA,240
BRM00082562,2013-06-13,NA,NA,NA
BRM00082562,2013-06-14,NA,NA,NA
BRM00082562,2013-06-15,71,NA,238
BRM00082562,2013-06-16,0,NA,NA
BRM00082562,2013-06-17,NA,NA,228
BRM00082562,2013-06-18,NA,NA,NA
BRM00082562,2013-06-19,NA,NA,219
BRM00082562,2013-06-20,NA,NA,227
BRM00082562,2013-06-21,NA,NA,NA
BRM00082562,2013-06-22,NA,NA,NA
BRM00082562,2013-06-23,NA,NA,NA
BRM00082562,2013-06-24,NA,NA,NA
BRM00082562,2013-06-25,NA,NA,228
BRM00082562,2013-06-26,NA,NA,NA
BRM00082562,2013-06-27,NA,NA,NA
BRM00082562,2013-06-28,NA,NA,NA
BRM00082562,2013-06-29,NA,NA,NA
BRM00082562,2013-06-30,NA,NA,NA
BRM00082562,2013-07-01,231,NA,226
BRM00082562,2013-07-02,0,NA,235
BRM00082562,2013-07-03,NA,NA,226
BRM00082562,2013-07-04,NA,NA,NA
