id,date,prcp,tmin
BRM00083344,2013-05-01,NA,148
BRM00083344,2013-05-02,NA,154
BRM00083344,2013-05-03,10,160
BRM00083344,2013-05-04,0,148
BRM00083344,2013-05-05,NA,150
BRM00083344,2013-05-06,NA,137
BRM00083344,2013-05-07,NA,159
BRM00083344,2013-05-08,NA,152
BRM00083344,2013-05-09,NA,154
BRM00083344,2013-05-10,NA,159
BRM00083344,2013-05-11,NA,134
BRM00083344,2013-05-12,NA,146
BRM00083344,2013-05-13,0,163
BRM00083344,2013-05-14,20,161
BRM00083344,2013-05-15,30,163
BRM00083344,2013-05-16,0,151
BRM00083344,2013-05-17,NA,158
BRM00083344,2013-05-18,3,148
BRM00083344,2013-05-19,0,146
BRM00083344,2013-05-20,5,142
BRM00083344,2013-05-21,0,122
BRM00083344,2013-05-22,NA,144
BRM00083344,2013-05-23,NA,142
BRM00083344,2013-05-24,NA,160
BRM00083344,2013-05-25,3,171
BRM00083344,2013-05-26,20,156
BRM00083344,2013-05-27,5,148
BRM00083344,2013-05-28,0,140
BRM00083344,2013-05-29,NA,158
BRM00083344,2013-05-30,NA,167
BRM00083344,2013-05-31,NA,160
BRM00083344,2013-06-01,0,165
BRM00083344,2013-06-02,10,160
BRM00083344,2013-06-03,0,146
BRM00083344,2013-06-04,NA,160
BRM00083344,2013-06-05,5,154
BRM00083344,2013-06-06,20,154
BRM00083344,2013-06-07,3,152
BRM00083344,2013-06-08,5,152
BRM00083344,2013-06-09,61,156
BRM00083344,2013-06-10,89,146
BRM00083344,2013-06-11,30,138
BRM00083344,2013-06-12,0,144
BRM00083344,2013-06-13,20,140
BRM00083344,2013-06-14,0,156
BRM00083344,2013-06-15,NA,150
BRM00083344,2013-06-16,NA,148
BRM00083344,2013-06-17,NA,136
BRM00083344,2013-06-18,NA,144
BRM00083344,2013-06-19,NA,160
BRM00083344,2013-06-20,30,160
BRM00083344,2013-06-21,0,140
BRM00083344,2013-06-22,NA,148
BRM00083344,2013-06-23,NA,138
BRM00083344,2013-06-24,30,NA
BRM00083344,2013-06-25,30,136
BRM00083344,2013-06-26,5,146
BRM00083344,2013-06-27,10,152
BRM00083344,2013-06-28,0,140
BRM00083344,2013-06-29,NA,128
BRM00083344,2013-06-30,NA,106
BRM00083344,2013-07-01,NA,100
BRM00083344,2013-07-02,NA,152
BRM00083344,2013-07-03,NA,148
