id,date,prcp,tmax,tmin
BUM00015552,2010-01-01,0,192,NA
BUM00015552,2010-01-02,0,145,NA
BUM00015552,2010-01-03,5,40,NA
BUM00015552,2010-01-04,58,5,NA
BUM00015552,2010-01-05,0,NA,NA
BUM00015552,2010-01-06,0,NA,50
BUM00015552,2010-01-07,0,155,NA
BUM00015552,2010-01-08,0,131,NA
BUM00015552,2010-01-09,0,NA,NA
BUM00015552,2010-01-10,0,155,NA
BUM00015552,2010-01-11,43,115,NA
BUM00015552,2010-01-12,0,NA,NA
BUM00015552,2010-01-13,18,58,NA
BUM00015552,2010-01-14,48,46,NA
BUM00015552,2010-01-15,0,NA,-10
BUM00015552,2010-01-16,0,10,-10
BUM00015552,2010-01-17,0,64,-12
BUM00015552,2010-01-18,104,64,NA
BUM00015552,2010-01-19,658,-16,NA
BUM00015552,2010-01-20,36,-25,NA
BUM00015552,2010-01-21,0,-23,NA
BUM00015552,2010-01-22,0,-57,NA
BUM00015552,2010-01-23,5,-66,NA
BUM00015552,2010-01-24,3,-76,NA
BUM00015552,2010-01-25,0,-90,NA
BUM00015552,2010-01-26,0,-18,NA
BUM00015552,2010-01-27,3,22,NA
BUM00015552,2010-01-28,18,10,NA
BUM00015552,2010-01-29,56,2,NA
BUM00015552,2010-01-30,0,44,NA
BUM00015552,2010-01-31,0,67,18
BUM00015552,2010-02-01,71,75,NA
BUM00015552,2010-02-02,0,5,NA
BUM00015552,2010-02-03,0,17,NA
BUM00015552,2010-02-04,0,50,NA
BUM00015552,2010-02-05,0,30,NA
BUM00015552,2010-02-06,0,34,NA
BUM00015552,2010-02-07,81,44,NA
BUM00015552,2010-02-08,241,25,NA
BUM00015552,2010-02-09,48,10,NA
BUM00015552,2010-02-10,0,NA,NA
BUM00015552,2010-02-11,97,95,40
BUM00015552,2010-02-12,0,NA,NA
BUM00015552,2010-02-13,71,140,NA
BUM00015552,2010-02-14,0,NA,NA
BUM00015552,2010-02-15,165,62,NA
BUM00015552,2010-02-16,33,NA,NA
BUM00015552,2010-02-17,15,70,25
BUM00015552,2010-02-18,64,102,NA
BUM00015552,2010-02-19,18,NA,44
BUM00015552,2010-02-20,0,216,72
BUM00015552,2010-02-21,0,150,NA
BUM00015552,2010-02-22,20,NA,NA
BUM00015552,2010-02-23,0,NA,NA
BUM00015552,2010-02-24,0,NA,NA
BUM00015552,2010-02-25,0,NA,45
BUM00015552,2010-02-26,15,NA,NA
BUM00015552,2010-02-27,0,81,35
BUM00015552,2010-02-28,30,NA,50
BUM00015552,2010-03-01,0,NA,50
BUM00015552,2010-03-02,8,NA,NA
BUM00015552,2010-03-03,33,NA,NA
BUM00015552,2010-03-04,0,107,NA
BUM00015552,2010-03-05,0,102,NA
BUM00015552,2010-03-06,25,44,NA
BUM00015552,2010-03-07,3,55,NA
BUM00015552,2010-03-08,0,34,NA
BUM00015552,2010-03-09,198,5,-51
BUM00015552,2010-03-10,0,36,NA
BUM00015552,2010-03-11,15,53,NA
BUM00015552,2010-03-12,0,NA,NA
BUM00015552,2010-03-13,0,90,NA
BUM00015552,2010-03-14,0,105,NA
BUM00015552,2010-03-15,0,115,NA
BUM00015552,2010-03-16,0,NA,NA
BUM00015552,2010-03-17,0,86,NA
BUM00015552,2010-03-18,0,124,NA
BUM00015552,2010-03-19,0,NA,NA
BUM00015552,2010-03-20,0,NA,NA
BUM00015552,2010-03-21,0,232,NA
BUM00015552,2010-03-22,0,NA,NA
BUM00015552,2010-03-23,10,160,NA
BUM00015552,2010-03-24,0,NA,66
BUM00015552,2010-03-25,0,NA,NA
BUM00015552,2010-03-26,0,NA,NA
BUM00015552,2010-03-27,0,110,NA
BUM00015552,2010-03-28,NA,100,NA
BUM00015552,2010-03-29,81,105,62
BUM00015552,2010-03-30,0,NA,NA
BUM00015552,2010-03-31,0,NA,NA
BUM00015552,2010-04-01,0,NA,NA
BUM00015552,2010-04-02,0,NA,NA
BUM00015552,2010-04-03,0,NA,NA
BUM00015552,2010-04-04,28,NA,NA
BUM00015552,2010-04-05,0,130,NA
BUM00015552,2010-04-06,66,NA,NA
BUM00015552,2010-04-07,43,163,NA
BUM00015552,2010-04-08,0,175,NA
BUM00015552,2010-04-09,0,NA,NA
BUM00015552,2010-04-10,0,NA,NA
BUM00015552,2010-04-11,0,142,NA
BUM00015552,2010-04-12,0,152,NA
BUM00015552,2010-04-13,0,140,NA
BUM00015552,2010-04-14,0,118,NA
BUM00015552,2010-04-15,0,125,NA
BUM00015552,2010-04-16,8,186,90
BUM00015552,2010-04-17,140,NA,NA
BUM00015552,2010-04-18,20,146,NA
BUM00015552,2010-04-19,0,131,NA
BUM00015552,2010-04-20,10,176,NA
BUM00015552,2010-04-21,3,197,NA
BUM00015552,2010-04-22,0,232,NA
BUM00015552,2010-04-23,0,NA,NA
BUM00015552,2010-04-24,0,172,NA
BUM00015552,2010-04-25,0,NA,NA
BUM00015552,2010-04-26,0,175,NA
BUM00015552,2010-04-27,0,NA,NA
BUM00015552,2010-04-28,0,160,NA
BUM00015552,2010-04-29,0,190,NA
BUM00015552,2010-04-30,0,193,NA
BUM00015552,2010-05-01,0,192,NA
BUM00015552,2010-05-02,0,NA,NA
BUM00015552,2010-05-03,0,NA,NA
BUM00015552,2010-05-04,0,200,NA
BUM00015552,2010-05-05,0,195,NA
BUM00015552,2010-05-06,0,204,NA
BUM00015552,2010-05-07,0,196,NA
BUM00015552,2010-05-08,122,224,NA
BUM00015552,2010-05-09,0,176,NA
BUM00015552,2010-05-10,132,NA,NA
BUM00015552,2010-05-11,0,NA,NA
BUM00015552,2010-05-12,0,NA,NA
BUM00015552,2010-05-13,28,210,NA
BUM00015552,2010-05-14,0,NA,NA
BUM00015552,2010-05-15,0,NA,NA
BUM00015552,2010-05-16,0,260,NA
BUM00015552,2010-05-17,20,171,NA
