id,date,prcp,tmax,tmin
CA001106CL2,2010-01-01,300,80,30
CA001106CL2,2010-01-02,155,70,50
CA001106CL2,2010-01-03,20,60,40
CA001106CL2,2010-01-04,100,60,50
CA001106CL2,2010-01-05,0,50,50
CA001106CL2,2010-01-06,0,50,0
CA001106CL2,2010-01-07,40,40,-20
CA001106CL2,2010-01-08,265,80,20
CA001106CL2,2010-01-09,20,95,55
CA001106CL2,2010-01-10,260,100,70
CA001106CL2,2010-01-11,390,105,90
CA001106CL2,2010-01-12,145,90,90
CA001106CL2,2010-01-13,100,90,80
CA001106CL2,2010-01-14,560,70,55
CA001106CL2,2010-01-15,240,80,60
CA001106CL2,2010-01-16,70,60,10
CA001106CL2,2010-01-17,60,100,50
CA001106CL2,2010-01-18,0,80,70
CA001106CL2,2010-01-19,35,100,70
CA001106CL2,2010-01-20,0,100,60
CA001106CL2,2010-01-21,0,105,50
CA001106CL2,2010-01-22,0,75,30
CA001106CL2,2010-01-23,0,60,40
CA001106CL2,2010-01-24,40,60,30
CA001106CL2,2010-01-25,0,70,40
CA001106CL2,2010-01-26,0,70,40
CA001106CL2,2010-01-27,0,70,40
CA001106CL2,2010-01-28,15,90,30
CA001106CL2,2010-01-29,62,105,50
CA001106CL2,2010-01-30,60,70,50
CA001106CL2,2010-01-31,0,70,55
CA001106CL2,2010-02-01,80,70,40
CA001106CL2,2010-02-02,0,60,50
CA001106CL2,2010-02-03,15,70,30
CA001106CL2,2010-02-04,40,100,50
CA001106CL2,2010-02-05,20,100,60
CA001106CL2,2010-02-06,0,95,30
CA001106CL2,2010-02-07,0,70,50
CA001106CL2,2010-02-08,0,90,50
CA001106CL2,2010-02-09,0,70,10
CA001106CL2,2010-02-10,38,50,30
CA001106CL2,2010-02-11,105,80,40
CA001106CL2,2010-02-12,70,80,50
CA001106CL2,2010-02-13,210,80,50
CA001106CL2,2010-02-14,0,100,80
CA001106CL2,2010-02-15,170,80,30
CA001106CL2,2010-02-16,40,90,65
CA001106CL2,2010-02-17,0,80,10
CA001106CL2,2010-02-18,0,90,20
CA001106CL2,2010-02-19,0,100,20
CA001106CL2,2010-02-20,0,100,20
CA001106CL2,2010-02-21,0,100,20
CA001106CL2,2010-02-22,0,80,20
CA001106CL2,2010-02-23,130,60,40
CA001106CL2,2010-02-24,90,60,45
CA001106CL2,2010-02-25,45,80,50
CA001106CL2,2010-02-26,182,80,60
CA001106CL2,2010-02-27,90,80,60
CA001106CL2,2010-02-28,0,110,70
CA001106CL2,2010-03-01,0,100,60
CA001106CL2,2010-03-02,20,110,80
CA001106CL2,2010-03-03,0,100,60
CA001106CL2,2010-03-04,0,90,40
CA001106CL2,2010-03-05,0,100,35
CA001106CL2,2010-03-06,0,120,20
CA001106CL2,2010-03-07,90,60,30
CA001106CL2,2010-03-08,0,50,10
CA001106CL2,2010-03-09,0,60,-10
CA001106CL2,2010-03-10,130,60,20
CA001106CL2,2010-03-11,330,50,0
CA001106CL2,2010-03-12,120,80,30
CA001106CL2,2010-03-13,40,60,30
CA001106CL2,2010-03-14,110,70,30
CA001106CL2,2010-03-15,NA,NA,NA
CA001106CL2,2010-03-16,NA,NA,NA
CA001106CL2,2010-03-17,0,100,40
CA001106CL2,2010-03-18,NA,NA,NA
CA001106CL2,2010-03-19,0,115,20
CA001106CL2,2010-03-20,50,160,30
CA001106CL2,2010-03-21,50,90,70
CA001106CL2,2010-03-22,0,100,40
CA001106CL2,2010-03-23,0,130,50
CA001106CL2,2010-03-24,0,180,40
CA001106CL2,2010-03-25,137,180,70
CA001106CL2,2010-03-26,30,105,60
CA001106CL2,2010-03-27,40,150,50
CA001106CL2,2010-03-28,230,80,70
CA001106CL2,2010-03-29,115,65,40
CA001106CL2,2010-03-30,30,80,45
CA001106CL2,2010-03-31,8,100,40
CA001106CL2,2010-04-01,65,80,25
CA001106CL2,2010-04-02,140,70,40
CA001106CL2,2010-04-03,85,80,50
CA001106CL2,2010-04-04,42,130,30
CA001106CL2,2010-04-05,82,100,40
CA001106CL2,2010-04-06,60,70,45
CA001106CL2,2010-04-07,388,60,40
CA001106CL2,2010-04-08,0,90,30
CA001106CL2,2010-04-09,0,80,20
CA001106CL2,2010-04-10,0,130,10
CA001106CL2,2010-04-11,0,140,48
CA001106CL2,2010-04-12,0,130,50
CA001106CL2,2010-04-13,52,115,60
CA001106CL2,2010-04-14,0,140,70
CA001106CL2,2010-04-15,0,160,70
CA001106CL2,2010-04-16,0,190,60
CA001106CL2,2010-04-17,52,130,90
CA001106CL2,2010-04-18,0,190,100
CA001106CL2,2010-04-19,22,215,90
CA001106CL2,2010-04-20,50,110,100
CA001106CL2,2010-04-21,60,95,60
CA001106CL2,2010-04-22,NA,NA,NA
CA001106CL2,2010-04-23,94,90,45
CA001106CL2,2010-04-24,40,95,50
CA001106CL2,2010-04-25,0,140,50
CA001106CL2,2010-04-26,192,130,60
CA001106CL2,2010-04-27,30,140,90
CA001106CL2,2010-04-28,0,130,60
CA001106CL2,2010-04-29,0,140,50
CA001106CL2,2010-04-30,50,135,60
CA001106CL2,2010-05-01,0,150,60
CA001106CL2,2010-05-02,380,80,70
CA001106CL2,2010-05-03,0,115,70
CA001106CL2,2010-05-04,0,80,30
CA001106CL2,2010-05-05,0,110,15
CA001106CL2,2010-05-06,0,140,50
CA001106CL2,2010-05-07,0,165,40
CA001106CL2,2010-05-08,0,170,50
CA001106CL2,2010-05-09,0,180,55
CA001106CL2,2010-05-10,0,160,60
CA001106CL2,2010-05-11,0,170,60
CA001106CL2,2010-05-12,0,160,70
CA001106CL2,2010-05-13,0,190,60
CA001106CL2,2010-05-14,0,210,85
CA001106CL2,2010-05-15,0,210,90
CA001106CL2,2010-05-16,0,200,100
CA001106CL2,2010-05-17,0,200,100
CA001106CL2,2010-05-18,150,130,120
CA001106CL2,2010-05-19,80,125,100
CA001106CL2,2010-05-20,40,120,60
CA001106CL2,2010-05-21,0,135,60
CA001106CL2,2010-05-22,0,125,60
CA001106CL2,2010-05-23,0,120,80
CA001106CL2,2010-05-24,0,160,80
CA001106CL2,2010-05-25,48,150,100
CA001106CL2,2010-05-26,75,135,100
CA001106CL2,2010-05-27,115,160,100
CA001106CL2,2010-05-28,112,130,100
CA001106CL2,2010-05-29,120,110,95
CA001106CL2,2010-05-30,40,140,80
CA001106CL2,2010-05-31,80,150,100
CA001106CL2,2010-06-01,170,150,90
CA001106CL2,2010-06-02,200,160,110
CA001106CL2,2010-06-03,10,160,70
CA001106CL2,2010-06-04,20,155,95
CA001106CL2,2010-06-05,0,185,100
CA001106CL2,2010-06-06,66,130,105
CA001106CL2,2010-06-07,12,180,125
CA001106CL2,2010-06-08,115,210,95
CA001106CL2,2010-06-09,62,160,105
CA001106CL2,2010-06-10,110,130,100
CA001106CL2,2010-06-11,30,160,100
CA001106CL2,2010-06-12,0,210,110
CA001106CL2,2010-06-13,0,170,110
CA001106CL2,2010-06-14,0,170,80
CA001106CL2,2010-06-15,20,140,80
CA001106CL2,2010-06-16,0,170,100
CA001106CL2,2010-06-17,0,120,110
CA001106CL2,2010-06-18,0,185,110
CA001106CL2,2010-06-19,0,200,115
CA001106CL2,2010-06-20,0,155,120
CA001106CL2,2010-06-21,0,150,120
CA001106CL2,2010-06-22,0,215,125
CA001106CL2,2010-06-23,0,250,135
CA001106CL2,2010-06-24,0,220,140
CA001106CL2,2010-06-25,0,205,130
CA001106CL2,2010-06-26,0,185,120
CA001106CL2,2010-06-27,0,140,120
CA001106CL2,2010-06-28,0,170,130
CA001106CL2,2010-06-29,0,160,80
CA001106CL2,2010-06-30,0,175,90
CA001106CL2,2010-07-01,15,135,100
CA001106CL2,2010-07-02,0,190,90
CA001106CL2,2010-07-03,0,160,110
CA001106CL2,2010-07-04,0,150,120
CA001106CL2,2010-07-05,0,180,110
CA001106CL2,2010-07-06,0,250,100
CA001106CL2,2010-07-07,0,305,140
CA001106CL2,2010-07-08,0,325,160
CA001106CL2,2010-07-09,0,295,180
CA001106CL2,2010-07-10,0,270,185
CA001106CL2,2010-07-11,0,240,150
CA001106CL2,2010-07-12,0,180,130
CA001106CL2,2010-07-13,0,190,105
CA001106CL2,2010-07-14,0,230,110
CA001106CL2,2010-07-15,0,250,130
CA001106CL2,2010-07-16,0,220,130
CA001106CL2,2010-07-17,0,230,120
CA001106CL2,2010-07-18,0,230,130
CA001106CL2,2010-07-19,0,230,120
CA001106CL2,2010-07-20,0,240,130
CA001106CL2,2010-07-21,0,270,140
CA001106CL2,2010-07-22,0,200,150
CA001106CL2,2010-07-23,0,235,130
CA001106CL2,2010-07-24,0,260,140
CA001106CL2,2010-07-25,NA,NA,NA
CA001106CL2,2010-07-26,NA,NA,NA
CA001106CL2,2010-07-27,0,270,150
CA001106CL2,2010-07-28,0,260,140
CA001106CL2,2010-07-29,0,240,90
CA001106CL2,2010-07-30,0,245,135
CA001106CL2,2010-07-31,0,230,135
CA001106CL2,2010-08-01,0,215,160
CA001106CL2,2010-08-02,0,235,160
CA001106CL2,2010-08-03,0,260,140
CA001106CL2,2010-08-04,0,280,160
CA001106CL2,2010-08-05,0,280,190
CA001106CL2,2010-08-06,0,220,150
CA001106CL2,2010-08-07,170,160,140
CA001106CL2,2010-08-08,40,170,150
CA001106CL2,2010-08-09,20,170,140
CA001106CL2,2010-08-10,0,200,130
CA001106CL2,2010-08-11,0,230,140
CA001106CL2,2010-08-12,0,260,130
CA001106CL2,2010-08-13,0,290,140
CA001106CL2,2010-08-14,0,305,190
CA001106CL2,2010-08-15,0,320,190
CA001106CL2,2010-08-16,0,330,190
CA001106CL2,2010-08-17,0,300,170
CA001106CL2,2010-08-18,0,200,135
CA001106CL2,2010-08-19,20,170,130
CA001106CL2,2010-08-20,0,195,105
CA001106CL2,2010-08-21,0,205,105
CA001106CL2,2010-08-22,40,170,130
CA001106CL2,2010-08-23,0,220,130
CA001106CL2,2010-08-24,0,250,130
CA001106CL2,2010-08-25,0,290,150
CA001106CL2,2010-08-26,1,185,135
CA001106CL2,2010-08-27,50,180,105
CA001106CL2,2010-08-28,0,200,85
CA001106CL2,2010-08-29,0,160,110
CA001106CL2,2010-08-30,0,200,100
CA001106CL2,2010-08-31,425,140,120
CA001106CL2,2010-09-01,0,190,120
CA001106CL2,2010-09-02,0,210,90
CA001106CL2,2010-09-03,0,270,85
CA001106CL2,2010-09-04,0,190,120
CA001106CL2,2010-09-05,30,160,100
CA001106CL2,2010-09-06,115,120,100
CA001106CL2,2010-09-07,0,180,110
CA001106CL2,2010-09-08,0,195,100
CA001106CL2,2010-09-09,0,160,95
CA001106CL2,2010-09-10,1,160,125
CA001106CL2,2010-09-11,260,160,90
CA001106CL2,2010-09-12,215,130,100
CA001106CL2,2010-09-13,0,180,120
CA001106CL2,2010-09-14,0,200,115
CA001106CL2,2010-09-15,2,195,130
CA001106CL2,2010-09-16,50,190,140
CA001106CL2,2010-09-17,70,250,145
CA001106CL2,2010-09-18,502,240,140
CA001106CL2,2010-09-19,80,170,140
CA001106CL2,2010-09-20,130,165,130
CA001106CL2,2010-09-21,0,160,110
CA001106CL2,2010-09-22,0,170,70
CA001106CL2,2010-09-23,188,130,105
CA001106CL2,2010-09-24,24,150,110
CA001106CL2,2010-09-25,300,215,130
CA001106CL2,2010-09-26,70,180,150
CA001106CL2,2010-09-27,NA,NA,NA
CA001106CL2,2010-09-28,0,190,160
CA001106CL2,2010-09-29,NA,NA,NA
CA001106CL2,2010-09-30,NA,NA,NA
CA001106CL2,2010-10-01,NA,NA,NA
CA001106CL2,2010-10-02,NA,NA,NA
CA001106CL2,2010-10-03,NA,NA,NA
CA001106CL2,2010-10-04,0,140,100
CA001106CL2,2010-10-05,0,150,70
CA001106CL2,2010-10-06,NA,NA,NA
CA001106CL2,2010-10-07,NA,NA,NA
CA001106CL2,2010-10-08,NA,NA,NA
CA001106CL2,2010-10-09,NA,NA,NA
CA001106CL2,2010-10-10,NA,NA,NA
CA001106CL2,2010-10-11,NA,NA,NA
CA001106CL2,2010-10-12,NA,NA,NA
CA001106CL2,2010-10-13,NA,NA,NA
CA001106CL2,2010-10-14,NA,NA,NA
CA001106CL2,2010-10-15,NA,NA,NA
CA001106CL2,2010-10-16,NA,NA,NA
CA001106CL2,2010-10-17,NA,NA,NA
CA001106CL2,2010-10-18,NA,NA,NA
CA001106CL2,2010-10-19,NA,NA,NA
CA001106CL2,2010-10-20,NA,NA,NA
CA001106CL2,2010-10-21,NA,NA,NA
CA001106CL2,2010-10-22,NA,NA,NA
CA001106CL2,2010-10-23,NA,NA,NA
CA001106CL2,2010-10-24,NA,NA,NA
CA001106CL2,2010-10-25,NA,NA,NA
CA001106CL2,2010-10-26,NA,NA,NA
CA001106CL2,2010-10-27,NA,NA,NA
CA001106CL2,2010-10-28,NA,NA,NA
CA001106CL2,2010-10-29,NA,NA,NA
CA001106CL2,2010-10-30,NA,NA,NA
CA001106CL2,2010-10-31,NA,NA,NA
CA001106CL2,2010-11-01,NA,NA,NA
CA001106CL2,2010-11-02,NA,NA,NA
