id,date,tmax,tmin
CA006151061,2010-01-01,19,-82
CA006151061,2010-01-02,-80,-123
CA006151061,2010-01-03,-66,-121
CA006151061,2010-01-04,-56,-95
CA006151061,2010-01-05,-34,-88
CA006151061,2010-01-06,-21,-61
CA006151061,2010-01-07,-9,-59
CA006151061,2010-01-08,NA,NA
CA006151061,2010-01-09,-55,-122
CA006151061,2010-01-10,-34,-129
CA006151061,2010-01-11,-32,-58
CA006151061,2010-01-12,-31,-68
CA006151061,2010-01-13,1,-52
CA006151061,2010-01-14,53,-34
CA006151061,2010-01-15,39,18
CA006151061,2010-01-16,19,-3
CA006151061,2010-01-17,28,3
CA006151061,2010-01-18,16,-17
CA006151061,2010-01-19,19,-16
CA006151061,2010-01-20,-7,-51
CA006151061,2010-01-21,14,-56
CA006151061,2010-01-22,25,2
CA006151061,2010-01-23,23,-5
CA006151061,2010-01-24,44,9
CA006151061,2010-01-25,66,10
CA006151061,2010-01-26,14,-11
CA006151061,2010-01-27,-7,-46
CA006151061,2010-01-28,-22,-117
CA006151061,2010-01-29,-91,-147
CA006151061,2010-01-30,-90,-170
CA006151061,2010-01-31,-39,-110
CA006151061,2010-02-01,-35,-70
CA006151061,2010-02-02,-17,-66
CA006151061,2010-02-03,8,-52
CA006151061,2010-02-04,5,-67
CA006151061,2010-02-05,3,-45
CA006151061,2010-02-06,-25,-105
CA006151061,2010-02-07,-16,-99
CA006151061,2010-02-08,-5,-83
CA006151061,2010-02-09,-4,-57
CA006151061,2010-02-10,-2,-63
CA006151061,2010-02-11,3,-90
CA006151061,2010-02-12,-5,-57
CA006151061,2010-02-13,-12,-59
CA006151061,2010-02-14,-4,-23
CA006151061,2010-02-15,-9,-33
CA006151061,2010-02-16,4,-36
CA006151061,2010-02-17,17,-27
CA006151061,2010-02-18,19,-17
CA006151061,2010-02-19,30,-21
CA006151061,2010-02-20,27,-34
CA006151061,2010-02-21,57,-32
CA006151061,2010-02-22,7,-28
CA006151061,2010-02-23,13,-10
CA006151061,2010-02-24,13,-28
CA006151061,2010-02-25,-10,-62
CA006151061,2010-02-26,18,-48
CA006151061,2010-02-27,33,8
CA006151061,2010-02-28,47,19
CA006151061,2010-03-01,43,0
CA006151061,2010-03-02,16,-14
CA006151061,2010-03-03,41,-2
CA006151061,2010-03-04,40,-15
CA006151061,2010-03-05,36,-15
CA006151061,2010-03-06,71,-38
CA006151061,2010-03-07,86,5
CA006151061,2010-03-08,127,22
CA006151061,2010-03-09,78,21
CA006151061,2010-03-10,52,7
CA006151061,2010-03-11,60,37
CA006151061,2010-03-12,45,35
CA006151061,2010-03-13,46,31
CA006151061,2010-03-14,43,19
CA006151061,2010-03-15,96,27
CA006151061,2010-03-16,135,45
CA006151061,2010-03-17,168,33
CA006151061,2010-03-18,176,52
CA006151061,2010-03-19,163,52
CA006151061,2010-03-20,82,4
CA006151061,2010-03-21,34,0
CA006151061,2010-03-22,44,25
CA006151061,2010-03-23,52,33
CA006151061,2010-03-24,143,15
CA006151061,2010-03-25,NA,NA
CA006151061,2010-03-26,-4,-49
CA006151061,2010-03-27,32,-33
CA006151061,2010-03-28,76,21
CA006151061,2010-03-29,73,22
CA006151061,2010-03-30,94,NA
CA006151061,2010-03-31,156,27
CA006151061,2010-04-01,78,45
CA006151061,2010-04-02,236,55
CA006151061,2010-04-03,201,62
CA006151061,2010-04-04,176,82
CA006151061,2010-04-05,221,74
CA006151061,2010-04-06,119,54
CA006151061,2010-04-07,181,60
CA006151061,2010-04-08,119,51
CA006151061,2010-04-09,51,22
CA006151061,2010-04-10,143,19
CA006151061,2010-04-11,171,58
CA006151061,2010-04-12,96,57
CA006151061,2010-04-13,99,52
CA006151061,2010-04-14,111,51
CA006151061,2010-04-15,104,74
CA006151061,2010-04-16,208,62
CA006151061,2010-04-17,68,38
CA006151061,2010-04-18,139,45
CA006151061,2010-04-19,141,60
CA006151061,2010-04-20,172,63
CA006151061,2010-04-21,197,48
CA006151061,2010-04-22,114,39
CA006151061,2010-04-23,140,39
CA006151061,2010-04-24,96,66
CA006151061,2010-04-25,89,60
CA006151061,2010-04-26,161,65
CA006151061,2010-04-27,93,45
CA006151061,2010-04-28,132,47
CA006151061,2010-04-29,188,56
CA006151061,2010-04-30,133,78
CA006151061,2010-05-01,241,81
CA006151061,2010-05-02,246,100
CA006151061,2010-05-03,228,157
CA006151061,2010-05-04,205,142
CA006151061,2010-05-05,257,87
CA006151061,2010-05-06,145,85
CA006151061,2010-05-07,92,60
CA006151061,2010-05-08,118,33
CA006151061,2010-05-09,93,27
CA006151061,2010-05-10,126,32
CA006151061,2010-05-11,93,48
CA006151061,2010-05-12,91,53
CA006151061,2010-05-13,75,56
CA006151061,2010-05-14,199,74
CA006151061,2010-05-15,149,97
CA006151061,2010-05-16,178,87
CA006151061,2010-05-17,116,92
CA006151061,2010-05-18,138,93
CA006151061,2010-05-19,225,95
CA006151061,2010-05-20,255,143
CA006151061,2010-05-21,167,117
CA006151061,2010-05-22,159,106
CA006151061,2010-05-23,168,115
CA006151061,2010-05-24,182,132
CA006151061,2010-05-25,NA,NA
CA006151061,2010-05-26,NA,NA
CA006151061,2010-05-27,297,185
CA006151061,2010-05-28,NA,NA
CA006151061,2010-05-29,NA,NA
CA006151061,2010-05-30,NA,NA
CA006151061,2010-05-31,NA,NA
CA006151061,2010-06-01,NA,NA
CA006151061,2010-06-02,NA,NA
CA006151061,2010-06-03,NA,NA
CA006151061,2010-06-04,NA,NA
CA006151061,2010-06-05,257,161
CA006151061,2010-06-06,179,124
CA006151061,2010-06-07,192,120
CA006151061,2010-06-08,192,114
CA006151061,2010-06-09,160,131
CA006151061,2010-06-10,NA,NA
CA006151061,2010-06-11,182,148
CA006151061,2010-06-12,189,149
CA006151061,2010-06-13,200,165
CA006151061,2010-06-14,239,171
CA006151061,2010-06-15,180,163
CA006151061,2010-06-16,259,155
CA006151061,2010-06-17,225,147
CA006151061,2010-06-18,271,169
CA006151061,2010-06-19,289,207
CA006151061,2010-06-20,265,195
CA006151061,2010-06-21,263,182
CA006151061,2010-06-22,264,184
CA006151061,2010-06-23,288,202
CA006151061,2010-06-24,256,187
CA006151061,2010-06-25,255,164
CA006151061,2010-06-26,211,160
CA006151061,2010-06-27,226,176
CA006151061,2010-06-28,272,168
CA006151061,2010-06-29,191,129
CA006151061,2010-06-30,194,114
CA006151061,2010-07-01,219,129
CA006151061,2010-07-02,245,132
CA006151061,2010-07-03,289,162
CA006151061,2010-07-04,310,189
CA006151061,2010-07-05,335,229
CA006151061,2010-07-06,330,236
CA006151061,2010-07-07,313,233
CA006151061,2010-07-08,NA,NA
CA006151061,2010-07-09,244,193
CA006151061,2010-07-10,NA,NA
CA006151061,2010-07-11,252,174
CA006151061,2010-07-12,249,186
CA006151061,2010-07-13,272,200
CA006151061,2010-07-14,258,210
CA006151061,2010-07-15,302,218
CA006151061,2010-07-16,292,221
CA006151061,2010-07-17,294,209
CA006151061,2010-07-18,271,187
CA006151061,2010-07-19,257,208
CA006151061,2010-07-20,251,192
CA006151061,2010-07-21,289,204
CA006151061,2010-07-22,274,193
CA006151061,2010-07-23,299,186
CA006151061,2010-07-24,270,212
CA006151061,2010-07-25,263,200
CA006151061,2010-07-26,283,185
CA006151061,2010-07-27,286,191
