id,date,prcp,tmax,tmin
CA00615HMAK,2010-01-01,14,-2,-123
CA00615HMAK,2010-01-02,0,-122,-184
CA00615HMAK,2010-01-03,32,-121,-168
CA00615HMAK,2010-01-04,4,-85,-144
CA00615HMAK,2010-01-05,24,-59,-128
CA00615HMAK,2010-01-06,0,-39,-110
CA00615HMAK,2010-01-07,0,-32,-83
CA00615HMAK,2010-01-08,20,-82,-133
CA00615HMAK,2010-01-09,0,-96,-163
CA00615HMAK,2010-01-10,0,-29,-183
CA00615HMAK,2010-01-11,16,-47,-85
CA00615HMAK,2010-01-12,0,-62,-95
CA00615HMAK,2010-01-13,0,3,-70
CA00615HMAK,2010-01-14,0,37,-93
CA00615HMAK,2010-01-15,0,39,14
CA00615HMAK,2010-01-16,0,25,-21
CA00615HMAK,2010-01-17,0,22,-21
CA00615HMAK,2010-01-18,0,13,-21
CA00615HMAK,2010-01-19,6,13,-31
CA00615HMAK,2010-01-20,0,-26,-80
CA00615HMAK,2010-01-21,0,-4,-104
CA00615HMAK,2010-01-22,0,33,-48
CA00615HMAK,2010-01-23,0,-1,-90
CA00615HMAK,2010-01-24,78,46,-18
CA00615HMAK,2010-01-25,124,65,3
CA00615HMAK,2010-01-26,3,9,-18
CA00615HMAK,2010-01-27,6,-17,-60
CA00615HMAK,2010-01-28,2,-42,-168
CA00615HMAK,2010-01-29,0,-116,-190
CA00615HMAK,2010-01-30,0,-86,-204
CA00615HMAK,2010-01-31,2,-47,-124
CA00615HMAK,2010-02-01,0,-33,-129
CA00615HMAK,2010-02-02,12,-20,-114
CA00615HMAK,2010-02-03,10,-7,-72
CA00615HMAK,2010-02-04,0,3,-138
CA00615HMAK,2010-02-05,0,-9,-86
CA00615HMAK,2010-02-06,0,-69,-133
CA00615HMAK,2010-02-07,0,-34,-127
CA00615HMAK,2010-02-08,0,-24,-114
CA00615HMAK,2010-02-09,12,-46,-107
CA00615HMAK,2010-02-10,16,-26,-88
CA00615HMAK,2010-02-11,0,-20,-105
CA00615HMAK,2010-02-12,0,-4,-132
CA00615HMAK,2010-02-13,4,-28,-120
CA00615HMAK,2010-02-14,0,-7,-46
CA00615HMAK,2010-02-15,0,-20,-38
CA00615HMAK,2010-02-16,4,-4,-50
CA00615HMAK,2010-02-17,10,-4,-43
CA00615HMAK,2010-02-18,0,9,-32
