id,date,prcp,tmax,tmin
CA00707DBD4,2010-01-01,40,-43,-114
CA00707DBD4,2010-01-02,30,-55,-72
CA00707DBD4,2010-01-03,10,13,-70
CA00707DBD4,2010-01-04,20,-9,-48
CA00707DBD4,2010-01-05,0,-12,-52
CA00707DBD4,2010-01-06,0,-31,-57
CA00707DBD4,2010-01-07,0,-46,-93
CA00707DBD4,2010-01-08,0,-54,-161
CA00707DBD4,2010-01-09,0,-132,-253
CA00707DBD4,2010-01-10,0,-114,-277
CA00707DBD4,2010-01-11,0,-70,-224
CA00707DBD4,2010-01-12,0,-100,-220
CA00707DBD4,2010-01-13,0,-94,-251
CA00707DBD4,2010-01-14,20,-59,-263
CA00707DBD4,2010-01-15,0,-4,-59
CA00707DBD4,2010-01-16,10,11,-174
CA00707DBD4,2010-01-17,0,-61,-214
CA00707DBD4,2010-01-18,0,-42,-61
CA00707DBD4,2010-01-19,20,-31,-55
CA00707DBD4,2010-01-20,0,-14,-48
CA00707DBD4,2010-01-21,0,-28,-154
CA00707DBD4,2010-01-22,0,-63,-235
CA00707DBD4,2010-01-23,0,-69,-259
CA00707DBD4,2010-01-24,0,13,-163
CA00707DBD4,2010-01-25,220,67,-7
CA00707DBD4,2010-01-26,20,40,-36
CA00707DBD4,2010-01-27,0,-36,-98
CA00707DBD4,2010-01-28,40,-57,-155
CA00707DBD4,2010-01-29,20,-154,-212
CA00707DBD4,2010-01-30,0,-130,-239
CA00707DBD4,2010-01-31,0,-108,-233
CA00707DBD4,2010-02-01,0,-140,-268
CA00707DBD4,2010-02-02,0,-119,-332
CA00707DBD4,2010-02-03,0,-70,-258
CA00707DBD4,2010-02-04,0,-94,-233
CA00707DBD4,2010-02-05,0,-119,-208
CA00707DBD4,2010-02-06,0,-90,-150
CA00707DBD4,2010-02-07,20,-71,-143
CA00707DBD4,2010-02-08,10,-53,-108
CA00707DBD4,2010-02-09,0,20,-144
CA00707DBD4,2010-02-10,0,4,-183
CA00707DBD4,2010-02-11,0,-40,-169
CA00707DBD4,2010-02-12,0,-22,-92
CA00707DBD4,2010-02-13,10,21,-93
CA00707DBD4,2010-02-14,0,-44,-77
