id,date,prcp,tmax,tmin
CD000004700,2010-01-01,NA,345,NA
CD000004700,2010-01-02,NA,340,NA
CD000004700,2010-01-03,NA,329,NA
CD000004700,2010-01-04,NA,330,NA
CD000004700,2010-01-05,NA,325,NA
CD000004700,2010-01-06,NA,NA,NA
CD000004700,2010-01-07,NA,350,NA
CD000004700,2010-01-08,NA,355,NA
CD000004700,2010-01-09,NA,370,134
CD000004700,2010-01-10,NA,380,145
CD000004700,2010-01-11,NA,364,NA
CD000004700,2010-01-12,NA,355,195
CD000004700,2010-01-13,NA,354,157
CD000004700,2010-01-14,NA,359,NA
CD000004700,2010-01-15,NA,355,NA
CD000004700,2010-01-16,NA,358,150
CD000004700,2010-01-17,NA,325,NA
CD000004700,2010-01-18,NA,295,138
CD000004700,2010-01-19,NA,300,NA
CD000004700,2010-01-20,NA,315,NA
CD000004700,2010-01-21,NA,NA,NA
CD000004700,2010-01-22,NA,345,NA
CD000004700,2010-01-23,NA,360,NA
CD000004700,2010-01-24,NA,370,NA
CD000004700,2010-01-25,NA,NA,NA
CD000004700,2010-01-26,NA,400,NA
CD000004700,2010-01-27,NA,398,NA
CD000004700,2010-01-28,NA,NA,NA
CD000004700,2010-01-29,NA,393,NA
CD000004700,2010-01-30,NA,407,190
CD000004700,2010-01-31,NA,400,190
CD000004700,2010-02-01,NA,394,210
CD000004700,2010-02-02,NA,365,190
CD000004700,2010-02-03,NA,360,172
CD000004700,2010-02-04,NA,350,NA
CD000004700,2010-02-05,NA,345,170
CD000004700,2010-02-06,NA,330,160
CD000004700,2010-02-07,NA,NA,NA
CD000004700,2010-02-08,NA,330,NA
CD000004700,2010-02-09,NA,336,150
CD000004700,2010-02-10,NA,355,NA
CD000004700,2010-02-11,NA,370,NA
CD000004700,2010-02-12,NA,NA,180
CD000004700,2010-02-13,NA,380,NA
CD000004700,2010-02-14,NA,395,180
CD000004700,2010-02-15,NA,395,190
CD000004700,2010-02-16,NA,414,200
CD000004700,2010-02-17,NA,NA,NA
CD000004700,2010-02-18,NA,432,235
CD000004700,2010-02-19,NA,436,238
CD000004700,2010-02-20,NA,435,NA
CD000004700,2010-02-21,NA,NA,NA
CD000004700,2010-02-22,NA,430,NA
CD000004700,2010-02-23,NA,430,NA
CD000004700,2010-02-24,NA,420,NA
CD000004700,2010-02-25,NA,428,NA
CD000004700,2010-02-26,NA,NA,NA
CD000004700,2010-02-27,NA,410,238
CD000004700,2010-02-28,NA,398,NA
CD000004700,2010-03-01,NA,390,220
CD000004700,2010-03-02,NA,NA,NA
CD000004700,2010-03-03,NA,385,190
CD000004700,2010-03-04,NA,405,NA
CD000004700,2010-03-05,NA,406,NA
CD000004700,2010-03-06,NA,422,NA
CD000004700,2010-03-07,NA,427,NA
CD000004700,2010-03-08,NA,430,NA
CD000004700,2010-03-09,NA,423,221
CD000004700,2010-03-10,NA,440,225
CD000004700,2010-03-11,NA,NA,NA
CD000004700,2010-03-12,NA,453,250
CD000004700,2010-03-13,NA,440,250
CD000004700,2010-03-14,NA,434,250
CD000004700,2010-03-15,NA,NA,249
CD000004700,2010-03-16,NA,430,NA
CD000004700,2010-03-17,NA,405,295
CD000004700,2010-03-18,NA,343,270
CD000004700,2010-03-19,NA,345,NA
CD000004700,2010-03-20,NA,330,NA
CD000004700,2010-03-21,NA,330,210
CD000004700,2010-03-22,NA,348,200
CD000004700,2010-03-23,NA,345,193
CD000004700,2010-03-24,NA,355,NA
CD000004700,2010-03-25,NA,380,NA
CD000004700,2010-03-26,NA,395,NA
CD000004700,2010-03-27,NA,NA,162
CD000004700,2010-03-28,NA,380,NA
CD000004700,2010-03-29,NA,387,NA
CD000004700,2010-03-30,NA,405,NA
CD000004700,2010-03-31,NA,415,NA
CD000004700,2010-04-01,NA,416,NA
CD000004700,2010-04-02,NA,NA,239
CD000004700,2010-04-03,NA,415,NA
CD000004700,2010-04-04,NA,435,NA
CD000004700,2010-04-05,NA,433,NA
CD000004700,2010-04-06,NA,432,NA
CD000004700,2010-04-07,NA,NA,270
CD000004700,2010-04-08,NA,415,NA
CD000004700,2010-04-09,NA,NA,280
CD000004700,2010-04-10,NA,436,260
CD000004700,2010-04-11,NA,440,263
CD000004700,2010-04-12,NA,445,NA
CD000004700,2010-04-13,NA,452,NA
CD000004700,2010-04-14,NA,438,272
CD000004700,2010-04-15,NA,450,280
CD000004700,2010-04-16,NA,450,NA
CD000004700,2010-04-17,NA,456,NA
CD000004700,2010-04-18,NA,460,NA
CD000004700,2010-04-19,NA,460,272
CD000004700,2010-04-20,NA,457,NA
CD000004700,2010-04-21,NA,NA,275
CD000004700,2010-04-22,NA,NA,285
CD000004700,2010-04-23,NA,425,298
CD000004700,2010-04-24,NA,NA,280
CD000004700,2010-04-25,NA,435,290
CD000004700,2010-04-26,NA,435,NA
CD000004700,2010-04-27,NA,442,NA
CD000004700,2010-04-28,NA,437,324
CD000004700,2010-04-29,NA,407,NA
CD000004700,2010-04-30,NA,420,280
CD000004700,2010-05-01,NA,410,265
CD000004700,2010-05-02,NA,412,NA
CD000004700,2010-05-03,NA,438,275
CD000004700,2010-05-04,NA,440,270
CD000004700,2010-05-05,NA,427,290
CD000004700,2010-05-06,NA,420,293
CD000004700,2010-05-07,NA,409,275
CD000004700,2010-05-08,NA,NA,283
CD000004700,2010-05-09,NA,NA,NA
CD000004700,2010-05-10,NA,488,268
CD000004700,2010-05-11,NA,453,290
CD000004700,2010-05-12,NA,455,287
CD000004700,2010-05-13,NA,452,300
CD000004700,2010-05-14,NA,435,295
CD000004700,2010-05-15,NA,440,287
CD000004700,2010-05-16,NA,448,284
CD000004700,2010-05-17,NA,445,270
CD000004700,2010-05-18,NA,440,277
CD000004700,2010-05-19,NA,440,304
CD000004700,2010-05-20,NA,430,290
CD000004700,2010-05-21,NA,410,293
CD000004700,2010-05-22,NA,425,290
CD000004700,2010-05-23,NA,410,280
CD000004700,2010-05-24,NA,432,NA
CD000004700,2010-05-25,NA,435,305
CD000004700,2010-05-26,NA,420,NA
CD000004700,2010-05-27,NA,385,NA
CD000004700,2010-05-28,NA,409,275
CD000004700,2010-05-29,NA,435,285
CD000004700,2010-05-30,NA,450,NA
CD000004700,2010-05-31,NA,395,305
CD000004700,2010-06-01,NA,403,NA
CD000004700,2010-06-02,NA,340,NA
CD000004700,2010-06-03,NA,390,NA
CD000004700,2010-06-04,NA,416,269
CD000004700,2010-06-05,NA,415,270
CD000004700,2010-06-06,NA,NA,NA
CD000004700,2010-06-07,NA,397,260
CD000004700,2010-06-08,NA,396,NA
CD000004700,2010-06-09,NA,410,260
CD000004700,2010-06-10,NA,365,NA
CD000004700,2010-06-11,NA,NA,275
CD000004700,2010-06-12,NA,425,253
