id,date,prcp,tmin
CD000064706,2010-01-01,NA,NA
CD000064706,2010-01-02,NA,NA
CD000064706,2010-01-03,NA,145
CD000064706,2010-01-04,NA,NA
CD000064706,2010-01-05,NA,139
CD000064706,2010-01-06,NA,NA
CD000064706,2010-01-07,NA,NA
CD000064706,2010-01-08,NA,145
CD000064706,2010-01-09,NA,148
CD000064706,2010-01-10,NA,160
CD000064706,2010-01-11,NA,165
CD000064706,2010-01-12,NA,168
CD000064706,2010-01-13,NA,205
CD000064706,2010-01-14,NA,151
CD000064706,2010-01-15,NA,NA
CD000064706,2010-01-16,NA,169
CD000064706,2010-01-17,NA,NA
CD000064706,2010-01-18,NA,166
CD000064706,2010-01-19,NA,190
CD000064706,2010-01-20,NA,NA
CD000064706,2010-01-21,NA,149
CD000064706,2010-01-22,NA,184
CD000064706,2010-01-23,NA,177
CD000064706,2010-01-24,NA,NA
CD000064706,2010-01-25,NA,NA
CD000064706,2010-01-26,NA,174
CD000064706,2010-01-27,NA,163
CD000064706,2010-01-28,NA,185
CD000064706,2010-01-29,NA,175
CD000064706,2010-01-30,NA,NA
CD000064706,2010-01-31,NA,181
CD000064706,2010-02-01,NA,214
CD000064706,2010-02-02,NA,210
CD000064706,2010-02-03,NA,NA
CD000064706,2010-02-04,NA,NA
CD000064706,2010-02-05,NA,210
CD000064706,2010-02-06,NA,NA
CD000064706,2010-02-07,NA,NA
CD000064706,2010-02-08,NA,NA
CD000064706,2010-02-09,NA,NA
CD000064706,2010-02-10,NA,181
CD000064706,2010-02-11,NA,181
CD000064706,2010-02-12,NA,171
CD000064706,2010-02-13,NA,193
CD000064706,2010-02-14,NA,204
CD000064706,2010-02-15,NA,NA
CD000064706,2010-02-16,NA,185
CD000064706,2010-02-17,NA,204
CD000064706,2010-02-18,NA,215
CD000064706,2010-02-19,NA,244
CD000064706,2010-02-20,NA,205
CD000064706,2010-02-21,NA,209
CD000064706,2010-02-22,NA,229
CD000064706,2010-02-23,NA,245
CD000064706,2010-02-24,NA,NA
CD000064706,2010-02-25,NA,209
CD000064706,2010-02-26,NA,205
CD000064706,2010-02-27,NA,265
CD000064706,2010-02-28,NA,224
CD000064706,2010-03-01,NA,230
CD000064706,2010-03-02,NA,NA
CD000064706,2010-03-03,NA,203
CD000064706,2010-03-04,NA,NA
CD000064706,2010-03-05,NA,NA
CD000064706,2010-03-06,NA,185
CD000064706,2010-03-07,NA,196
CD000064706,2010-03-08,NA,254
CD000064706,2010-03-09,NA,244
CD000064706,2010-03-10,NA,235
CD000064706,2010-03-11,NA,260
CD000064706,2010-03-12,NA,273
CD000064706,2010-03-13,NA,277
CD000064706,2010-03-14,NA,254
CD000064706,2010-03-15,NA,288
CD000064706,2010-03-16,NA,249
CD000064706,2010-03-17,NA,269
CD000064706,2010-03-18,NA,259
CD000064706,2010-03-19,NA,NA
CD000064706,2010-03-20,NA,272
CD000064706,2010-03-21,NA,250
CD000064706,2010-03-22,NA,247
CD000064706,2010-03-23,NA,241
CD000064706,2010-03-24,NA,201
CD000064706,2010-03-25,NA,209
CD000064706,2010-03-26,NA,200
CD000064706,2010-03-27,NA,255
CD000064706,2010-03-28,NA,208
CD000064706,2010-03-29,NA,226
CD000064706,2010-03-30,NA,199
CD000064706,2010-03-31,NA,215
CD000064706,2010-04-01,NA,215
CD000064706,2010-04-02,NA,234
CD000064706,2010-04-03,NA,235
CD000064706,2010-04-04,NA,NA
CD000064706,2010-04-05,NA,264
CD000064706,2010-04-06,NA,275
CD000064706,2010-04-07,NA,274
CD000064706,2010-04-08,NA,265
CD000064706,2010-04-09,NA,NA
CD000064706,2010-04-10,NA,273
CD000064706,2010-04-11,0,260
CD000064706,2010-04-12,NA,NA
CD000064706,2010-04-13,NA,285
CD000064706,2010-04-14,NA,256
CD000064706,2010-04-15,NA,NA
CD000064706,2010-04-16,NA,270
CD000064706,2010-04-17,NA,271
CD000064706,2010-04-18,NA,265
CD000064706,2010-04-19,NA,279
CD000064706,2010-04-20,NA,NA
CD000064706,2010-04-21,NA,299
CD000064706,2010-04-22,170,226
CD000064706,2010-04-23,0,NA
CD000064706,2010-04-24,NA,NA
