id,date,prcp,tmax,tmin
CE000434730,2010-01-01,0,192,144
CE000434730,2010-01-02,0,NA,127
CE000434730,2010-01-03,3,206,126
CE000434730,2010-01-04,38,194,NA
CE000434730,2010-01-05,0,227,NA
CE000434730,2010-01-06,0,213,63
CE000434730,2010-01-07,0,197,75
CE000434730,2010-01-08,3,202,147
CE000434730,2010-01-09,211,214,125
CE000434730,2010-01-10,10,202,NA
CE000434730,2010-01-11,0,216,84
CE000434730,2010-01-12,0,222,107
CE000434730,2010-01-13,15,224,NA
CE000434730,2010-01-14,0,210,128
CE000434730,2010-01-15,0,190,114
CE000434730,2010-01-16,3,176,120
CE000434730,2010-01-17,254,NA,135
CE000434730,2010-01-18,107,NA,NA
CE000434730,2010-01-19,3,197,NA
CE000434730,2010-01-20,0,201,94
CE000434730,2010-01-21,0,NA,NA
CE000434730,2010-01-22,0,220,85
CE000434730,2010-01-23,0,207,NA
CE000434730,2010-01-24,0,216,60
CE000434730,2010-01-25,0,NA,65
CE000434730,2010-01-26,0,NA,77
CE000434730,2010-01-27,0,NA,123
CE000434730,2010-01-28,10,NA,NA
CE000434730,2010-01-29,NA,NA,NA
CE000434730,2010-01-30,84,170,NA
CE000434730,2010-01-31,5,206,133
CE000434730,2010-02-01,23,208,139
CE000434730,2010-02-02,97,206,NA
CE000434730,2010-02-03,8,214,NA
CE000434730,2010-02-04,0,228,87
CE000434730,2010-02-05,NA,NA,NA
CE000434730,2010-02-06,0,200,72
CE000434730,2010-02-07,0,210,79
CE000434730,2010-02-08,NA,232,NA
CE000434730,2010-02-09,0,NA,125
CE000434730,2010-02-10,0,215,144
CE000434730,2010-02-11,0,207,NA
CE000434730,2010-02-12,0,197,125
CE000434730,2010-02-13,0,NA,NA
CE000434730,2010-02-14,0,227,81
CE000434730,2010-02-15,0,228,125
CE000434730,2010-02-16,0,207,133
CE000434730,2010-02-17,84,209,147
CE000434730,2010-02-18,0,240,NA
CE000434730,2010-02-19,0,NA,NA
CE000434730,2010-02-20,0,226,NA
