id,date,prcp,tmax,tmin
CEM00043424,2010-01-01,0,304,213
CEM00043424,2010-01-02,0,NA,209
CEM00043424,2010-01-03,0,299,216
CEM00043424,2010-01-04,0,295,NA
CEM00043424,2010-01-05,0,288,168
CEM00043424,2010-01-06,0,300,177
CEM00043424,2010-01-07,0,295,187
CEM00043424,2010-01-08,0,287,233
CEM00043424,2010-01-09,5,314,234
CEM00043424,2010-01-10,15,305,225
CEM00043424,2010-01-11,5,309,237
CEM00043424,2010-01-12,0,318,230
CEM00043424,2010-01-13,0,314,230
CEM00043424,2010-01-14,5,328,223
CEM00043424,2010-01-15,3,300,NA
CEM00043424,2010-01-16,0,314,211
CEM00043424,2010-01-17,18,NA,233
CEM00043424,2010-01-18,0,NA,220
CEM00043424,2010-01-19,0,316,217
CEM00043424,2010-01-20,0,316,209
CEM00043424,2010-01-21,0,NA,NA
CEM00043424,2010-01-22,0,303,186
CEM00043424,2010-01-23,0,312,187
CEM00043424,2010-01-24,0,314,193
CEM00043424,2010-01-25,0,NA,197
CEM00043424,2010-01-26,0,NA,212
CEM00043424,2010-01-27,0,NA,219
CEM00043424,2010-01-28,0,NA,230
CEM00043424,2010-01-29,NA,NA,NA
CEM00043424,2010-01-30,0,320,216
CEM00043424,2010-01-31,0,318,212
CEM00043424,2010-02-01,0,309,227
CEM00043424,2010-02-02,0,318,218
CEM00043424,2010-02-03,0,NA,210
CEM00043424,2010-02-04,0,317,202
CEM00043424,2010-02-05,NA,NA,NA
CEM00043424,2010-02-06,0,326,202
CEM00043424,2010-02-07,0,328,202
CEM00043424,2010-02-08,NA,328,NA
CEM00043424,2010-02-09,0,NA,203
CEM00043424,2010-02-10,0,315,220
CEM00043424,2010-02-11,0,304,241
CEM00043424,2010-02-12,0,315,233
CEM00043424,2010-02-13,0,342,NA
CEM00043424,2010-02-14,0,336,226
CEM00043424,2010-02-15,0,348,222
CEM00043424,2010-02-16,0,325,212
CEM00043424,2010-02-17,10,342,238
CEM00043424,2010-02-18,0,349,227
CEM00043424,2010-02-19,0,NA,NA
CEM00043424,2010-02-20,0,325,NA
CEM00043424,2010-02-21,0,351,232
CEM00043424,2010-02-22,0,354,224
CEM00043424,2010-02-23,0,354,222
CEM00043424,2010-02-24,NA,324,NA
CEM00043424,2010-02-25,0,322,NA
CEM00043424,2010-02-26,0,328,228
CEM00043424,2010-02-27,0,364,216
CEM00043424,2010-02-28,0,NA,222
CEM00043424,2010-03-01,0,354,218
CEM00043424,2010-03-02,0,345,197
CEM00043424,2010-03-03,0,334,NA
CEM00043424,2010-03-04,0,316,NA
CEM00043424,2010-03-05,0,330,221
CEM00043424,2010-03-06,0,328,219
CEM00043424,2010-03-07,0,331,262
CEM00043424,2010-03-08,0,338,247
CEM00043424,2010-03-09,0,336,245
CEM00043424,2010-03-10,0,367,231
CEM00043424,2010-03-11,0,369,233
CEM00043424,2010-03-12,0,370,NA
CEM00043424,2010-03-13,0,NA,245
CEM00043424,2010-03-14,NA,NA,NA
CEM00043424,2010-03-15,0,355,NA
CEM00043424,2010-03-16,0,329,NA
CEM00043424,2010-03-17,0,366,212
CEM00043424,2010-03-18,0,356,229
CEM00043424,2010-03-19,NA,NA,NA
CEM00043424,2010-03-20,0,364,236
CEM00043424,2010-03-21,0,329,240
CEM00043424,2010-03-22,0,NA,237
CEM00043424,2010-03-23,0,NA,247
CEM00043424,2010-03-24,0,336,257
CEM00043424,2010-03-25,0,334,245
CEM00043424,2010-03-26,0,337,248
CEM00043424,2010-03-27,0,335,NA
CEM00043424,2010-03-28,43,335,232
CEM00043424,2010-03-29,0,329,256
CEM00043424,2010-03-30,0,338,245
CEM00043424,2010-03-31,0,339,251
CEM00043424,2010-04-01,0,346,266
CEM00043424,2010-04-02,0,338,255
CEM00043424,2010-04-03,0,335,261
CEM00043424,2010-04-04,5,330,249
CEM00043424,2010-04-05,99,323,NA
CEM00043424,2010-04-06,74,320,235
CEM00043424,2010-04-07,99,356,245
CEM00043424,2010-04-08,335,348,237
CEM00043424,2010-04-09,0,362,250
CEM00043424,2010-04-10,0,330,249
CEM00043424,2010-04-11,5,339,242
CEM00043424,2010-04-12,0,337,262
CEM00043424,2010-04-13,0,337,264
CEM00043424,2010-04-14,0,322,NA
CEM00043424,2010-04-15,0,340,250
CEM00043424,2010-04-16,157,326,253
CEM00043424,2010-04-17,3,330,NA
CEM00043424,2010-04-18,348,325,237
CEM00043424,2010-04-19,0,NA,255
CEM00043424,2010-04-20,0,334,260
CEM00043424,2010-04-21,0,335,268
CEM00043424,2010-04-22,0,331,262
CEM00043424,2010-04-23,0,337,NA
CEM00043424,2010-04-24,3,329,242
CEM00043424,2010-04-25,3,328,244
CEM00043424,2010-04-26,0,334,NA
CEM00043424,2010-04-27,36,325,237
CEM00043424,2010-04-28,0,334,242
CEM00043424,2010-04-29,0,345,249
CEM00043424,2010-04-30,150,329,237
CEM00043424,2010-05-01,132,NA,237
CEM00043424,2010-05-02,0,335,256
CEM00043424,2010-05-03,0,336,266
CEM00043424,2010-05-04,124,NA,253
CEM00043424,2010-05-05,0,333,264
CEM00043424,2010-05-06,0,338,267
CEM00043424,2010-05-07,0,335,260
CEM00043424,2010-05-08,0,338,257
CEM00043424,2010-05-09,23,329,260
CEM00043424,2010-05-10,0,339,254
CEM00043424,2010-05-11,0,340,264
CEM00043424,2010-05-12,0,340,270
CEM00043424,2010-05-13,0,338,269
CEM00043424,2010-05-14,25,335,NA
CEM00043424,2010-05-15,140,332,258
CEM00043424,2010-05-16,0,330,267
CEM00043424,2010-05-17,0,335,NA
CEM00043424,2010-05-18,64,317,257
CEM00043424,2010-05-19,71,315,228
CEM00043424,2010-05-20,23,298,257
CEM00043424,2010-05-21,13,299,248
CEM00043424,2010-05-22,0,309,254
CEM00043424,2010-05-23,3,318,274
CEM00043424,2010-05-24,20,315,262
CEM00043424,2010-05-25,5,314,267
CEM00043424,2010-05-26,0,321,279
CEM00043424,2010-05-27,0,316,279
CEM00043424,2010-05-28,3,320,277
CEM00043424,2010-05-29,0,325,275
CEM00043424,2010-05-30,5,NA,273
CEM00043424,2010-05-31,3,320,273
CEM00043424,2010-06-01,0,330,277
CEM00043424,2010-06-02,0,NA,282
CEM00043424,2010-06-03,0,332,276
CEM00043424,2010-06-04,0,331,280
CEM00043424,2010-06-05,0,327,282
CEM00043424,2010-06-06,0,315,NA
CEM00043424,2010-06-07,0,321,NA
CEM00043424,2010-06-08,0,305,259
CEM00043424,2010-06-09,0,320,274
CEM00043424,2010-06-10,0,311,274
CEM00043424,2010-06-11,0,NA,267
CEM00043424,2010-06-12,3,318,257
CEM00043424,2010-06-13,66,304,249
CEM00043424,2010-06-14,28,310,246
