id,date,prcp,tmax,tmin
CF000004400,2010-01-01,NA,315,245
CF000004400,2010-01-02,NA,314,NA
CF000004400,2010-01-03,NA,305,243
CF000004400,2010-01-04,NA,290,250
CF000004400,2010-01-05,NA,313,241
CF000004400,2010-01-06,399,306,NA
CF000004400,2010-01-07,399,306,224
CF000004400,2010-01-08,0,313,240
CF000004400,2010-01-09,NA,326,243
CF000004400,2010-01-10,NA,342,249
CF000004400,2010-01-11,NA,320,260
CF000004400,2010-01-12,NA,NA,NA
CF000004400,2010-01-13,290,293,242
CF000004400,2010-01-14,0,320,238
CF000004400,2010-01-15,NA,320,NA
CF000004400,2010-01-16,89,NA,244
CF000004400,2010-01-17,0,348,234
CF000004400,2010-01-18,NA,315,251
CF000004400,2010-01-19,NA,322,254
CF000004400,2010-01-20,711,310,NA
CF000004400,2010-01-21,269,322,227
CF000004400,2010-01-22,0,315,250
CF000004400,2010-01-23,NA,329,246
CF000004400,2010-01-24,NA,314,NA
CF000004400,2010-01-25,NA,309,239
CF000004400,2010-01-26,NA,334,235
CF000004400,2010-01-27,0,303,NA
CF000004400,2010-01-28,NA,318,240
CF000004400,2010-01-29,NA,320,253
CF000004400,2010-01-30,NA,329,NA
CF000004400,2010-01-31,20,338,253
CF000004400,2010-02-01,3,320,267
CF000004400,2010-02-02,8,318,NA
CF000004400,2010-02-03,0,321,235
CF000004400,2010-02-04,10,336,252
CF000004400,2010-02-05,0,325,253
CF000004400,2010-02-06,NA,325,250
CF000004400,2010-02-07,61,320,256
CF000004400,2010-02-08,0,329,246
CF000004400,2010-02-09,NA,318,246
CF000004400,2010-02-10,10,310,238
CF000004400,2010-02-11,0,318,252
CF000004400,2010-02-12,10,319,248
CF000004400,2010-02-13,0,327,NA
CF000004400,2010-02-14,20,310,235
CF000004400,2010-02-15,119,314,232
CF000004400,2010-02-16,0,320,246
CF000004400,2010-02-17,NA,324,257
CF000004400,2010-02-18,NA,328,259
CF000004400,2010-02-19,351,321,250
CF000004400,2010-02-20,41,323,272
CF000004400,2010-02-21,0,319,268
CF000004400,2010-02-22,NA,322,253
CF000004400,2010-02-23,NA,320,NA
CF000004400,2010-02-24,422,348,262
CF000004400,2010-02-25,0,315,260
CF000004400,2010-02-26,NA,315,256
CF000004400,2010-02-27,NA,320,242
CF000004400,2010-02-28,NA,NA,249
CF000004400,2010-03-01,NA,322,257
CF000004400,2010-03-02,NA,324,256
CF000004400,2010-03-03,NA,327,247
CF000004400,2010-03-04,NA,315,NA
CF000004400,2010-03-05,NA,315,NA
CF000004400,2010-03-06,NA,NA,250
CF000004400,2010-03-07,NA,318,235
CF000004400,2010-03-08,NA,322,252
CF000004400,2010-03-09,NA,320,239
CF000004400,2010-03-10,NA,335,235
CF000004400,2010-03-11,5,327,250
CF000004400,2010-03-12,0,340,259
CF000004400,2010-03-13,NA,327,258
CF000004400,2010-03-14,NA,313,NA
CF000004400,2010-03-15,NA,333,240
CF000004400,2010-03-16,NA,332,247
CF000004400,2010-03-17,991,323,237
CF000004400,2010-03-18,5,340,254
CF000004400,2010-03-19,0,330,NA
CF000004400,2010-03-20,NA,327,257
CF000004400,2010-03-21,500,290,242
CF000004400,2010-03-22,20,323,242
CF000004400,2010-03-23,5,326,242
CF000004400,2010-03-24,0,NA,251
CF000004400,2010-03-25,NA,NA,NA
CF000004400,2010-03-26,NA,NA,NA
CF000004400,2010-03-27,NA,NA,NA
CF000004400,2010-03-28,NA,NA,NA
CF000004400,2010-03-29,NA,NA,NA
CF000004400,2010-03-30,NA,NA,NA
CF000004400,2010-03-31,NA,338,NA
CF000004400,2010-04-01,NA,321,255
CF000004400,2010-04-02,NA,332,NA
CF000004400,2010-04-03,20,323,244
CF000004400,2010-04-04,201,NA,229
CF000004400,2010-04-05,0,340,NA
CF000004400,2010-04-06,NA,NA,255
CF000004400,2010-04-07,310,310,228
CF000004400,2010-04-08,0,320,NA
CF000004400,2010-04-09,0,326,242
CF000004400,2010-04-10,NA,327,260
CF000004400,2010-04-11,NA,299,242
CF000004400,2010-04-12,NA,319,249
CF000004400,2010-04-13,NA,320,252
CF000004400,2010-04-14,NA,319,242
CF000004400,2010-04-15,NA,323,257
CF000004400,2010-04-16,NA,322,258
CF000004400,2010-04-17,NA,324,250
CF000004400,2010-04-18,NA,322,262
CF000004400,2010-04-19,51,323,237
CF000004400,2010-04-20,0,NA,248
CF000004400,2010-04-21,NA,306,NA
CF000004400,2010-04-22,NA,NA,NA
CF000004400,2010-04-23,NA,300,235
CF000004400,2010-04-24,NA,302,231
CF000004400,2010-04-25,NA,320,231
CF000004400,2010-04-26,NA,301,239
CF000004400,2010-04-27,NA,NA,240
CF000004400,2010-04-28,NA,NA,NA
CF000004400,2010-04-29,NA,289,NA
CF000004400,2010-04-30,NA,NA,235
CF000004400,2010-05-01,NA,NA,NA
CF000004400,2010-05-02,NA,NA,NA
CF000004400,2010-05-03,NA,NA,NA
CF000004400,2010-05-04,NA,NA,NA
CF000004400,2010-05-05,NA,315,NA
CF000004400,2010-05-06,NA,315,231
CF000004400,2010-05-07,NA,295,246
CF000004400,2010-05-08,0,297,239
CF000004400,2010-05-09,NA,307,NA
CF000004400,2010-05-10,NA,NA,235
CF000004400,2010-05-11,NA,290,NA
CF000004400,2010-05-12,NA,300,247
CF000004400,2010-05-13,NA,300,NA
CF000004400,2010-05-14,NA,290,228
CF000004400,2010-05-15,NA,295,215
CF000004400,2010-05-16,NA,298,241
CF000004400,2010-05-17,NA,295,241
CF000004400,2010-05-18,NA,297,246
CF000004400,2010-05-19,NA,299,239
CF000004400,2010-05-20,NA,298,238
CF000004400,2010-05-21,NA,NA,230
CF000004400,2010-05-22,0,292,235
CF000004400,2010-05-23,NA,295,240
CF000004400,2010-05-24,0,292,236
CF000004400,2010-05-25,5,285,245
CF000004400,2010-05-26,5,288,232
CF000004400,2010-05-27,0,295,223
CF000004400,2010-05-28,NA,293,239
CF000004400,2010-05-29,NA,283,216
CF000004400,2010-05-30,NA,288,225
CF000004400,2010-05-31,NA,295,226
CF000004400,2010-06-01,0,282,NA
CF000004400,2010-06-02,NA,285,225
CF000004400,2010-06-03,NA,NA,217
CF000004400,2010-06-04,NA,288,227
CF000004400,2010-06-05,NA,284,219
CF000004400,2010-06-06,NA,305,212
CF000004400,2010-06-07,NA,286,218
CF000004400,2010-06-08,NA,277,215
CF000004400,2010-06-09,NA,282,220
CF000004400,2010-06-10,NA,280,227
CF000004400,2010-06-11,NA,283,225
CF000004400,2010-06-12,NA,270,229
CF000004400,2010-06-13,NA,265,210
CF000004400,2010-06-14,0,NA,NA
CF000004400,2010-06-15,NA,265,207
CF000004400,2010-06-16,NA,NA,198
CF000004400,2010-06-17,NA,260,NA
CF000004400,2010-06-18,0,260,194
CF000004400,2010-06-19,NA,255,193
CF000004400,2010-06-20,NA,303,NA
CF000004400,2010-06-21,NA,265,199
CF000004400,2010-06-22,NA,277,NA
CF000004400,2010-06-23,NA,260,192
CF000004400,2010-06-24,NA,271,195
CF000004400,2010-06-25,NA,275,208
CF000004400,2010-06-26,NA,278,204
CF000004400,2010-06-27,NA,285,206
CF000004400,2010-06-28,NA,287,227
CF000004400,2010-06-29,NA,285,218
CF000004400,2010-06-30,NA,270,215
CF000004400,2010-07-01,NA,268,216
CF000004400,2010-07-02,NA,267,219
CF000004400,2010-07-03,0,275,223
CF000004400,2010-07-04,NA,283,218
CF000004400,2010-07-05,NA,278,220
CF000004400,2010-07-06,NA,270,NA
CF000004400,2010-07-07,NA,265,189
CF000004400,2010-07-08,NA,256,199
CF000004400,2010-07-09,3,260,215
CF000004400,2010-07-10,0,NA,215
CF000004400,2010-07-11,20,300,215
CF000004400,2010-07-12,0,274,NA
CF000004400,2010-07-13,NA,274,195
CF000004400,2010-07-14,NA,NA,198
CF000004400,2010-07-15,NA,260,201
CF000004400,2010-07-16,NA,258,205
CF000004400,2010-07-17,0,260,200
CF000004400,2010-07-18,NA,278,214
CF000004400,2010-07-19,NA,245,NA
CF000004400,2010-07-20,0,246,200
CF000004400,2010-07-21,NA,256,195
CF000004400,2010-07-22,NA,257,209
CF000004400,2010-07-23,NA,273,190
CF000004400,2010-07-24,NA,265,202
CF000004400,2010-07-25,NA,256,NA
CF000004400,2010-07-26,NA,257,194
CF000004400,2010-07-27,NA,248,193
CF000004400,2010-07-28,NA,NA,179
CF000004400,2010-07-29,NA,NA,203
CF000004400,2010-07-30,NA,NA,217
CF000004400,2010-07-31,NA,251,202
CF000004400,2010-08-01,NA,271,192
CF000004400,2010-08-02,NA,246,208
CF000004400,2010-08-03,NA,248,190
CF000004400,2010-08-04,NA,NA,205
CF000004400,2010-08-05,3,245,210
CF000004400,2010-08-06,0,260,209
CF000004400,2010-08-07,NA,NA,210
CF000004400,2010-08-08,0,240,207
CF000004400,2010-08-09,NA,NA,210
CF000004400,2010-08-10,NA,273,195
CF000004400,2010-08-11,NA,272,NA
CF000004400,2010-08-12,NA,266,182
CF000004400,2010-08-13,NA,NA,198
CF000004400,2010-08-14,NA,262,195
CF000004400,2010-08-15,NA,270,200
CF000004400,2010-08-16,NA,270,200
CF000004400,2010-08-17,3,258,200
CF000004400,2010-08-18,0,NA,205
CF000004400,2010-08-19,NA,260,210
CF000004400,2010-08-20,NA,262,216
CF000004400,2010-08-21,NA,NA,189
CF000004400,2010-08-22,NA,245,198
CF000004400,2010-08-23,NA,273,200
CF000004400,2010-08-24,NA,255,210
CF000004400,2010-08-25,NA,264,NA
CF000004400,2010-08-26,NA,NA,NA
CF000004400,2010-08-27,NA,260,173
CF000004400,2010-08-28,NA,268,187
CF000004400,2010-08-29,NA,268,210
CF000004400,2010-08-30,NA,270,190
CF000004400,2010-08-31,NA,262,202
CF000004400,2010-09-01,NA,NA,207
CF000004400,2010-09-02,NA,278,200
CF000004400,2010-09-03,NA,288,210
CF000004400,2010-09-04,NA,269,223
CF000004400,2010-09-05,NA,290,220
CF000004400,2010-09-06,NA,290,216
CF000004400,2010-09-07,NA,NA,223
CF000004400,2010-09-08,NA,270,217
CF000004400,2010-09-09,NA,280,209
CF000004400,2010-09-10,0,266,NA
CF000004400,2010-09-11,NA,273,226
CF000004400,2010-09-12,NA,NA,225
CF000004400,2010-09-13,0,262,226
CF000004400,2010-09-14,NA,281,215
CF000004400,2010-09-15,NA,280,215
CF000004400,2010-09-16,NA,270,225
CF000004400,2010-09-17,20,NA,226
CF000004400,2010-09-18,0,NA,NA
CF000004400,2010-09-19,NA,NA,NA
CF000004400,2010-09-20,NA,269,NA
CF000004400,2010-09-21,NA,NA,230
CF000004400,2010-09-22,NA,NA,NA
CF000004400,2010-09-23,NA,NA,NA
CF000004400,2010-09-24,NA,NA,NA
CF000004400,2010-09-25,NA,NA,NA
CF000004400,2010-09-26,NA,NA,NA
CF000004400,2010-09-27,NA,NA,NA
CF000004400,2010-09-28,NA,NA,NA
CF000004400,2010-09-29,NA,NA,NA
CF000004400,2010-09-30,NA,NA,NA
CF000004400,2010-10-01,NA,282,NA
CF000004400,2010-10-02,NA,NA,220
CF000004400,2010-10-03,NA,NA,237
CF000004400,2010-10-04,NA,290,224
CF000004400,2010-10-05,NA,NA,238
CF000004400,2010-10-06,0,NA,224
CF000004400,2010-10-07,10,NA,235
CF000004400,2010-10-08,0,NA,246
CF000004400,2010-10-09,0,NA,233
CF000004400,2010-10-10,0,308,NA
CF000004400,2010-10-11,0,306,241
CF000004400,2010-10-12,NA,290,NA
CF000004400,2010-10-13,5,NA,237
CF000004400,2010-10-14,0,295,NA
CF000004400,2010-10-15,NA,NA,NA
CF000004400,2010-10-16,NA,290,NA
CF000004400,2010-10-17,0,NA,245
CF000004400,2010-10-18,8,NA,234
CF000004400,2010-10-19,5,NA,247
CF000004400,2010-10-20,841,NA,242
CF000004400,2010-10-21,5,NA,249
CF000004400,2010-10-22,61,294,239
CF000004400,2010-10-23,0,NA,248
CF000004400,2010-10-24,NA,300,NA
CF000004400,2010-10-25,30,NA,234
CF000004400,2010-10-26,61,NA,236
CF000004400,2010-10-27,119,301,245
CF000004400,2010-10-28,0,NA,234
CF000004400,2010-10-29,8,NA,250
CF000004400,2010-10-30,89,297,NA
CF000004400,2010-10-31,51,297,250
CF000004400,2010-11-01,30,NA,240
CF000004400,2010-11-02,30,NA,249
CF000004400,2010-11-03,0,NA,260
CF000004400,2010-11-04,30,NA,257
CF000004400,2010-11-05,0,NA,253
CF000004400,2010-11-06,3,NA,243
CF000004400,2010-11-07,0,NA,235
CF000004400,2010-11-08,5,NA,247
CF000004400,2010-11-09,0,NA,230
CF000004400,2010-11-10,89,NA,245
CF000004400,2010-11-11,0,NA,NA
CF000004400,2010-11-12,381,NA,224
CF000004400,2010-11-13,20,305,230
CF000004400,2010-11-14,0,NA,244
CF000004400,2010-11-15,NA,NA,NA
CF000004400,2010-11-16,150,NA,NA
CF000004400,2010-11-17,551,NA,229
CF000004400,2010-11-18,1229,NA,217
CF000004400,2010-11-19,0,NA,229
CF000004400,2010-11-20,NA,NA,NA
CF000004400,2010-11-21,NA,NA,NA
CF000004400,2010-11-22,0,NA,238
CF000004400,2010-11-23,269,NA,242
CF000004400,2010-11-24,0,NA,231
CF000004400,2010-11-25,NA,NA,NA
CF000004400,2010-11-26,NA,NA,225
CF000004400,2010-11-27,0,NA,NA
CF000004400,2010-11-28,79,NA,212
CF000004400,2010-11-29,20,NA,217
CF000004400,2010-11-30,0,NA,NA
CF000004400,2010-12-01,NA,NA,248
CF000004400,2010-12-02,191,NA,225
CF000004400,2010-12-03,290,302,242
CF000004400,2010-12-04,0,NA,NA
CF000004400,2010-12-05,NA,304,NA
CF000004400,2010-12-06,NA,NA,NA
CF000004400,2010-12-07,701,282,NA
CF000004400,2010-12-08,20,NA,223
CF000004400,2010-12-09,10,305,NA
CF000004400,2010-12-10,10,NA,248
CF000004400,2010-12-11,41,300,240
CF000004400,2010-12-12,20,302,NA
CF000004400,2010-12-13,119,NA,NA
CF000004400,2010-12-14,0,NA,220
CF000004400,2010-12-15,NA,310,246
CF000004400,2010-12-16,0,310,241
CF000004400,2010-12-17,10,NA,233
CF000004400,2010-12-18,0,NA,NA
CF000004400,2010-12-19,30,320,232
CF000004400,2010-12-20,0,300,234
CF000004400,2010-12-21,NA,NA,237
CF000004400,2010-12-22,89,NA,NA
CF000004400,2010-12-23,871,NA,222
CF000004400,2010-12-24,0,NA,235
CF000004400,2010-12-25,NA,NA,235
CF000004400,2010-12-26,51,NA,253
CF000004400,2010-12-27,0,NA,NA
CF000004400,2010-12-28,361,NA,236
CF000004400,2010-12-29,140,305,227
CF000004400,2010-12-30,0,NA,232
CF000004400,2010-12-31,NA,NA,239
CF000004400,2011-01-01,NA,NA,NA
CF000004400,2011-01-02,NA,NA,223
CF000004400,2011-01-03,5,NA,250
CF000004400,2011-01-04,0,NA,235
CF000004400,2011-01-05,0,NA,240
CF000004400,2011-01-06,0,NA,230
CF000004400,2011-01-07,351,NA,229
CF000004400,2011-01-08,71,306,232
CF000004400,2011-01-09,0,NA,229
CF000004400,2011-01-10,5,NA,241
CF000004400,2011-01-11,0,311,237
CF000004400,2011-01-12,89,314,234
CF000004400,2011-01-13,51,NA,238
CF000004400,2011-01-14,41,NA,232
CF000004400,2011-01-15,0,307,235
CF000004400,2011-01-16,NA,NA,242
CF000004400,2011-01-17,NA,NA,242
CF000004400,2011-01-18,719,272,222
CF000004400,2011-01-19,511,NA,230
