id,date,tmax
CGM00064220,2018-10-01,NA
CGM00064220,2018-10-02,NA
CGM00064220,2018-10-03,NA
CGM00064220,2018-10-04,NA
CGM00064220,2018-10-05,NA
CGM00064220,2018-10-06,NA
CGM00064220,2018-10-07,NA
CGM00064220,2018-10-08,NA
CGM00064220,2018-10-09,NA
CGM00064220,2018-10-10,NA
CGM00064220,2018-10-11,NA
CGM00064220,2018-10-12,NA
CGM00064220,2018-10-13,NA
CGM00064220,2018-10-14,NA
CGM00064220,2018-10-15,NA
CGM00064220,2018-10-16,NA
CGM00064220,2018-10-17,NA
CGM00064220,2018-10-18,NA
CGM00064220,2018-10-19,NA
CGM00064220,2018-10-20,NA
CGM00064220,2018-10-21,NA
CGM00064220,2018-10-22,NA
CGM00064220,2018-10-23,NA
CGM00064220,2018-10-24,NA
CGM00064220,2018-10-25,NA
CGM00064220,2018-10-26,NA
CGM00064220,2018-10-27,NA
CGM00064220,2018-10-28,295
CGM00064220,2018-10-29,NA
CGM00064220,2018-10-30,NA
CGM00064220,2018-10-31,NA
