id,date,prcp,tmin
CGM00064360,2011-06-01,NA,NA
CGM00064360,2011-06-02,NA,NA
CGM00064360,2011-06-03,NA,NA
CGM00064360,2011-06-04,NA,130
CGM00064360,2011-06-05,NA,NA
CGM00064360,2011-06-06,NA,NA
CGM00064360,2011-06-07,NA,NA
CGM00064360,2011-06-08,NA,NA
CGM00064360,2011-06-09,NA,NA
CGM00064360,2011-06-10,NA,NA
CGM00064360,2011-06-11,NA,NA
CGM00064360,2011-06-12,NA,NA
CGM00064360,2011-06-13,NA,NA
CGM00064360,2011-06-14,NA,NA
CGM00064360,2011-06-15,NA,NA
CGM00064360,2011-06-16,NA,NA
CGM00064360,2011-06-17,NA,NA
CGM00064360,2011-06-18,NA,NA
CGM00064360,2011-06-19,NA,NA
CGM00064360,2011-06-20,NA,NA
CGM00064360,2011-06-21,NA,NA
CGM00064360,2011-06-22,NA,NA
CGM00064360,2011-06-23,NA,NA
CGM00064360,2011-06-24,NA,NA
CGM00064360,2011-06-25,NA,NA
CGM00064360,2011-06-26,NA,NA
CGM00064360,2011-06-27,NA,NA
CGM00064360,2011-06-28,NA,NA
CGM00064360,2011-06-29,NA,NA
CGM00064360,2011-06-30,NA,NA
CGM00064360,2011-07-01,NA,NA
CGM00064360,2011-07-02,NA,NA
CGM00064360,2011-07-03,NA,NA
CGM00064360,2011-07-04,NA,NA
CGM00064360,2011-07-05,NA,NA
CGM00064360,2011-07-06,NA,NA
CGM00064360,2011-07-07,NA,NA
CGM00064360,2011-07-08,NA,NA
CGM00064360,2011-07-09,NA,NA
CGM00064360,2011-07-10,NA,NA
CGM00064360,2011-07-11,NA,NA
CGM00064360,2011-07-12,NA,NA
CGM00064360,2011-07-13,NA,NA
CGM00064360,2011-07-14,NA,NA
CGM00064360,2011-07-15,NA,NA
CGM00064360,2011-07-16,NA,NA
CGM00064360,2011-07-17,NA,NA
CGM00064360,2011-07-18,NA,NA
CGM00064360,2011-07-19,NA,NA
CGM00064360,2011-07-20,NA,NA
CGM00064360,2011-07-21,NA,NA
CGM00064360,2011-07-22,NA,NA
CGM00064360,2011-07-23,NA,NA
CGM00064360,2011-07-24,NA,NA
CGM00064360,2011-07-25,NA,NA
CGM00064360,2011-07-26,NA,NA
CGM00064360,2011-07-27,NA,NA
CGM00064360,2011-07-28,NA,NA
CGM00064360,2011-07-29,NA,120
CGM00064360,2011-07-30,NA,NA
CGM00064360,2011-07-31,NA,NA
CGM00064360,2011-08-01,NA,NA
CGM00064360,2011-08-02,NA,NA
CGM00064360,2011-08-03,NA,NA
CGM00064360,2011-08-04,NA,NA
CGM00064360,2011-08-05,NA,NA
CGM00064360,2011-08-06,NA,NA
CGM00064360,2011-08-07,NA,NA
CGM00064360,2011-08-08,NA,NA
CGM00064360,2011-08-09,NA,NA
CGM00064360,2011-08-10,NA,115
CGM00064360,2011-08-11,NA,NA
CGM00064360,2011-08-12,NA,NA
CGM00064360,2011-08-13,NA,NA
CGM00064360,2011-08-14,NA,NA
CGM00064360,2011-08-15,NA,NA
CGM00064360,2011-08-16,NA,NA
CGM00064360,2011-08-17,NA,NA
CGM00064360,2011-08-18,NA,NA
CGM00064360,2011-08-19,NA,NA
CGM00064360,2011-08-20,NA,NA
CGM00064360,2011-08-21,NA,NA
CGM00064360,2011-08-22,NA,NA
CGM00064360,2011-08-23,NA,NA
CGM00064360,2011-08-24,NA,NA
CGM00064360,2011-08-25,NA,NA
CGM00064360,2011-08-26,NA,NA
CGM00064360,2011-08-27,NA,NA
CGM00064360,2011-08-28,NA,NA
CGM00064360,2011-08-29,NA,NA
CGM00064360,2011-08-30,NA,NA
CGM00064360,2011-08-31,NA,NA
CGM00064360,2011-09-01,NA,NA
CGM00064360,2011-09-02,NA,NA
CGM00064360,2011-09-03,NA,NA
CGM00064360,2011-09-04,NA,NA
CGM00064360,2011-09-05,NA,NA
CGM00064360,2011-09-06,NA,NA
CGM00064360,2011-09-07,NA,NA
CGM00064360,2011-09-08,NA,NA
CGM00064360,2011-09-09,NA,NA
CGM00064360,2011-09-10,NA,NA
CGM00064360,2011-09-11,NA,NA
CGM00064360,2011-09-12,NA,142
CGM00064360,2011-09-13,NA,NA
CGM00064360,2011-09-14,NA,NA
CGM00064360,2011-09-15,NA,135
CGM00064360,2011-09-16,NA,NA
CGM00064360,2011-09-17,NA,120
CGM00064360,2011-09-18,NA,NA
CGM00064360,2011-09-19,NA,135
CGM00064360,2011-09-20,NA,NA
CGM00064360,2011-09-21,NA,NA
CGM00064360,2011-09-22,NA,NA
CGM00064360,2011-09-23,NA,NA
CGM00064360,2011-09-24,NA,NA
CGM00064360,2011-09-25,NA,NA
CGM00064360,2011-09-26,NA,NA
CGM00064360,2011-09-27,NA,NA
CGM00064360,2011-09-28,NA,NA
CGM00064360,2011-09-29,NA,NA
CGM00064360,2011-09-30,NA,NA
CGM00064360,2011-11-01,NA,NA
CGM00064360,2011-11-02,NA,NA
CGM00064360,2011-11-03,NA,NA
CGM00064360,2011-11-04,NA,NA
CGM00064360,2011-11-05,NA,NA
CGM00064360,2011-11-06,NA,NA
CGM00064360,2011-11-07,NA,NA
CGM00064360,2011-11-08,NA,NA
CGM00064360,2011-11-09,NA,NA
CGM00064360,2011-11-10,NA,NA
CGM00064360,2011-11-11,NA,NA
CGM00064360,2011-11-12,NA,NA
CGM00064360,2011-11-13,NA,NA
CGM00064360,2011-11-14,NA,NA
CGM00064360,2011-11-15,NA,NA
CGM00064360,2011-11-16,NA,NA
CGM00064360,2011-11-17,NA,NA
CGM00064360,2011-11-18,NA,NA
CGM00064360,2011-11-19,NA,NA
CGM00064360,2011-11-20,NA,NA
CGM00064360,2011-11-21,NA,NA
CGM00064360,2011-11-22,NA,NA
CGM00064360,2011-11-23,NA,NA
CGM00064360,2011-11-24,NA,NA
CGM00064360,2011-11-25,NA,NA
CGM00064360,2011-11-26,NA,NA
CGM00064360,2011-11-27,NA,NA
CGM00064360,2011-11-28,NA,NA
CGM00064360,2011-11-29,NA,175
CGM00064360,2011-11-30,NA,NA
CGM00064360,2011-12-01,NA,NA
CGM00064360,2011-12-02,NA,NA
CGM00064360,2011-12-03,NA,NA
CGM00064360,2011-12-04,NA,NA
CGM00064360,2011-12-05,NA,NA
CGM00064360,2011-12-06,NA,NA
CGM00064360,2011-12-07,NA,NA
CGM00064360,2011-12-08,NA,NA
CGM00064360,2011-12-09,NA,NA
CGM00064360,2011-12-10,NA,NA
CGM00064360,2011-12-11,NA,NA
CGM00064360,2011-12-12,NA,NA
CGM00064360,2011-12-13,NA,NA
CGM00064360,2011-12-14,NA,NA
CGM00064360,2011-12-15,NA,NA
CGM00064360,2011-12-16,NA,NA
CGM00064360,2011-12-17,NA,NA
CGM00064360,2011-12-18,NA,NA
CGM00064360,2011-12-19,NA,NA
CGM00064360,2011-12-20,NA,NA
CGM00064360,2011-12-21,NA,NA
CGM00064360,2011-12-22,NA,NA
CGM00064360,2011-12-23,NA,NA
CGM00064360,2011-12-24,109,180
CGM00064360,2011-12-25,NA,NA
