id,date,prcp,tmax,tmin
CHM00058666,2010-01-01,10,109,45
CHM00058666,2010-01-02,0,121,79
CHM00058666,2010-01-03,0,116,75
CHM00058666,2010-01-04,NA,161,NA
CHM00058666,2010-01-05,23,57,NA
CHM00058666,2010-01-06,20,47,19
CHM00058666,2010-01-07,10,58,28
CHM00058666,2010-01-08,0,63,32
CHM00058666,2010-01-09,NA,114,46
CHM00058666,2010-01-10,127,109,NA
CHM00058666,2010-01-11,84,81,NA
CHM00058666,2010-01-12,NA,57,17
CHM00058666,2010-01-13,NA,51,NA
CHM00058666,2010-01-14,NA,NA,13
CHM00058666,2010-01-15,NA,125,57
CHM00058666,2010-01-16,5,85,59
CHM00058666,2010-01-17,0,106,68
CHM00058666,2010-01-18,NA,NA,70
CHM00058666,2010-01-19,15,186,100
CHM00058666,2010-01-20,NA,190,NA
CHM00058666,2010-01-21,61,137,NA
CHM00058666,2010-01-22,0,46,36
CHM00058666,2010-01-23,15,53,NA
CHM00058666,2010-01-24,30,NA,22
CHM00058666,2010-01-25,0,94,NA
CHM00058666,2010-01-26,NA,84,NA
CHM00058666,2010-01-27,132,133,65
CHM00058666,2010-01-28,46,109,NA
CHM00058666,2010-01-29,3,109,79
CHM00058666,2010-01-30,0,157,NA
CHM00058666,2010-01-31,41,139,NA
CHM00058666,2010-02-01,0,100,NA
CHM00058666,2010-02-02,94,NA,53
CHM00058666,2010-02-03,91,81,62
CHM00058666,2010-02-04,147,80,60
CHM00058666,2010-02-05,188,NA,68
CHM00058666,2010-02-06,196,113,83
CHM00058666,2010-02-07,8,118,90
CHM00058666,2010-02-08,5,144,96
CHM00058666,2010-02-09,5,182,114
CHM00058666,2010-02-10,3,189,NA
CHM00058666,2010-02-11,132,100,NA
CHM00058666,2010-02-12,NA,41,NA
CHM00058666,2010-02-13,178,55,4
CHM00058666,2010-02-14,165,76,32
CHM00058666,2010-02-15,56,62,NA
CHM00058666,2010-02-16,0,44,27
CHM00058666,2010-02-17,0,60,31
CHM00058666,2010-02-18,NA,62,43
CHM00058666,2010-02-19,NA,80,41
CHM00058666,2010-02-20,NA,104,45
CHM00058666,2010-02-21,NA,152,66
CHM00058666,2010-02-22,3,170,NA
CHM00058666,2010-02-23,5,140,83
CHM00058666,2010-02-24,0,153,NA
CHM00058666,2010-02-25,150,161,104
CHM00058666,2010-02-26,124,154,NA
CHM00058666,2010-02-27,10,131,87
CHM00058666,2010-02-28,0,157,93
CHM00058666,2010-03-01,211,158,NA
CHM00058666,2010-03-02,66,95,71
CHM00058666,2010-03-03,20,97,78
CHM00058666,2010-03-04,84,107,NA
CHM00058666,2010-03-05,165,108,79
CHM00058666,2010-03-06,290,94,NA
CHM00058666,2010-03-07,66,61,40
CHM00058666,2010-03-08,198,80,42
CHM00058666,2010-03-09,0,60,NA
CHM00058666,2010-03-10,0,68,-5
CHM00058666,2010-03-11,NA,NA,37
CHM00058666,2010-03-12,NA,NA,78
CHM00058666,2010-03-13,318,184,112
CHM00058666,2010-03-14,91,176,NA
CHM00058666,2010-03-15,66,157,NA
CHM00058666,2010-03-16,0,107,65
CHM00058666,2010-03-17,NA,138,73
CHM00058666,2010-03-18,NA,119,NA
CHM00058666,2010-03-19,3,144,81
CHM00058666,2010-03-20,0,216,109
CHM00058666,2010-03-21,NA,NA,NA
CHM00058666,2010-03-22,NA,173,95
CHM00058666,2010-03-23,84,151,NA
CHM00058666,2010-03-24,211,95,NA
CHM00058666,2010-03-25,0,124,64
CHM00058666,2010-03-26,NA,104,NA
CHM00058666,2010-03-27,NA,121,67
CHM00058666,2010-03-28,NA,135,81
CHM00058666,2010-03-29,NA,133,NA
CHM00058666,2010-03-30,23,NA,102
CHM00058666,2010-03-31,0,183,119
CHM00058666,2010-04-01,61,187,NA
CHM00058666,2010-04-02,28,102,71
CHM00058666,2010-04-03,51,117,72
CHM00058666,2010-04-04,30,112,90
CHM00058666,2010-04-05,3,166,104
CHM00058666,2010-04-06,64,126,NA
CHM00058666,2010-04-07,61,119,88
CHM00058666,2010-04-08,234,110,86
CHM00058666,2010-04-09,NA,131,92
CHM00058666,2010-04-10,5,159,106
CHM00058666,2010-04-11,142,159,120
CHM00058666,2010-04-12,41,166,NA
CHM00058666,2010-04-13,81,124,NA
CHM00058666,2010-04-14,236,92,59
CHM00058666,2010-04-15,107,84,66
CHM00058666,2010-04-16,76,111,69
CHM00058666,2010-04-17,0,144,84
CHM00058666,2010-04-18,165,168,122
CHM00058666,2010-04-19,36,194,142
CHM00058666,2010-04-20,5,186,NA
CHM00058666,2010-04-21,23,NA,NA
CHM00058666,2010-04-22,305,172,NA
CHM00058666,2010-04-23,0,166,NA
CHM00058666,2010-04-24,NA,156,111
CHM00058666,2010-04-25,NA,167,110
CHM00058666,2010-04-26,132,156,NA
CHM00058666,2010-04-27,NA,192,128
CHM00058666,2010-04-28,NA,217,NA
CHM00058666,2010-04-29,NA,171,119
CHM00058666,2010-04-30,3,210,139
CHM00058666,2010-05-01,0,222,153
CHM00058666,2010-05-02,NA,225,NA
CHM00058666,2010-05-03,0,235,183
CHM00058666,2010-05-04,0,219,NA
CHM00058666,2010-05-05,58,204,NA
CHM00058666,2010-05-06,333,249,NA
CHM00058666,2010-05-07,0,177,131
CHM00058666,2010-05-08,312,185,NA
CHM00058666,2010-05-09,51,175,120
CHM00058666,2010-05-10,0,204,NA
