id,date,prcp,tmax,tmin
CI000085629,2010-01-01,0,276,125
CI000085629,2010-01-02,0,NA,120
CI000085629,2010-01-03,0,NA,122
CI000085629,2010-01-04,0,276,146
CI000085629,2010-01-05,0,NA,120
CI000085629,2010-01-06,0,NA,103
CI000085629,2010-01-07,0,NA,114
CI000085629,2010-01-08,0,302,125
CI000085629,2010-01-09,0,NA,120
CI000085629,2010-01-10,0,NA,125
CI000085629,2010-01-11,0,312,76
CI000085629,2010-01-12,71,266,100
CI000085629,2010-01-13,0,NA,96
CI000085629,2010-01-14,0,NA,108
CI000085629,2010-01-15,0,NA,126
CI000085629,2010-01-16,0,318,112
CI000085629,2010-01-17,0,310,152
CI000085629,2010-01-18,0,316,159
CI000085629,2010-01-19,0,NA,106
CI000085629,2010-01-20,0,NA,146
CI000085629,2010-01-21,0,330,170
CI000085629,2010-01-22,0,327,156
CI000085629,2010-01-23,0,NA,NA
CI000085629,2010-01-24,0,NA,NA
CI000085629,2010-01-25,0,322,144
CI000085629,2010-01-26,0,315,138
CI000085629,2010-01-27,NA,NA,NA
CI000085629,2010-01-28,0,320,153
CI000085629,2010-01-29,0,326,138
CI000085629,2010-01-30,0,274,122
CI000085629,2010-01-31,0,NA,106
CI000085629,2010-02-01,0,NA,131
CI000085629,2010-02-02,0,300,113
CI000085629,2010-02-03,0,286,81
CI000085629,2010-02-04,0,NA,100
CI000085629,2010-02-05,0,NA,106
CI000085629,2010-02-06,0,289,NA
CI000085629,2010-02-07,0,NA,122
CI000085629,2010-02-08,0,NA,146
CI000085629,2010-02-09,0,290,132
CI000085629,2010-02-10,NA,NA,124
CI000085629,2010-02-11,0,NA,112
CI000085629,2010-02-12,0,310,108
CI000085629,2010-02-13,0,316,107
CI000085629,2010-02-14,0,298,122
CI000085629,2010-02-15,0,288,117
CI000085629,2010-02-16,0,NA,98
CI000085629,2010-02-17,0,316,92
CI000085629,2010-02-18,0,279,78
CI000085629,2010-02-19,0,274,127
CI000085629,2010-02-20,0,NA,118
CI000085629,2010-02-21,0,NA,98
CI000085629,2010-02-22,0,298,114
CI000085629,2010-02-23,0,NA,88
CI000085629,2010-02-24,0,NA,83
CI000085629,2010-02-25,0,298,116
CI000085629,2010-02-26,0,NA,87
CI000085629,2010-02-27,NA,NA,NA
CI000085629,2010-02-28,NA,NA,NA
CI000085629,2010-03-01,NA,NA,NA
CI000085629,2010-03-02,0,NA,146
CI000085629,2010-03-03,0,NA,NA
CI000085629,2010-03-04,0,NA,98
CI000085629,2010-03-05,0,NA,113
CI000085629,2010-03-06,0,NA,109
CI000085629,2010-03-07,0,NA,116
CI000085629,2010-03-08,0,NA,118
CI000085629,2010-03-09,0,NA,73
CI000085629,2010-03-10,0,NA,96
CI000085629,2010-03-11,0,NA,98
CI000085629,2010-03-12,0,NA,116
CI000085629,2010-03-13,0,NA,90
CI000085629,2010-03-14,0,NA,100
CI000085629,2010-03-15,0,NA,90
CI000085629,2010-03-16,0,NA,120
CI000085629,2010-03-17,0,NA,136
CI000085629,2010-03-18,0,NA,84
CI000085629,2010-03-19,0,NA,86
CI000085629,2010-03-20,0,NA,86
CI000085629,2010-03-21,0,NA,124
CI000085629,2010-03-22,0,NA,104
CI000085629,2010-03-23,0,NA,76
CI000085629,2010-03-24,0,NA,101
CI000085629,2010-03-25,0,NA,88
