id,date,prcp,tmax,tmin
CIM00085574,2010-01-01,0,NA,116
CIM00085574,2010-01-02,0,NA,137
CIM00085574,2010-01-03,0,348,117
CIM00085574,2010-01-04,0,NA,115
CIM00085574,2010-01-05,0,NA,127
CIM00085574,2010-01-06,0,NA,138
CIM00085574,2010-01-07,0,305,143
CIM00085574,2010-01-08,0,NA,115
CIM00085574,2010-01-09,0,NA,122
CIM00085574,2010-01-10,0,320,129
CIM00085574,2010-01-11,0,304,111
CIM00085574,2010-01-12,0,NA,90
CIM00085574,2010-01-13,0,NA,97
CIM00085574,2010-01-14,0,NA,121
CIM00085574,2010-01-15,0,333,120
CIM00085574,2010-01-16,0,NA,135
CIM00085574,2010-01-17,0,306,139
CIM00085574,2010-01-18,0,318,149
CIM00085574,2010-01-19,0,NA,128
CIM00085574,2010-01-20,NA,NA,NA
CIM00085574,2010-01-21,0,359,163
CIM00085574,2010-01-22,0,351,144
CIM00085574,2010-01-23,NA,323,NA
CIM00085574,2010-01-24,0,NA,148
CIM00085574,2010-01-25,0,310,166
CIM00085574,2010-01-26,0,300,162
CIM00085574,2010-01-27,0,NA,151
CIM00085574,2010-01-28,0,351,158
CIM00085574,2010-01-29,0,323,NA
CIM00085574,2010-01-30,0,316,141
CIM00085574,2010-01-31,0,NA,NA
CIM00085574,2010-02-01,0,327,136
CIM00085574,2010-02-02,0,322,120
CIM00085574,2010-02-03,0,282,108
CIM00085574,2010-02-04,0,NA,119
CIM00085574,2010-02-05,0,296,124
CIM00085574,2010-02-06,0,283,97
CIM00085574,2010-02-07,0,NA,128
CIM00085574,2010-02-08,0,NA,123
CIM00085574,2010-02-09,0,333,137
CIM00085574,2010-02-10,0,NA,142
CIM00085574,2010-02-11,0,333,130
CIM00085574,2010-02-12,0,NA,129
CIM00085574,2010-02-13,0,335,138
CIM00085574,2010-02-14,0,338,NA
CIM00085574,2010-02-15,0,NA,109
CIM00085574,2010-02-16,0,319,116
CIM00085574,2010-02-17,0,305,109
CIM00085574,2010-02-18,0,294,NA
CIM00085574,2010-02-19,0,NA,115
CIM00085574,2010-02-20,0,NA,143
CIM00085574,2010-02-21,0,316,131
CIM00085574,2010-02-22,0,290,109
CIM00085574,2010-02-23,0,NA,90
CIM00085574,2010-02-24,0,303,103
CIM00085574,2010-02-25,0,NA,112
CIM00085574,2010-02-26,0,NA,114
CIM00085574,2010-02-27,0,270,108
CIM00085574,2010-02-28,NA,NA,NA
CIM00085574,2010-03-01,0,NA,118
CIM00085574,2010-03-02,NA,277,NA
CIM00085574,2010-03-03,0,NA,100
CIM00085574,2010-03-04,0,NA,110
CIM00085574,2010-03-05,0,NA,107
CIM00085574,2010-03-06,0,338,126
CIM00085574,2010-03-07,0,344,123
CIM00085574,2010-03-08,0,NA,NA
CIM00085574,2010-03-09,0,NA,108
CIM00085574,2010-03-10,0,315,104
CIM00085574,2010-03-11,0,307,103
CIM00085574,2010-03-12,0,269,126
CIM00085574,2010-03-13,0,NA,99
CIM00085574,2010-03-14,0,NA,91
CIM00085574,2010-03-15,0,NA,110
CIM00085574,2010-03-16,0,333,109
CIM00085574,2010-03-17,0,250,134
CIM00085574,2010-03-18,0,NA,90
CIM00085574,2010-03-19,0,NA,98
CIM00085574,2010-03-20,0,297,117
