id,date,prcp,tmax,tmin
CMM00064851,2012-07-01,NA,NA,NA
CMM00064851,2012-07-02,NA,NA,NA
CMM00064851,2012-07-03,NA,NA,NA
CMM00064851,2012-07-04,NA,NA,NA
CMM00064851,2012-07-05,NA,NA,NA
CMM00064851,2012-07-06,NA,NA,NA
CMM00064851,2012-07-07,NA,NA,NA
CMM00064851,2012-07-08,NA,NA,NA
CMM00064851,2012-07-09,NA,NA,NA
CMM00064851,2012-07-10,NA,NA,NA
CMM00064851,2012-07-11,NA,NA,NA
CMM00064851,2012-07-12,NA,NA,NA
CMM00064851,2012-07-13,NA,NA,NA
CMM00064851,2012-07-14,NA,NA,NA
CMM00064851,2012-07-15,NA,NA,NA
CMM00064851,2012-07-16,NA,NA,NA
CMM00064851,2012-07-17,NA,NA,NA
CMM00064851,2012-07-18,NA,NA,NA
CMM00064851,2012-07-19,NA,NA,NA
CMM00064851,2012-07-20,NA,NA,NA
CMM00064851,2012-07-21,NA,NA,NA
CMM00064851,2012-07-22,NA,NA,NA
CMM00064851,2012-07-23,109,NA,195
CMM00064851,2012-07-24,0,NA,NA
CMM00064851,2012-07-25,NA,NA,NA
CMM00064851,2012-07-26,NA,NA,NA
CMM00064851,2012-07-27,NA,NA,NA
CMM00064851,2012-07-28,NA,NA,NA
CMM00064851,2012-07-29,NA,NA,NA
CMM00064851,2012-07-30,NA,NA,NA
CMM00064851,2012-07-31,NA,NA,NA
CMM00064851,2015-07-01,NA,NA,NA
CMM00064851,2015-07-02,NA,NA,NA
CMM00064851,2015-07-03,NA,NA,NA
CMM00064851,2015-07-04,NA,NA,NA
CMM00064851,2015-07-05,NA,NA,NA
CMM00064851,2015-07-06,NA,NA,NA
CMM00064851,2015-07-07,NA,NA,NA
CMM00064851,2015-07-08,NA,NA,NA
CMM00064851,2015-07-09,NA,NA,NA
CMM00064851,2015-07-10,NA,NA,NA
CMM00064851,2015-07-11,NA,NA,NA
CMM00064851,2015-07-12,NA,NA,NA
CMM00064851,2015-07-13,NA,NA,NA
CMM00064851,2015-07-14,NA,NA,NA
CMM00064851,2015-07-15,NA,NA,NA
CMM00064851,2015-07-16,NA,NA,NA
CMM00064851,2015-07-17,NA,NA,NA
CMM00064851,2015-07-18,NA,NA,NA
CMM00064851,2015-07-19,NA,NA,NA
CMM00064851,2015-07-20,NA,NA,NA
CMM00064851,2015-07-21,NA,NA,NA
CMM00064851,2015-07-22,NA,NA,NA
CMM00064851,2015-07-23,NA,NA,NA
CMM00064851,2015-07-24,NA,NA,NA
CMM00064851,2015-07-25,NA,NA,NA
CMM00064851,2015-07-26,NA,NA,NA
CMM00064851,2015-07-27,NA,NA,NA
CMM00064851,2015-07-28,NA,326,NA
CMM00064851,2015-07-29,NA,NA,NA
CMM00064851,2015-07-30,NA,NA,NA
CMM00064851,2015-07-31,NA,NA,NA
CMM00064851,2015-08-01,NA,NA,NA
CMM00064851,2015-08-02,NA,NA,NA
CMM00064851,2015-08-03,NA,NA,NA
CMM00064851,2015-08-04,NA,NA,NA
CMM00064851,2015-08-05,NA,NA,NA
CMM00064851,2015-08-06,NA,NA,NA
CMM00064851,2015-08-07,NA,NA,NA
