id,date,prcp,tmax,tmin
CO000080259,2010-01-01,NA,307,NA
CO000080259,2010-01-02,NA,NA,190
CO000080259,2010-01-03,NA,322,188
CO000080259,2010-01-04,NA,310,181
CO000080259,2010-01-05,NA,310,189
CO000080259,2010-01-06,NA,314,NA
CO000080259,2010-01-07,NA,NA,NA
CO000080259,2010-01-08,NA,322,212
CO000080259,2010-01-09,NA,NA,200
CO000080259,2010-01-10,NA,NA,NA
CO000080259,2010-01-11,0,308,204
CO000080259,2010-01-12,NA,NA,206
CO000080259,2010-01-13,NA,NA,188
CO000080259,2010-01-14,NA,328,194
CO000080259,2010-01-15,NA,324,197
CO000080259,2010-01-16,NA,319,195
CO000080259,2010-01-17,NA,322,NA
CO000080259,2010-01-18,NA,332,208
CO000080259,2010-01-19,NA,NA,200
CO000080259,2010-01-20,NA,NA,205
CO000080259,2010-01-21,NA,332,206
CO000080259,2010-01-22,NA,NA,NA
CO000080259,2010-01-23,NA,NA,196
CO000080259,2010-01-24,NA,320,200
CO000080259,2010-01-25,NA,NA,202
CO000080259,2010-01-26,41,294,200
CO000080259,2010-01-27,0,NA,NA
CO000080259,2010-01-28,NA,314,194
CO000080259,2010-01-29,0,NA,188
CO000080259,2010-01-30,NA,NA,NA
CO000080259,2010-01-31,NA,322,189
CO000080259,2010-02-01,NA,334,182
CO000080259,2010-02-02,NA,340,182
CO000080259,2010-02-03,NA,NA,192
CO000080259,2010-02-04,NA,353,NA
CO000080259,2010-02-05,NA,342,NA
CO000080259,2010-02-06,89,NA,206
CO000080259,2010-02-07,0,NA,NA
CO000080259,2010-02-08,NA,NA,190
CO000080259,2010-02-09,41,314,NA
CO000080259,2010-02-10,30,NA,196
CO000080259,2010-02-11,0,NA,200
CO000080259,2010-02-12,NA,320,206
CO000080259,2010-02-13,NA,322,196
CO000080259,2010-02-14,NA,327,196
CO000080259,2010-02-15,NA,NA,NA
CO000080259,2010-02-16,NA,330,201
CO000080259,2010-02-17,NA,NA,NA
CO000080259,2010-02-18,NA,NA,199
CO000080259,2010-02-19,NA,338,200
CO000080259,2010-02-20,NA,320,NA
CO000080259,2010-02-21,NA,NA,NA
CO000080259,2010-02-22,NA,327,210
CO000080259,2010-02-23,NA,NA,NA
CO000080259,2010-02-24,NA,NA,NA
CO000080259,2010-02-25,3,310,186
CO000080259,2010-02-26,0,308,NA
CO000080259,2010-02-27,5,NA,189
CO000080259,2010-02-28,89,NA,204
CO000080259,2010-03-01,0,NA,NA
CO000080259,2010-03-02,30,NA,208
CO000080259,2010-03-03,10,NA,210
CO000080259,2010-03-04,8,NA,200
CO000080259,2010-03-05,0,NA,198
CO000080259,2010-03-06,NA,326,204
CO000080259,2010-03-07,8,332,NA
CO000080259,2010-03-08,0,NA,204
CO000080259,2010-03-09,NA,338,224
CO000080259,2010-03-10,NA,326,220
CO000080259,2010-03-11,NA,NA,NA
CO000080259,2010-03-12,8,NA,196
CO000080259,2010-03-13,0,330,196
CO000080259,2010-03-14,NA,324,NA
CO000080259,2010-03-15,NA,NA,NA
CO000080259,2010-03-16,NA,339,NA
CO000080259,2010-03-17,NA,308,210
