id,date,prcp,tmax,tmin
CSM00078762,2010-01-01,NA,NA,NA
CSM00078762,2010-01-02,NA,293,195
CSM00078762,2010-01-03,NA,279,189
CSM00078762,2010-01-04,NA,NA,NA
CSM00078762,2010-01-05,NA,300,175
CSM00078762,2010-01-06,NA,291,181
CSM00078762,2010-01-07,NA,285,195
CSM00078762,2010-01-08,NA,290,201
CSM00078762,2010-01-09,NA,NA,NA
CSM00078762,2010-01-10,NA,297,199
CSM00078762,2010-01-11,NA,279,200
CSM00078762,2010-01-12,NA,270,187
CSM00078762,2010-01-13,NA,263,184
CSM00078762,2010-01-14,NA,NA,NA
CSM00078762,2010-01-15,NA,302,187
CSM00078762,2010-01-16,NA,306,187
CSM00078762,2010-01-17,NA,315,187
CSM00078762,2010-01-18,NA,NA,NA
CSM00078762,2010-01-19,NA,293,190
CSM00078762,2010-01-20,NA,300,196
CSM00078762,2010-01-21,NA,NA,NA
CSM00078762,2010-01-22,NA,309,171
CSM00078762,2010-01-23,NA,NA,NA
CSM00078762,2010-01-24,NA,NA,NA
CSM00078762,2010-01-25,15,NA,NA
CSM00078762,2010-01-26,0,305,162
CSM00078762,2010-01-27,NA,NA,NA
CSM00078762,2010-01-28,NA,NA,NA
CSM00078762,2010-01-29,NA,293,182
CSM00078762,2010-01-30,NA,299,187
CSM00078762,2010-01-31,NA,NA,NA
CSM00078762,2010-02-01,NA,304,198
CSM00078762,2010-02-02,NA,293,214
CSM00078762,2010-02-03,NA,297,213
CSM00078762,2010-02-04,NA,NA,NA
CSM00078762,2010-02-05,NA,NA,NA
CSM00078762,2010-02-06,NA,326,155
CSM00078762,2010-02-07,NA,NA,NA
CSM00078762,2010-02-08,NA,291,173
CSM00078762,2010-02-09,NA,NA,NA
CSM00078762,2010-02-10,NA,310,189
CSM00078762,2010-02-11,NA,312,200
CSM00078762,2010-02-12,NA,293,182
CSM00078762,2010-02-13,NA,306,183
CSM00078762,2010-02-14,NA,310,199
CSM00078762,2010-02-15,NA,NA,NA
CSM00078762,2010-02-16,NA,308,192
CSM00078762,2010-02-17,NA,302,206
CSM00078762,2010-02-18,NA,303,206
CSM00078762,2010-02-19,NA,299,207
CSM00078762,2010-02-20,NA,NA,NA
CSM00078762,2010-02-21,NA,321,207
CSM00078762,2010-02-22,5,NA,NA
CSM00078762,2010-02-23,10,NA,NA
CSM00078762,2010-02-24,13,309,205
CSM00078762,2010-02-25,0,293,196
CSM00078762,2010-02-26,94,293,192
CSM00078762,2010-02-27,0,NA,NA
CSM00078762,2010-02-28,NA,307,192
CSM00078762,2010-03-01,NA,NA,NA
CSM00078762,2010-03-02,NA,315,189
CSM00078762,2010-03-03,NA,309,188
CSM00078762,2010-03-04,NA,295,191
CSM00078762,2010-03-05,NA,NA,NA
