id,date,prcp,tmax,tmin
CUM00078325,2010-01-01,0,284,176
CUM00078325,2010-01-02,53,281,172
CUM00078325,2010-01-03,0,206,160
CUM00078325,2010-01-04,NA,NA,NA
CUM00078325,2010-01-05,0,220,150
CUM00078325,2010-01-06,0,220,169
CUM00078325,2010-01-07,0,197,159
CUM00078325,2010-01-08,0,231,133
CUM00078325,2010-01-09,51,245,133
CUM00078325,2010-01-10,91,NA,NA
CUM00078325,2010-01-11,NA,NA,NA
CUM00078325,2010-01-12,0,188,115
CUM00078325,2010-01-13,0,195,122
CUM00078325,2010-01-14,0,NA,NA
CUM00078325,2010-01-15,0,301,131
CUM00078325,2010-01-16,0,301,191
CUM00078325,2010-01-17,13,300,191
CUM00078325,2010-01-18,0,262,208
CUM00078325,2010-01-19,NA,253,204
CUM00078325,2010-01-20,0,282,196
CUM00078325,2010-01-21,NA,NA,NA
CUM00078325,2010-01-22,0,303,210
CUM00078325,2010-01-23,NA,NA,NA
CUM00078325,2010-01-24,0,313,204
CUM00078325,2010-01-25,0,299,205
CUM00078325,2010-01-26,0,293,191
CUM00078325,2010-01-27,0,NA,NA
CUM00078325,2010-01-28,0,NA,NA
CUM00078325,2010-01-29,NA,259,182
CUM00078325,2010-01-30,NA,NA,NA
CUM00078325,2010-01-31,NA,NA,NA
CUM00078325,2010-02-01,NA,NA,NA
CUM00078325,2010-02-02,NA,NA,NA
CUM00078325,2010-02-03,NA,NA,NA
CUM00078325,2010-02-04,NA,NA,NA
CUM00078325,2010-02-05,NA,NA,NA
CUM00078325,2010-02-06,NA,NA,NA
CUM00078325,2010-02-07,NA,NA,NA
CUM00078325,2010-02-08,NA,NA,NA
CUM00078325,2010-02-09,NA,NA,NA
CUM00078325,2010-02-10,5,286,166
CUM00078325,2010-02-11,NA,NA,NA
CUM00078325,2010-02-12,0,280,151
CUM00078325,2010-02-13,76,280,145
CUM00078325,2010-02-14,0,224,161
CUM00078325,2010-02-15,0,232,141
CUM00078325,2010-02-16,41,232,141
CUM00078325,2010-02-17,NA,208,177
CUM00078325,2010-02-18,NA,NA,NA
CUM00078325,2010-02-19,0,215,165
CUM00078325,2010-02-20,0,261,165
CUM00078325,2010-02-21,NA,268,166
CUM00078325,2010-02-22,904,280,184
CUM00078325,2010-02-23,1336,246,195
CUM00078325,2010-02-24,0,275,196
CUM00078325,2010-02-25,94,288,170
CUM00078325,2010-02-26,0,196,149
CUM00078325,2010-02-27,23,230,141
CUM00078325,2010-02-28,58,237,141
CUM00078325,2010-03-01,0,NA,NA
CUM00078325,2010-03-02,0,NA,NA
CUM00078325,2010-03-03,58,286,161
CUM00078325,2010-03-04,0,NA,NA
CUM00078325,2010-03-05,0,216,161
CUM00078325,2010-03-06,NA,201,155
CUM00078325,2010-03-07,0,222,143
CUM00078325,2010-03-08,0,233,143
CUM00078325,2010-03-09,0,246,161
CUM00078325,2010-03-10,0,282,161
CUM00078325,2010-03-11,NA,289,178
CUM00078325,2010-03-12,0,294,231
CUM00078325,2010-03-13,89,306,219
CUM00078325,2010-03-14,0,256,201
CUM00078325,2010-03-15,0,257,172
CUM00078325,2010-03-16,0,256,172
CUM00078325,2010-03-17,10,232,175
CUM00078325,2010-03-18,18,236,151
CUM00078325,2010-03-19,13,241,151
CUM00078325,2010-03-20,0,266,145
CUM00078325,2010-03-21,NA,NA,NA
CUM00078325,2010-03-22,218,301,195
CUM00078325,2010-03-23,0,242,192
CUM00078325,2010-03-24,0,246,171
CUM00078325,2010-03-25,0,286,171
CUM00078325,2010-03-26,0,316,195
CUM00078325,2010-03-27,10,319,221
CUM00078325,2010-03-28,0,317,219
CUM00078325,2010-03-29,NA,NA,NA
CUM00078325,2010-03-30,46,262,186
CUM00078325,2010-03-31,0,232,169
CUM00078325,2010-04-01,0,248,166
CUM00078325,2010-04-02,NA,262,166
CUM00078325,2010-04-03,0,269,175
CUM00078325,2010-04-04,0,269,181
CUM00078325,2010-04-05,0,272,190
CUM00078325,2010-04-06,0,276,199
CUM00078325,2010-04-07,0,306,199
CUM00078325,2010-04-08,0,307,201
CUM00078325,2010-04-09,0,307,204
CUM00078325,2010-04-10,0,290,217
CUM00078325,2010-04-11,NA,284,216
CUM00078325,2010-04-12,5,281,216
CUM00078325,2010-04-13,3,270,211
CUM00078325,2010-04-14,0,272,211
