id,date,prcp,tmax,tmin
DRM00078458,2010-01-01,NA,306,192
DRM00078458,2010-01-02,NA,296,192
DRM00078458,2010-01-03,36,NA,NA
DRM00078458,2010-01-04,64,262,217
DRM00078458,2010-01-05,18,NA,NA
DRM00078458,2010-01-06,792,272,202
DRM00078458,2010-01-07,147,243,200
DRM00078458,2010-01-08,218,NA,NA
DRM00078458,2010-01-09,0,NA,NA
DRM00078458,2010-01-10,NA,306,195
DRM00078458,2010-01-11,198,285,205
DRM00078458,2010-01-12,79,256,200
DRM00078458,2010-01-13,968,230,205
DRM00078458,2010-01-14,0,NA,NA
DRM00078458,2010-01-15,178,284,195
DRM00078458,2010-01-16,20,278,194
DRM00078458,2010-01-17,117,285,194
DRM00078458,2010-01-18,0,288,183
DRM00078458,2010-01-19,NA,288,183
DRM00078458,2010-01-20,NA,285,183
DRM00078458,2010-01-21,5,297,200
DRM00078458,2010-01-22,0,326,200
DRM00078458,2010-01-23,NA,334,200
DRM00078458,2010-01-24,NA,300,200
DRM00078458,2010-01-25,NA,294,205
DRM00078458,2010-01-26,NA,293,205
DRM00078458,2010-01-27,NA,296,192
DRM00078458,2010-01-28,NA,296,192
DRM00078458,2010-01-29,41,288,200
DRM00078458,2010-01-30,8,308,200
DRM00078458,2010-01-31,0,320,200
DRM00078458,2010-02-01,NA,325,200
DRM00078458,2010-02-02,NA,301,196
DRM00078458,2010-02-03,NA,301,196
DRM00078458,2010-02-04,NA,290,210
DRM00078458,2010-02-05,132,285,203
DRM00078458,2010-02-06,0,306,200
DRM00078458,2010-02-07,NA,306,200
DRM00078458,2010-02-08,290,296,212
DRM00078458,2010-02-09,163,276,210
DRM00078458,2010-02-10,0,280,208
DRM00078458,2010-02-11,NA,302,208
DRM00078458,2010-02-12,23,276,204
DRM00078458,2010-02-13,0,NA,NA
DRM00078458,2010-02-14,NA,285,204
DRM00078458,2010-02-15,325,305,205
DRM00078458,2010-02-16,15,305,205
DRM00078458,2010-02-17,51,295,205
DRM00078458,2010-02-18,338,278,205
DRM00078458,2010-02-19,51,243,185
DRM00078458,2010-02-20,23,272,185
DRM00078458,2010-02-21,0,282,170
DRM00078458,2010-02-22,10,299,170
DRM00078458,2010-02-23,0,299,185
DRM00078458,2010-02-24,36,294,213
DRM00078458,2010-02-25,0,294,213
DRM00078458,2010-02-26,53,294,196
DRM00078458,2010-02-27,25,296,196
DRM00078458,2010-02-28,0,305,205
DRM00078458,2010-03-01,97,286,210
DRM00078458,2010-03-02,3,320,208
DRM00078458,2010-03-03,0,320,205
DRM00078458,2010-03-04,91,304,205
DRM00078458,2010-03-05,97,240,195
DRM00078458,2010-03-06,150,NA,NA
DRM00078458,2010-03-07,48,NA,NA
DRM00078458,2010-03-08,36,NA,NA
DRM00078458,2010-03-09,0,NA,NA
DRM00078458,2010-03-10,NA,NA,NA
DRM00078458,2010-03-11,NA,NA,NA
DRM00078458,2010-03-12,NA,NA,NA
DRM00078458,2010-03-13,NA,NA,NA
DRM00078458,2010-03-14,NA,318,203
DRM00078458,2010-03-15,NA,299,220
DRM00078458,2010-03-16,46,299,239
DRM00078458,2010-03-17,3,280,222
DRM00078458,2010-03-18,0,NA,NA
DRM00078458,2010-03-19,8,304,210
DRM00078458,2010-03-20,287,305,231
DRM00078458,2010-03-21,0,NA,NA
DRM00078458,2010-03-22,NA,NA,NA
DRM00078458,2010-03-23,NA,NA,NA
DRM00078458,2010-03-24,NA,310,216
DRM00078458,2010-03-25,20,306,216
DRM00078458,2010-03-26,0,320,212
DRM00078458,2010-03-27,NA,320,208
DRM00078458,2010-03-28,NA,304,208
DRM00078458,2010-03-29,NA,311,226
DRM00078458,2010-03-30,NA,311,225
DRM00078458,2010-03-31,NA,310,226
DRM00078458,2010-04-01,1095,310,224
DRM00078458,2010-04-02,0,270,220
DRM00078458,2010-04-03,NA,NA,NA
DRM00078458,2010-04-04,NA,280,190
DRM00078458,2010-04-05,NA,281,187
DRM00078458,2010-04-06,0,285,187
DRM00078458,2010-04-07,107,285,204
DRM00078458,2010-04-08,18,NA,NA
DRM00078458,2010-04-09,0,302,207
DRM00078458,2010-04-10,NA,302,215
DRM00078458,2010-04-11,23,300,200
DRM00078458,2010-04-12,51,288,200
DRM00078458,2010-04-13,13,310,213
DRM00078458,2010-04-14,79,310,213
DRM00078458,2010-04-15,56,286,221
DRM00078458,2010-04-16,25,272,221
DRM00078458,2010-04-17,15,289,212
DRM00078458,2010-04-18,0,323,212
DRM00078458,2010-04-19,99,325,215
DRM00078458,2010-04-20,3,298,230
DRM00078458,2010-04-21,8,292,230
DRM00078458,2010-04-22,0,294,231
DRM00078458,2010-04-23,NA,301,228
DRM00078458,2010-04-24,NA,301,226
DRM00078458,2010-04-25,5,302,226
DRM00078458,2010-04-26,0,340,225
DRM00078458,2010-04-27,NA,340,225
DRM00078458,2010-04-28,NA,327,225
DRM00078458,2010-04-29,NA,327,230
DRM00078458,2010-04-30,NA,NA,NA
DRM00078458,2010-05-01,NA,320,230
DRM00078458,2010-05-02,NA,320,230
DRM00078458,2010-05-03,36,NA,NA
DRM00078458,2010-05-04,119,310,220
DRM00078458,2010-05-05,0,310,220
DRM00078458,2010-05-06,NA,310,217
DRM00078458,2010-05-07,NA,310,217
DRM00078458,2010-05-08,NA,310,217
DRM00078458,2010-05-09,NA,308,217
DRM00078458,2010-05-10,NA,NA,NA
DRM00078458,2010-05-11,239,305,220
DRM00078458,2010-05-12,145,305,212
DRM00078458,2010-05-13,0,324,210
DRM00078458,2010-05-14,307,324,215
DRM00078458,2010-05-15,0,299,226
DRM00078458,2010-05-16,33,298,234
DRM00078458,2010-05-17,3,314,227
DRM00078458,2010-05-18,0,320,227
DRM00078458,2010-05-19,NA,320,240
DRM00078458,2010-05-20,23,336,239
DRM00078458,2010-05-21,8,340,230
DRM00078458,2010-05-22,0,340,230
DRM00078458,2010-05-23,310,304,224
DRM00078458,2010-05-24,150,302,218
DRM00078458,2010-05-25,48,307,218
DRM00078458,2010-05-26,10,306,228
DRM00078458,2010-05-27,0,314,228
DRM00078458,2010-05-28,15,314,234
DRM00078458,2010-05-29,28,307,236
DRM00078458,2010-05-30,91,314,230
DRM00078458,2010-05-31,0,319,225
DRM00078458,2010-06-01,338,319,225
DRM00078458,2010-06-02,0,322,240
DRM00078458,2010-06-03,127,354,236
DRM00078458,2010-06-04,5,354,224
DRM00078458,2010-06-05,0,325,224
DRM00078458,2010-06-06,18,335,228
DRM00078458,2010-06-07,0,325,232
DRM00078458,2010-06-08,137,329,223
DRM00078458,2010-06-09,102,325,230
DRM00078458,2010-06-10,0,324,228
DRM00078458,2010-06-11,NA,326,228
DRM00078458,2010-06-12,8,326,235
DRM00078458,2010-06-13,0,330,235
DRM00078458,2010-06-14,0,325,225
DRM00078458,2010-06-15,NA,325,225
DRM00078458,2010-06-16,NA,322,230
DRM00078458,2010-06-17,48,328,232
DRM00078458,2010-06-18,0,338,233
DRM00078458,2010-06-19,NA,NA,NA
DRM00078458,2010-06-20,287,324,235
DRM00078458,2010-06-21,15,315,227
DRM00078458,2010-06-22,99,315,227
DRM00078458,2010-06-23,221,NA,NA
DRM00078458,2010-06-24,64,320,227
DRM00078458,2010-06-25,213,316,227
DRM00078458,2010-06-26,97,320,227
DRM00078458,2010-06-27,0,330,230
DRM00078458,2010-06-28,NA,NA,NA
DRM00078458,2010-06-29,104,335,225
DRM00078458,2010-06-30,0,335,227
DRM00078458,2010-07-01,NA,331,230
DRM00078458,2010-07-02,NA,340,230
DRM00078458,2010-07-03,NA,340,240
DRM00078458,2010-07-04,NA,337,246
DRM00078458,2010-07-05,NA,333,246
DRM00078458,2010-07-06,NA,335,234
DRM00078458,2010-07-07,15,326,234
DRM00078458,2010-07-08,300,342,216
DRM00078458,2010-07-09,0,345,210
DRM00078458,2010-07-10,NA,NA,NA
DRM00078458,2010-07-11,NA,345,245
DRM00078458,2010-07-12,NA,345,246
DRM00078458,2010-07-13,5,333,244
DRM00078458,2010-07-14,378,330,215
DRM00078458,2010-07-15,290,329,215
DRM00078458,2010-07-16,99,324,229
DRM00078458,2010-07-17,302,320,229
DRM00078458,2010-07-18,53,322,240
DRM00078458,2010-07-19,191,322,235
DRM00078458,2010-07-20,277,310,235
DRM00078458,2010-07-21,0,NA,NA
DRM00078458,2010-07-22,5,327,238
DRM00078458,2010-07-23,0,NA,NA
DRM00078458,2010-07-24,NA,NA,NA
DRM00078458,2010-07-25,3,355,230
DRM00078458,2010-07-26,0,325,230
DRM00078458,2010-07-27,23,319,230
DRM00078458,2010-07-28,0,316,216
DRM00078458,2010-07-29,399,325,226
DRM00078458,2010-07-30,0,325,218
DRM00078458,2010-07-31,NA,328,218
DRM00078458,2010-08-01,NA,330,232
DRM00078458,2010-08-02,NA,330,230
DRM00078458,2010-08-03,168,326,230
DRM00078458,2010-08-04,130,330,240
DRM00078458,2010-08-05,28,330,236
DRM00078458,2010-08-06,0,340,230
DRM00078458,2010-08-07,NA,340,234
DRM00078458,2010-08-08,NA,336,235
DRM00078458,2010-08-09,NA,330,235
DRM00078458,2010-08-10,NA,329,233
DRM00078458,2010-08-11,NA,329,233
DRM00078458,2010-08-12,NA,326,235
DRM00078458,2010-08-13,51,327,235
DRM00078458,2010-08-14,5,334,230
DRM00078458,2010-08-15,38,322,222
DRM00078458,2010-08-16,43,325,222
DRM00078458,2010-08-17,0,328,228
DRM00078458,2010-08-18,198,326,228
DRM00078458,2010-08-19,0,326,240
