id,date,prcp,tmax,tmin
EC000000006,2011-07-01,NA,NA,NA
EC000000006,2011-07-02,NA,NA,NA
EC000000006,2011-07-03,NA,NA,NA
EC000000006,2011-07-04,NA,300,219
EC000000006,2011-07-05,NA,NA,NA
EC000000006,2011-07-06,NA,NA,NA
EC000000006,2011-07-07,NA,NA,NA
EC000000006,2011-07-08,NA,NA,NA
EC000000006,2011-07-09,NA,NA,NA
EC000000006,2011-07-10,NA,NA,NA
EC000000006,2011-07-11,NA,NA,NA
EC000000006,2011-07-12,NA,NA,NA
EC000000006,2011-07-13,NA,NA,NA
EC000000006,2011-07-14,NA,NA,NA
EC000000006,2011-07-15,NA,NA,NA
EC000000006,2011-07-16,3,319,220
EC000000006,2011-07-17,NA,NA,NA
EC000000006,2011-07-18,NA,NA,NA
EC000000006,2011-07-19,NA,NA,NA
EC000000006,2011-07-20,61,315,230
EC000000006,2011-07-21,20,312,223
EC000000006,2011-07-22,NA,NA,NA
EC000000006,2011-07-23,NA,301,218
EC000000006,2011-07-24,NA,301,219
EC000000006,2011-07-25,NA,290,219
EC000000006,2011-07-26,NA,292,219
EC000000006,2011-07-27,NA,275,218
EC000000006,2011-07-28,NA,320,211
EC000000006,2011-07-29,NA,320,220
EC000000006,2011-07-30,0,302,223
EC000000006,2011-07-31,10,265,204
EC000000006,2011-08-01,0,285,217
EC000000006,2011-08-02,NA,273,200
EC000000006,2011-08-03,NA,302,205
EC000000006,2011-08-04,NA,302,214
EC000000006,2011-08-05,NA,276,205
EC000000006,2011-08-06,NA,NA,NA
EC000000006,2011-08-07,NA,293,200
EC000000006,2011-08-08,NA,292,196
EC000000006,2011-08-09,NA,293,209
EC000000006,2011-08-10,NA,NA,NA
EC000000006,2011-08-11,NA,287,205
EC000000006,2011-08-12,NA,283,191
EC000000006,2011-08-13,NA,290,199
EC000000006,2011-08-14,NA,292,194
EC000000006,2011-08-15,NA,286,203
EC000000006,2011-08-16,NA,287,185
EC000000006,2011-08-17,NA,283,180
EC000000006,2011-08-18,NA,285,208
EC000000006,2011-08-19,NA,285,205
EC000000006,2011-08-20,NA,285,208
EC000000006,2011-08-21,NA,285,205
EC000000006,2011-08-22,NA,267,206
EC000000006,2011-08-23,NA,270,212
EC000000006,2011-08-24,NA,282,204
EC000000006,2011-08-25,NA,NA,NA
EC000000006,2011-08-26,NA,NA,NA
EC000000006,2011-08-27,NA,NA,NA
EC000000006,2011-08-28,NA,NA,NA
EC000000006,2011-08-29,NA,NA,NA
EC000000006,2011-08-30,NA,NA,NA
EC000000006,2011-08-31,NA,NA,NA
EC000000006,2011-09-01,NA,NA,NA
EC000000006,2011-09-02,NA,NA,NA
EC000000006,2011-09-03,NA,NA,NA
EC000000006,2011-09-04,NA,NA,NA
EC000000006,2011-09-05,NA,NA,NA
EC000000006,2011-09-06,NA,NA,NA
EC000000006,2011-09-07,NA,NA,NA
EC000000006,2011-09-08,NA,NA,NA
EC000000006,2011-09-09,NA,NA,NA
EC000000006,2011-09-10,NA,290,194
EC000000006,2011-09-11,NA,340,180
EC000000006,2011-09-12,8,340,210
EC000000006,2011-09-13,10,299,209
EC000000006,2011-09-14,0,295,200
EC000000006,2011-09-15,NA,298,207
EC000000006,2011-09-16,NA,307,204
EC000000006,2011-09-17,NA,308,205
EC000000006,2011-09-18,NA,308,205
EC000000006,2011-09-19,NA,308,216
EC000000006,2011-09-20,NA,297,213
EC000000006,2011-09-21,NA,NA,NA
EC000000006,2011-09-22,NA,302,210
EC000000006,2011-09-23,NA,332,214
EC000000006,2011-09-24,NA,333,219
EC000000006,2011-09-25,10,327,204
EC000000006,2011-09-26,5,325,208
EC000000006,2011-09-27,0,340,212
EC000000006,2011-09-28,NA,340,222
EC000000006,2011-09-29,NA,315,209
EC000000006,2011-09-30,NA,330,206
EC000000006,2011-10-01,NA,307,205
EC000000006,2011-10-02,NA,308,203
EC000000006,2011-10-03,0,326,210
EC000000006,2011-10-04,NA,326,213
EC000000006,2011-10-05,0,322,224
EC000000006,2011-10-06,20,265,202
EC000000006,2011-10-07,5,NA,200
EC000000006,2011-10-08,0,309,195
EC000000006,2011-10-09,NA,315,201
EC000000006,2011-10-10,NA,315,208
EC000000006,2011-10-11,NA,306,213
EC000000006,2011-10-12,10,306,202
EC000000006,2011-10-13,3,260,200
