id,date,prcp,tmax,tmin
ECM00084135,2011-07-01,NA,NA,NA
ECM00084135,2011-07-02,NA,NA,NA
ECM00084135,2011-07-03,NA,NA,NA
ECM00084135,2011-07-04,NA,306,225
ECM00084135,2011-07-05,NA,NA,NA
ECM00084135,2011-07-06,NA,NA,NA
ECM00084135,2011-07-07,NA,NA,NA
ECM00084135,2011-07-08,NA,NA,NA
ECM00084135,2011-07-09,NA,NA,NA
ECM00084135,2011-07-10,NA,NA,NA
ECM00084135,2011-07-11,NA,NA,NA
ECM00084135,2011-07-12,NA,NA,NA
ECM00084135,2011-07-13,NA,NA,NA
ECM00084135,2011-07-14,NA,NA,NA
ECM00084135,2011-07-15,NA,NA,NA
ECM00084135,2011-07-16,NA,338,208
ECM00084135,2011-07-17,NA,NA,NA
ECM00084135,2011-07-18,NA,NA,NA
ECM00084135,2011-07-19,NA,NA,NA
ECM00084135,2011-07-20,NA,324,238
ECM00084135,2011-07-21,NA,304,228
ECM00084135,2011-07-22,NA,NA,NA
ECM00084135,2011-07-23,NA,330,230
ECM00084135,2011-07-24,NA,330,204
ECM00084135,2011-07-25,NA,326,216
ECM00084135,2011-07-26,NA,316,224
ECM00084135,2011-07-27,0,292,210
ECM00084135,2011-07-28,NA,338,195
ECM00084135,2011-07-29,NA,338,218
ECM00084135,2011-07-30,NA,324,214
ECM00084135,2011-07-31,NA,NA,203
ECM00084135,2011-08-01,NA,320,206
ECM00084135,2011-08-02,NA,320,210
ECM00084135,2011-08-03,NA,324,206
ECM00084135,2011-08-04,NA,324,204
ECM00084135,2011-08-05,NA,304,215
ECM00084135,2011-08-06,NA,NA,NA
ECM00084135,2011-08-07,NA,334,199
ECM00084135,2011-08-08,NA,334,214
ECM00084135,2011-08-09,NA,322,222
ECM00084135,2011-08-10,NA,NA,NA
ECM00084135,2011-08-11,NA,NA,NA
ECM00084135,2011-08-12,NA,321,220
ECM00084135,2011-08-13,NA,NA,NA
ECM00084135,2011-08-14,NA,NA,NA
ECM00084135,2011-08-15,NA,NA,NA
ECM00084135,2011-08-16,NA,NA,NA
ECM00084135,2011-08-17,NA,NA,NA
ECM00084135,2011-08-18,NA,316,214
ECM00084135,2011-08-19,NA,315,212
ECM00084135,2011-08-20,NA,337,NA
ECM00084135,2011-08-21,NA,NA,NA
ECM00084135,2011-08-22,NA,NA,NA
ECM00084135,2011-08-23,NA,NA,207
ECM00084135,2011-08-24,NA,317,208
ECM00084135,2011-08-25,NA,NA,NA
ECM00084135,2011-08-26,NA,NA,NA
ECM00084135,2011-08-27,NA,NA,NA
ECM00084135,2011-08-28,NA,NA,NA
ECM00084135,2011-08-29,NA,NA,NA
ECM00084135,2011-08-30,NA,NA,NA
ECM00084135,2011-08-31,NA,NA,NA
ECM00084135,2011-09-01,NA,NA,NA
ECM00084135,2011-09-02,NA,NA,NA
ECM00084135,2011-09-03,NA,NA,NA
ECM00084135,2011-09-04,NA,NA,NA
ECM00084135,2011-09-05,NA,NA,NA
ECM00084135,2011-09-06,NA,NA,NA
ECM00084135,2011-09-07,NA,NA,NA
ECM00084135,2011-09-08,NA,NA,NA
ECM00084135,2011-09-09,NA,NA,NA
ECM00084135,2011-09-10,NA,324,186
ECM00084135,2011-09-11,NA,329,189
ECM00084135,2011-09-12,NA,329,197
ECM00084135,2011-09-13,NA,310,194
ECM00084135,2011-09-14,NA,NA,214
ECM00084135,2011-09-15,NA,322,193
ECM00084135,2011-09-16,NA,331,185
ECM00084135,2011-09-17,NA,331,NA
ECM00084135,2011-09-18,NA,338,206
ECM00084135,2011-09-19,NA,338,203
ECM00084135,2011-09-20,NA,299,206
ECM00084135,2011-09-21,NA,NA,NA
ECM00084135,2011-09-22,NA,321,208
ECM00084135,2011-09-23,NA,354,207
ECM00084135,2011-09-24,NA,354,210
ECM00084135,2011-09-25,NA,336,204
ECM00084135,2011-09-26,0,329,204
ECM00084135,2011-09-27,NA,341,204
ECM00084135,2011-09-28,NA,341,206
ECM00084135,2011-09-29,NA,323,198
ECM00084135,2011-09-30,NA,NA,NA
ECM00084135,2011-10-01,NA,348,207
ECM00084135,2011-10-02,NA,326,200
ECM00084135,2011-10-03,NA,333,197
ECM00084135,2011-10-04,NA,333,203
ECM00084135,2011-10-05,NA,333,205
ECM00084135,2011-10-06,NA,287,192
ECM00084135,2011-10-07,NA,NA,198
ECM00084135,2011-10-08,NA,322,186
ECM00084135,2011-10-09,NA,320,182
ECM00084135,2011-10-10,NA,318,189
ECM00084135,2011-10-11,NA,332,187
ECM00084135,2011-10-12,NA,332,184
ECM00084135,2011-10-13,NA,NA,NA
ECM00084135,2011-10-14,NA,NA,NA
ECM00084135,2011-10-15,NA,NA,NA
ECM00084135,2011-10-16,NA,NA,NA
ECM00084135,2011-10-17,NA,NA,NA
ECM00084135,2011-10-18,NA,316,192
ECM00084135,2011-10-19,NA,NA,165
ECM00084135,2011-10-20,NA,NA,NA
ECM00084135,2011-10-21,NA,328,199
ECM00084135,2011-10-22,NA,328,202
ECM00084135,2011-10-23,NA,NA,NA
ECM00084135,2011-10-24,NA,NA,NA
ECM00084135,2011-10-25,10,262,206
ECM00084135,2011-10-26,NA,NA,NA
ECM00084135,2011-10-27,NA,NA,NA
ECM00084135,2011-10-28,NA,NA,NA
ECM00084135,2011-10-29,NA,NA,217
ECM00084135,2011-10-30,NA,336,220
ECM00084135,2011-10-31,NA,336,NA
ECM00084135,2011-11-01,NA,334,193
ECM00084135,2011-11-02,NA,NA,NA
ECM00084135,2011-11-03,NA,334,192
ECM00084135,2011-11-04,NA,344,NA
ECM00084135,2011-11-05,NA,NA,NA
ECM00084135,2011-11-06,NA,NA,NA
ECM00084135,2011-11-07,NA,NA,NA
ECM00084135,2011-11-08,NA,NA,NA
ECM00084135,2011-11-09,NA,310,190
ECM00084135,2011-11-10,NA,NA,NA
ECM00084135,2011-11-11,NA,338,206
ECM00084135,2011-11-12,NA,338,212
ECM00084135,2011-11-13,NA,NA,NA
ECM00084135,2011-11-14,NA,284,202
ECM00084135,2011-11-15,NA,NA,NA
ECM00084135,2011-11-16,NA,327,203
ECM00084135,2011-11-17,NA,NA,NA
ECM00084135,2011-11-18,NA,NA,NA
ECM00084135,2011-11-19,NA,336,178
ECM00084135,2011-11-20,NA,318,187
ECM00084135,2011-11-21,NA,NA,NA
ECM00084135,2011-11-22,NA,322,201
ECM00084135,2011-11-23,NA,NA,NA
ECM00084135,2011-11-24,NA,NA,NA
ECM00084135,2011-11-25,NA,NA,NA
ECM00084135,2011-11-26,NA,NA,NA
ECM00084135,2011-11-27,NA,337,205
ECM00084135,2011-11-28,NA,337,192
ECM00084135,2011-11-29,NA,340,170
ECM00084135,2011-11-30,NA,340,207
ECM00084135,2011-12-01,NA,317,187
ECM00084135,2011-12-02,NA,NA,NA
ECM00084135,2011-12-03,NA,348,207
ECM00084135,2011-12-04,NA,348,219
ECM00084135,2011-12-05,NA,339,201
ECM00084135,2011-12-06,NA,336,183
ECM00084135,2011-12-07,NA,332,195
ECM00084135,2011-12-08,NA,NA,NA
ECM00084135,2011-12-09,5,327,213
ECM00084135,2011-12-10,0,307,216
ECM00084135,2011-12-11,NA,356,210
ECM00084135,2011-12-12,NA,356,214
ECM00084135,2011-12-13,NA,330,215
ECM00084135,2011-12-14,NA,317,214
ECM00084135,2011-12-15,NA,346,199
ECM00084135,2011-12-16,NA,NA,NA
ECM00084135,2011-12-17,NA,339,NA
ECM00084135,2011-12-18,NA,340,222
ECM00084135,2011-12-19,NA,340,209
ECM00084135,2011-12-20,3,335,224
ECM00084135,2011-12-21,0,322,227
ECM00084135,2011-12-22,NA,NA,NA
ECM00084135,2011-12-23,NA,NA,NA
ECM00084135,2011-12-24,NA,NA,NA
ECM00084135,2011-12-25,NA,NA,NA
ECM00084135,2011-12-26,NA,NA,NA
ECM00084135,2011-12-27,NA,NA,NA
ECM00084135,2011-12-28,NA,NA,NA
ECM00084135,2011-12-29,NA,NA,NA
ECM00084135,2011-12-30,NA,NA,NA
ECM00084135,2011-12-31,NA,NA,NA
ECM00084135,2012-01-01,NA,NA,NA
ECM00084135,2012-01-02,NA,NA,NA
ECM00084135,2012-01-03,NA,NA,NA
ECM00084135,2012-01-04,30,304,227
ECM00084135,2012-01-05,30,295,224
ECM00084135,2012-01-06,10,303,221
ECM00084135,2012-01-07,10,303,232
ECM00084135,2012-01-08,30,328,222
ECM00084135,2012-01-09,NA,NA,NA
ECM00084135,2012-01-10,NA,306,229
ECM00084135,2012-01-11,NA,309,225
ECM00084135,2012-01-12,NA,293,229
ECM00084135,2012-01-13,201,291,224
ECM00084135,2012-01-14,61,320,226
ECM00084135,2012-01-15,61,320,224
ECM00084135,2012-01-16,NA,NA,NA
ECM00084135,2012-01-17,310,296,219
ECM00084135,2012-01-18,0,306,216
ECM00084135,2012-01-19,NA,306,222
ECM00084135,2012-01-20,NA,300,NA
ECM00084135,2012-01-21,0,306,224
ECM00084135,2012-01-22,3,306,235
ECM00084135,2012-01-23,130,280,227
ECM00084135,2012-01-24,8,297,220
ECM00084135,2012-01-25,0,297,226
ECM00084135,2012-01-26,NA,317,230
ECM00084135,2012-01-27,NA,NA,NA
ECM00084135,2012-01-28,NA,NA,NA
ECM00084135,2012-01-29,279,304,219
ECM00084135,2012-01-30,170,312,214
ECM00084135,2012-01-31,140,312,220
ECM00084135,2012-02-01,71,309,220
ECM00084135,2012-02-02,361,295,214
ECM00084135,2012-02-03,3,295,225
ECM00084135,2012-02-04,160,286,223
ECM00084135,2012-02-05,79,301,229
ECM00084135,2012-02-06,221,315,216
ECM00084135,2012-02-07,109,320,222
ECM00084135,2012-02-08,61,320,224
ECM00084135,2012-02-09,180,322,226
ECM00084135,2012-02-10,79,322,229
ECM00084135,2012-02-11,79,313,227
ECM00084135,2012-02-12,89,314,221
ECM00084135,2012-02-13,99,314,228
ECM00084135,2012-02-14,160,314,233
ECM00084135,2012-02-15,30,312,229
ECM00084135,2012-02-16,0,314,NA
ECM00084135,2012-02-17,10,314,236
ECM00084135,2012-02-18,0,312,NA
ECM00084135,2012-02-19,589,312,218
ECM00084135,2012-02-20,51,319,223
ECM00084135,2012-02-21,NA,NA,NA
ECM00084135,2012-02-22,140,306,203
ECM00084135,2012-02-23,61,320,212
ECM00084135,2012-02-24,30,320,223
ECM00084135,2012-02-25,140,306,206
ECM00084135,2012-02-26,99,327,225
ECM00084135,2012-02-27,NA,NA,NA
ECM00084135,2012-02-28,41,321,232
ECM00084135,2012-02-29,10,328,225
ECM00084135,2012-03-01,71,324,220
ECM00084135,2012-03-02,0,324,232
ECM00084135,2012-03-03,269,315,218
ECM00084135,2012-03-04,41,315,235
ECM00084135,2012-03-05,NA,NA,NA
ECM00084135,2012-03-06,150,327,230
ECM00084135,2012-03-07,0,327,232
ECM00084135,2012-03-08,79,323,235
ECM00084135,2012-03-09,0,310,224
ECM00084135,2012-03-10,10,307,226
ECM00084135,2012-03-11,30,313,227
ECM00084135,2012-03-12,160,313,235
ECM00084135,2012-03-13,20,308,227
ECM00084135,2012-03-14,0,320,217
ECM00084135,2012-03-15,0,320,222
ECM00084135,2012-03-16,180,324,235
ECM00084135,2012-03-17,511,329,224
ECM00084135,2012-03-18,NA,NA,NA
ECM00084135,2012-03-19,NA,NA,NA
ECM00084135,2012-03-20,279,316,230
