id,date,prcp,tmax,tmin
EG000062463,2010-01-01,NA,240,135
EG000062463,2010-01-02,NA,260,NA
EG000062463,2010-01-03,NA,262,NA
EG000062463,2010-01-04,NA,240,148
EG000062463,2010-01-05,NA,240,136
EG000062463,2010-01-06,NA,244,134
EG000062463,2010-01-07,NA,282,138
EG000062463,2010-01-08,NA,272,148
EG000062463,2010-01-09,NA,288,124
EG000062463,2010-01-10,NA,290,114
EG000062463,2010-01-11,NA,272,106
EG000062463,2010-01-12,NA,246,130
EG000062463,2010-01-13,NA,230,NA
EG000062463,2010-01-14,NA,250,108
EG000062463,2010-01-15,NA,240,126
EG000062463,2010-01-16,NA,NA,119
EG000062463,2010-01-17,NA,262,188
EG000062463,2010-01-18,NA,225,NA
EG000062463,2010-01-19,NA,NA,100
EG000062463,2010-01-20,NA,244,NA
EG000062463,2010-01-21,NA,212,120
EG000062463,2010-01-22,NA,212,125
EG000062463,2010-01-23,NA,NA,106
EG000062463,2010-01-24,NA,260,127
EG000062463,2010-01-25,NA,202,NA
EG000062463,2010-01-26,NA,195,116
EG000062463,2010-01-27,NA,212,NA
EG000062463,2010-01-28,NA,236,86
EG000062463,2010-01-29,NA,276,108
EG000062463,2010-01-30,NA,NA,173
EG000062463,2010-01-31,NA,260,NA
EG000062463,2010-02-01,NA,250,NA
EG000062463,2010-02-02,NA,244,128
EG000062463,2010-02-03,NA,216,130
EG000062463,2010-02-04,NA,186,103
EG000062463,2010-02-05,NA,194,100
EG000062463,2010-02-06,NA,184,104
EG000062463,2010-02-07,NA,200,103
EG000062463,2010-02-08,NA,234,98
EG000062463,2010-02-09,NA,250,98
EG000062463,2010-02-10,NA,243,135
EG000062463,2010-02-11,NA,244,126
EG000062463,2010-02-12,NA,270,145
EG000062463,2010-02-13,NA,295,159
EG000062463,2010-02-14,NA,314,NA
EG000062463,2010-02-15,NA,293,190
EG000062463,2010-02-16,NA,284,NA
EG000062463,2010-02-17,NA,294,198
EG000062463,2010-02-18,NA,280,190
EG000062463,2010-02-19,NA,298,200
EG000062463,2010-02-20,NA,300,166
EG000062463,2010-02-21,NA,298,160
EG000062463,2010-02-22,NA,NA,188
EG000062463,2010-02-23,NA,NA,168
EG000062463,2010-02-24,NA,NA,NA
EG000062463,2010-02-25,NA,263,134
EG000062463,2010-02-26,NA,252,NA
EG000062463,2010-02-27,NA,241,140
EG000062463,2010-02-28,NA,312,144
EG000062463,2010-03-01,NA,233,NA
EG000062463,2010-03-02,NA,NA,160
EG000062463,2010-03-03,NA,275,138
EG000062463,2010-03-04,NA,NA,169
EG000062463,2010-03-05,NA,282,132
EG000062463,2010-03-06,NA,282,164
EG000062463,2010-03-07,NA,290,176
EG000062463,2010-03-08,NA,308,152
EG000062463,2010-03-09,NA,296,194
EG000062463,2010-03-10,NA,290,NA
EG000062463,2010-03-11,NA,313,NA
EG000062463,2010-03-12,NA,311,167
EG000062463,2010-03-13,NA,284,197
EG000062463,2010-03-14,NA,NA,224
EG000062463,2010-03-15,NA,292,NA
EG000062463,2010-03-16,NA,NA,NA
EG000062463,2010-03-17,NA,257,157
EG000062463,2010-03-18,NA,NA,154
EG000062463,2010-03-19,NA,220,130
EG000062463,2010-03-20,NA,242,134
EG000062463,2010-03-21,NA,264,140
EG000062463,2010-03-22,NA,NA,158
EG000062463,2010-03-23,NA,NA,164
EG000062463,2010-03-24,NA,NA,NA
EG000062463,2010-03-25,NA,NA,188
EG000062463,2010-03-26,NA,253,173
EG000062463,2010-03-27,NA,257,148
EG000062463,2010-03-28,NA,270,164
EG000062463,2010-03-29,NA,284,173
EG000062463,2010-03-30,NA,NA,185
EG000062463,2010-03-31,NA,NA,166
EG000062463,2010-04-01,NA,324,154
EG000062463,2010-04-02,NA,350,200
EG000062463,2010-04-03,NA,352,213
EG000062463,2010-04-04,NA,310,236
EG000062463,2010-04-05,NA,288,216
EG000062463,2010-04-06,NA,284,186
EG000062463,2010-04-07,NA,303,192
EG000062463,2010-04-08,NA,286,190
EG000062463,2010-04-09,NA,284,173
EG000062463,2010-04-10,NA,324,171
EG000062463,2010-04-11,NA,330,192
EG000062463,2010-04-12,NA,273,NA
EG000062463,2010-04-13,NA,264,179
EG000062463,2010-04-14,NA,286,177
EG000062463,2010-04-15,NA,318,180
EG000062463,2010-04-16,NA,284,188
EG000062463,2010-04-17,NA,320,NA
EG000062463,2010-04-18,NA,324,NA
EG000062463,2010-04-19,NA,360,230
EG000062463,2010-04-20,NA,370,230
EG000062463,2010-04-21,NA,NA,NA
EG000062463,2010-04-22,NA,284,200
EG000062463,2010-04-23,NA,265,183
EG000062463,2010-04-24,NA,297,180
EG000062463,2010-04-25,NA,310,188
