id,date,prcp,tmax,tmin
EI000003969,2010-01-01,28,-10,-33
EI000003969,2010-01-02,0,35,-34
EI000003969,2010-01-03,3,33,-24
EI000003969,2010-01-04,0,7,-36
EI000003969,2010-01-05,NA,23,-36
EI000003969,2010-01-06,41,10,-24
EI000003969,2010-01-07,0,-22,-62
EI000003969,2010-01-08,0,-22,-83
EI000003969,2010-01-09,10,31,-99
EI000003969,2010-01-10,20,41,-51
EI000003969,2010-01-11,61,40,16
EI000003969,2010-01-12,NA,38,11
EI000003969,2010-01-13,81,44,11
EI000003969,2010-01-14,0,89,-10
EI000003969,2010-01-15,0,116,-3
EI000003969,2010-01-16,64,85,57
EI000003969,2010-01-17,NA,83,36
EI000003969,2010-01-18,NA,96,39
EI000003969,2010-01-19,NA,73,7
EI000003969,2010-01-20,51,74,51
EI000003969,2010-01-21,0,103,-8
EI000003969,2010-01-22,NA,84,17
EI000003969,2010-01-23,0,23,0
EI000003969,2010-01-24,NA,17,-6
EI000003969,2010-01-25,0,55,-12
EI000003969,2010-01-26,0,66,-18
EI000003969,2010-01-27,NA,93,-13
EI000003969,2010-01-28,0,80,29
EI000003969,2010-01-29,20,58,31
EI000003969,2010-01-30,0,36,-28
EI000003969,2010-01-31,0,40,-26
EI000003969,2010-02-01,0,73,-14
EI000003969,2010-02-02,30,94,6
EI000003969,2010-02-03,51,82,25
EI000003969,2010-02-04,8,96,12
EI000003969,2010-02-05,61,104,17
EI000003969,2010-02-06,10,69,23
EI000003969,2010-02-07,0,63,17
EI000003969,2010-02-08,0,48,37
EI000003969,2010-02-09,0,65,20
EI000003969,2010-02-10,0,61,-28
EI000003969,2010-02-11,0,62,-43
EI000003969,2010-02-12,NA,72,-35
EI000003969,2010-02-13,0,59,12
EI000003969,2010-02-14,0,62,-14
EI000003969,2010-02-15,5,78,10
EI000003969,2010-02-16,0,61,-5
EI000003969,2010-02-17,0,64,-24
EI000003969,2010-02-18,0,54,-22
EI000003969,2010-02-19,NA,43,-23
EI000003969,2010-02-20,0,56,-24
EI000003969,2010-02-21,51,8,-6
EI000003969,2010-02-22,0,51,-31
EI000003969,2010-02-23,30,46,-17
EI000003969,2010-02-24,61,66,10
EI000003969,2010-02-25,41,32,1
EI000003969,2010-02-26,10,70,2
EI000003969,2010-02-27,0,81,-11
EI000003969,2010-02-28,NA,51,-11
EI000003969,2010-03-01,0,89,-10
EI000003969,2010-03-02,0,76,-38
EI000003969,2010-03-03,NA,67,-2
EI000003969,2010-03-04,0,72,-34
EI000003969,2010-03-05,0,106,-31
EI000003969,2010-03-06,NA,87,5
EI000003969,2010-03-07,NA,67,-7
EI000003969,2010-03-08,0,68,-49
EI000003969,2010-03-09,0,91,-45
EI000003969,2010-03-10,0,83,-40
EI000003969,2010-03-11,0,87,-45
EI000003969,2010-03-12,NA,105,12
EI000003969,2010-03-13,NA,96,13
EI000003969,2010-03-14,NA,131,13
EI000003969,2010-03-15,NA,99,23
EI000003969,2010-03-16,NA,106,-10
EI000003969,2010-03-17,NA,152,49
EI000003969,2010-03-18,NA,137,99
EI000003969,2010-03-19,NA,113,66
EI000003969,2010-03-20,61,123,56
EI000003969,2010-03-21,0,151,4
EI000003969,2010-03-22,51,121,74
EI000003969,2010-03-23,NA,107,12
EI000003969,2010-03-24,18,132,62
EI000003969,2010-03-25,51,133,74
EI000003969,2010-03-26,71,140,58
EI000003969,2010-03-27,NA,125,38
EI000003969,2010-03-28,NA,119,41
EI000003969,2010-03-29,150,107,44
EI000003969,2010-03-30,119,40,4
EI000003969,2010-03-31,36,76,9
EI000003969,2010-04-01,8,107,1
EI000003969,2010-04-02,46,92,6
EI000003969,2010-04-03,20,104,0
EI000003969,2010-04-04,0,112,0
EI000003969,2010-04-05,NA,147,48
EI000003969,2010-04-06,23,116,94
EI000003969,2010-04-07,0,131,30
EI000003969,2010-04-08,NA,151,53
EI000003969,2010-04-09,NA,154,43
EI000003969,2010-04-10,NA,168,21
EI000003969,2010-04-11,NA,169,27
